#,Team,Name
1,,Dimitri Petratos
2,,Greg Stewart
3,,Adrián Luna
4,,Abdenasser El Khayati
5,,Ahmed Jahouh
6,,Cleiton Silva
7,,Edu Bedia
8,,Karanjit Singh
9,,Wellington Priori
10,,Bartholomew Ogbeche
11,,Iker Guarrotxena
12,,Jorge Pereyra Díaz
13,,Javi Hernández
14,,Laxmikant Kattimani
15,,Alberto Noguera
16,,Petar Slišković
17,,Jay Emmanuel-Thomas
18,,Roy Krishna
19,,Mourtada Fall
20,,Joni Kauko
21,,Rahul Bheke
22,,Rostyn Griffiths
23,,Slavko Damjanović
24,,Diego Mauricio
25,,Wilmar Jordan
26,,Alan Costa
27,,Alex
28,,João Victor
29,,Odei Onaindia
30,,Daniel Chima Chukwu
31,,Brendan Hamill
32,,Gurpreet Singh Sandhu
33,,Sunil Chhetri
34,,Pratik Chowdhary
35,,Kwame Karikari
36,,Pronay Halder
37,,Federico Gallego
38,,Edwin Sydney Vanspaul
39,,Apostolos Giannou
40,,Iván Garrido
41,,Jessel Carneiro
42,,Marko Lešković
43,,Lenny Rodrigues
44,,Álvaro Vázquez
45,,Rafael Crivellaro
46,,Osama Malik
47,,Ion Gaztañaga
48,,Victor Mongil Adeva
49,,Carlos Delgado
50,,Rowllin Borges
51,,Hernán
52,,Víctor Rodríguez
53,,Fallou Diagne
54,,Vafa Hakhamaneshi
55,,Aleksandar Jovanović
56,,Joel Chianese
57,,Sylvester Igboun
58,,Charis Kyriakou
59,,V.P. Suhair
60,,Romain Philippoteaux
61,,Eli Sabiá
62,,Ricky Lallawmawma
63,,Jake Jervis
64,,Joseba Beitia
65,,Harmanjot Singh Khabra
66,,Seriton Fernandes
67,,Michael Jakobsen
68,,Matt Derbyshire
69,,Pedro Martin
70,,Marc Valiente
71,,Peter Hartley
72,,Reagan Singh
73,,Eliandro
74,,Souvik Chakraborty
75,,Arindam Bhattacharya
76,,Mandar Rao Desai
77,,Florentin Pogba
78,,Debjit Majumder
79,,Suvam Sen
80,,Mohammed Rafique
81,,Gurjinder Kumar
82,,Laldanmawia Ralte
