Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Dimitri Petratos,0.52,0.04,70,3.22,0,0,0.13,0.09,0,0.39,0,0.13,0.39,0.3,24.61,81.1,8.52,62.96,0,0.39,0,0,0.52,0.26,0.04,0,41.67,37.68,0.52,0.3,23
Greg Stewart,0.4,0.15,42.22,3,0.05,1.25,0.95,0.35,0,0.4,0,0.2,0.5,0.4,41.2,84.34,16.75,68.92,0,0.15,0,0,0.8,0.05,0.15,0,31.25,50.31,1.9,0.65,20
Adrián Luna,0.21,0.26,55.26,2.21,0,0,1.21,0.63,0,0.05,0,0.42,0.37,0.32,49.26,77.03,14.74,41.76,0,0.11,0,0,1.32,0.05,0.21,0,39.13,56.91,2.63,0.68,19
Abdenasser El Khayati,0.75,0,54.29,1.83,0,0,0.33,0,0,0.08,0,0.17,0.25,0.42,22.67,72.79,7,43.59,0,0,0,0,1,0.42,0,0,50,50,0.5,0.25,12
Ahmed Jahouh,0.1,0,69.23,0.86,0,0.68,3.48,1.24,0,1.29,0,1.24,0.1,0.14,54.9,81.27,12.1,66.67,0,0.05,0,0,0.67,0.1,0.33,0,54.84,56.99,0.52,1.43,21
Lallianzuala Chhangte,0.45,0.23,48.48,2.23,0,0,0.95,0.27,0,0.45,0,0.32,0.32,0.27,30.95,81.79,11,64,0,0.05,0,0,0.86,0.05,0.05,0,25,42.7,0.77,0.64,22
Cleiton Silva,0.6,0.3,59.38,2.85,0.05,0.56,1.2,0.2,0,0.4,0,0.25,0.15,0.05,30.95,81.1,8,70.45,0,0.1,0,0,1.5,0.35,0.2,0,50,54.8,1.4,0.5,20
Edu Bedia,0.17,0.06,25,2.17,0,0.69,1.22,1.22,0,1.33,0,0.67,0.44,0.22,61.94,82.69,8.89,51.7,0,0.17,0,0,1.39,0.28,0.33,0.06,58.82,52.59,1,1.11,18
Karanjit Singh,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,18.5,72.97,0,43.75,2.5,0.5,0,0,0.5,0,0,0,0,0,0,0,2
Wellington Priori,0,0,80,1.83,0,0,2.17,0.67,0,0.67,0,0.5,0.17,0,17,61.76,3.17,40,0,0.17,0,0,0.5,0.5,0.17,0,83.33,56.41,0,1.33,6
Bartholomew Ogbeche,0.48,0.14,46.67,2.67,0.19,0,0.86,0.33,0.05,0.9,0,0,0.1,0.1,19.67,68.04,6.1,48,0,0.24,0,0,0.52,0.1,0,0,44.78,47.46,1.29,0.95,21
Ivan Kalyuzhnyi,0.22,0,83.33,1.11,0,0,2.56,1.11,0,0.94,0,0.78,0.06,0.06,44.89,83.04,9.78,56.9,0,0.17,0,0,1.06,0.06,0.39,0,71.74,57.75,1.06,1.56,18
Iker Guarrotxena,0.55,0.1,50,2.9,0.15,0,0.95,0.3,0,0.7,0,0.25,0.05,0,26.35,79.51,6.2,71.05,0,0.2,0,0,1.25,0.3,0.05,0,44.83,57.79,3.05,1.25,20
Jorge Pereyra Díaz,0.55,0.4,62.5,2,0.05,0,0.45,0.05,0,0.3,0,0.15,0.2,0.35,15.7,76.11,6.1,63.64,0,0.15,0,0,0.8,0.05,0.35,0,33.33,42.57,0.8,0.6,20
Noah Sadaoui,0.45,0.45,46.67,2.75,0.05,0,1.1,0.1,0,0.3,0,0.6,0.55,0.45,17.3,69.36,4,36,0,0.1,0,0,1.05,0.2,0.05,0,28.57,42.62,1.25,0.6,20
Javi Hernández,0.33,0.14,55.56,2.67,0.05,0,0.9,0.76,0,0.19,0,0.95,0.38,0.24,31.95,76.15,6.62,50,0,0.05,0,0,0.9,0.24,0.14,0,60.87,49.79,2.19,0.48,21
Laxmikant Kattimani,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.33,47.01,1.33,41.18,2.33,0.67,0.17,0,0.5,0,0,0,100,100,0.17,0,6
Alberto Noguera,0.2,0,83.72,1.15,0,0,1.4,0.5,0,0.05,0,0.5,0.05,0.05,29.45,84.89,10.6,65.12,0,0.05,0,0,0.45,0.05,0.05,0,18.75,60.95,1.8,0.9,20
Petar Slišković,0.47,0.24,16.67,2.94,0.35,0,0.29,0.06,0,1.35,0,0.06,0.12,0.24,17.35,64.41,4.82,85.71,0,0.06,0,0,1.18,0.47,0,0,63.64,56.6,0.76,0.71,17
Dimitris Diamantakos,0.5,0.15,57.14,2.3,0.1,0,0.45,0,0,0.65,0,0.2,0.2,0.15,18.75,77.07,6.5,56.25,0,0.05,0,0,1.35,0.05,0.1,0,15.91,36,1.3,1.15,20
Jay Emmanuel-Thomas,0.12,0.06,51.22,1.76,0,0,0.82,0.29,0,1.35,0,0.18,0.18,0,31.12,75.24,6.18,49.41,0,0.18,0,0,1.06,0.12,0,0,66.67,54.76,0.47,0.59,17
Roy Krishna,0.29,0.14,61.54,2.05,0.05,0,0.62,0.1,0.05,0.86,0,0.1,0.29,0.24,17.9,70.74,5.57,61.76,0,0.1,0,0,0.9,0.29,0.19,0,35.62,44.76,1.86,1.29,21
Brandon Fernandes,0.15,0.05,65,1.2,0,0.83,1.75,0.5,0.05,0.25,0,0.9,0.2,0.15,34.9,78.08,7.75,53,0,0,0,0,1.45,0.3,0.2,0,50,61.54,1.9,0.6,20
Mirshad Michu,0,0,0,0,0,0,0,0,0.1,1.5,0.1,0.1,0,0,29.1,55.67,0.7,31.67,5.7,0.1,0.3,0.1,2.2,0.3,0.2,0,100,60,0.3,0.2,10
Mourtada Fall,0.06,0,100,0.56,0,0,0.56,0.94,0,4.33,0,0.06,0.06,0.11,36.44,82.47,3.33,56.56,0,0.11,0,0,0.61,0,0.17,0,77.27,69.07,0.28,0.56,18
Joni Kauko,0.33,0,50,2.33,0,0,3.17,0.67,0,1,0,0.83,0,0,34.5,78.74,8.67,26.67,0,0,0,0,0.83,0.5,0.17,0,75,57.14,0.83,0.67,6
Th. Bipin Singh,0.32,0.18,33.33,2.68,0.05,0,0.41,0.27,0,0.14,0,0.27,0.05,0.09,24.95,79.42,8.32,44,0,0.18,0,0,0.82,0.09,0,0,40.91,38,0.55,0.5,22
