#,Team,Name
1,,Greg Stewart
2,,Abdenasser El Khayati
3,,Ahmed Jahouh
4,,Edu Bedia
5,,Ivan Kalyuzhnyi
6,,Iker Guarrotxena
7,,Javi Hernández
8,,Alberto Noguera
9,,Jay Emmanuel-Thomas
10,,Brandon Fernandes
11,,Joni Kauko
12,,Apuia
13,,Saúl Crespo
14,,Naorem Mahesh Singh
15,,Borja Herrera
16,,Holicharan Narzary
17,,Julius Düker
18,,Carl McHugh
19,,Alex
20,,João Victor
21,,Isak Vanlalruatfela
22,,Hugo Boumous
23,,Rohit Kumar
24,,Pronay Halder
25,,Federico Gallego
26,,Anirudh Thapa
27,,Glan Martins
28,,Bruno Ramires
29,,Vinit Rai
30,,Roshan Singh
31,,Jeakson Singh
32,,Manvir Singh
33,,Brison Fernandes
34,,Vincy Barretto
35,,Gyamar Nikum
36,,Vibin Mohanan
37,,Jordan O'Doherty
38,,Issac Vanmalsawma
39,,Mohammad Yasir
40,,Lenny Rodrigues
41,,Deepak Tangri
42,,Rafael Crivellaro
43,,Ayush Dev Chhetri
44,,Ion Gaztañaga
45,,Ritwik Kumar Das
46,,Rowllin Borges
47,,Hernán
48,,Víctor Rodríguez
49,,Yumkhaibam Jiteshwor Singh
50,,Pablo Pérez
51,,Saviour Gama
52,,Makan Winkle Chote
53,,Raynier Fernandes
54,,Joel Chianese
55,,Germanpreet Singh
56,,Michael Soosairaj
57,,Sahil Tavora
58,,Mobashir Rahman
59,,V.P. Suhair
60,,Ishan Pandita
61,,Romain Philippoteaux
62,,Redeem Tlang
63,,Jitendra Singh
64,,Ayush Adhikari
65,,Suresh Wangjam Singh
66,,Sourav Das
67,,Lalthathanga Khawlhring
68,,Prasanth Karuthadathkuni
69,,Rahul Kannoly
70,,Emanuel Lalchhanchhuaha
71,,Emil Benny
72,,Ashique Kuruniyan
73,,Hitesh Sharma
74,,P C Rohlupuia
75,,Princeton Rebello
76,,Jockson Das A
77,,Seminlen Doungel
78,,Rohit Danu
79,,Prabir Das
80,,Jayesh Rane
81,,Lalrinliana Hnamte
82,,Boris Thangjam
83,,Ninthoinganba Meetei
84,,Imran Khan
85,,Sahal Abdul Samad
86,,Pragyan Sundar Gogoi
87,,Saurav Mandal
88,,Souvik Chakraborty
89,,Sajal Bag
90,,Ricky John Shabong
91,,Mark Zothanpuia
92,,Phijam Vikash Singh
93,,Moirangthem Thoiba Singh
94,,Farukh Choudhary
95,,Aniket Jadhav
96,,Sheikh Sahil
97,,Amarjit Kiyam Singh
98,,Danish Farooq Bhat
99,,Mohammed Asif Khan
100,,Lalchungnunga Chhangte
101,,Mohammed Rafique
102,,Paul Ramfangzauva
103,,Mohamed Irshad
104,,Leon Augustine
105,,Rupert Nongrum
106,,Sehnaj Singh
107,,Wahengbam Angousana Luwang
