#,Team,Name,Appearances
1,,Dimitri Petratos,23
2,,Greg Stewart,20
3,,Adrián Luna,19
4,,Abdenasser El Khayati,12
5,,Ahmed Jahouh,21
6,,Lallianzuala Chhangte,22
7,,Cleiton Silva,20
8,,Edu Bedia,18
9,,Karanjit Singh,2
10,,Wellington Priori,6
11,,Bartholomew Ogbeche,21
12,,Ivan Kalyuzhnyi,18
13,,Iker Guarrotxena,20
14,,Jorge Pereyra Díaz,20
15,,Noah Sadaoui,20
16,,Javi Hernández,21
17,,Laxmikant Kattimani,6
18,,Alberto Noguera,20
19,,Petar Slišković,17
20,,Dimitris Diamantakos,20
21,,Jay Emmanuel-Thomas,17
22,,Roy Krishna,21
23,,Brandon Fernandes,20
24,,Mirshad Michu,10
25,,Mourtada Fall,18
26,,Joni Kauko,6
27,,Th. Bipin Singh,22
28,,Vishal Kaith,24
29,,Apuia,17
30,,Aakash Sangwan,19
31,,Rahul Bheke,17
32,,Gurmeet Singh,14
33,,Rostyn Griffiths,17
34,,Saúl Crespo,18
35,,Naorem Mahesh Singh,19
36,,Borja Herrera,22
37,,Holicharan Narzary,19
38,,Slavko Damjanović,10
39,,Diego Mauricio,21
40,,Mehtab Singh,21
41,,Sandesh Jhingan,21
42,,Wilmar Jordan,11
43,,Julius Düker,20
44,,Alan Costa,17
45,,Carl McHugh,21
46,,Halen Nongtdu,1
47,,Subhasish Bose,23
48,,Phurba Tempa Lachenpa,22
49,,Harrison Sawyer,18
50,,Alex,17
51,,João Victor,14
52,,Ashish Rai,24
53,,Akash Mishra,19
54,,Isak Vanlalruatfela,10
55,,Odei Onaindia,21
56,,Daniel Chima Chukwu,19
57,,Hugo Boumous,20
58,,Brendan Hamill,20
59,,Gurpreet Singh Sandhu,23
60,,Anwar Ali,20
61,,Sarthak Golui,13
62,,Pritam Kotal,24
63,,Sunil Chhetri,20
64,,Pratik Chowdhary,17
65,,Kwame Karikari,16
66,,Nandhakumar Sekar,20
67,,Fares Arnaout,19
68,,Javier Siverio,22
69,,Rohit Kumar,18
70,,Pronay Halder,9
71,,Federico Gallego,12
72,,Edwin Sydney Vanspaul,19
73,,Anirudh Thapa,16
74,,Glan Martins,17
75,,Bruno Ramires,15
76,,Gani Nigam,8
77,,Apostolos Giannou,17
78,,Vinit Rai,11
79,,Nim Dorjee Tamang,11
80,,Roshan Singh,23
81,,Jeakson Singh,19
82,,Manvir Singh,18
83,,Sandeep Singh,9
84,,Brison Fernandes,13
85,,Chinglensana Singh Konsham,14
86,,Iván Garrido,15
87,,Sivasakthi Narayanan,20
