#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Dimitri Petratos,0.52,0.04,70,3.22,0,0
2,,Greg Stewart,0.4,0.15,42.22,3,0.05,1.25
3,,Adrián Luna,0.21,0.26,55.26,2.21,0,0
4,,Abdenasser El Khayati,0.75,0,54.29,1.83,0,0
5,,Ahmed Jahouh,0.1,0,69.23,0.86,0,0.68
6,,Lallianzuala Chhangte,0.45,0.23,48.48,2.23,0,0
7,,Cleiton Silva,0.6,0.3,59.38,2.85,0.05,0.56
8,,Edu Bedia,0.17,0.06,25,2.17,0,0.69
9,,Karanjit Singh,0,0,0,0,0,0
10,,Wellington Priori,0,0,80,1.83,0,0
11,,Bartholomew Ogbeche,0.48,0.14,46.67,2.67,0.19,0
12,,Ivan Kalyuzhnyi,0.22,0,83.33,1.11,0,0
13,,Iker Guarrotxena,0.55,0.1,50,2.9,0.15,0
14,,Jorge Pereyra Díaz,0.55,0.4,62.5,2,0.05,0
15,,Noah Sadaoui,0.45,0.45,46.67,2.75,0.05,0
16,,Javi Hernández,0.33,0.14,55.56,2.67,0.05,0
17,,Laxmikant Kattimani,0,0,0,0,0,0
18,,Alberto Noguera,0.2,0,83.72,1.15,0,0
19,,Petar Slišković,0.47,0.24,16.67,2.94,0.35,0
20,,Dimitris Diamantakos,0.5,0.15,57.14,2.3,0.1,0
21,,Jay Emmanuel-Thomas,0.12,0.06,51.22,1.76,0,0
22,,Roy Krishna,0.29,0.14,61.54,2.05,0.05,0
23,,Brandon Fernandes,0.15,0.05,65,1.2,0,0.83
24,,Mirshad Michu,0,0,0,0,0,0
25,,Mourtada Fall,0.06,0,100,0.56,0,0
26,,Joni Kauko,0.33,0,50,2.33,0,0
27,,Th. Bipin Singh,0.32,0.18,33.33,2.68,0.05,0
28,,Vishal Kaith,0,0,0,0,0,0
29,,Apuia,0.18,0,36.36,1.18,0,0
30,,Aakash Sangwan,0,0,57.14,0.21,0,0
31,,Rahul Bheke,0,0,62.5,0.35,0,0
32,,Gurmeet Singh,0,0,100,0,0,0
33,,Rostyn Griffiths,0.06,0,100,0.59,0.06,0
34,,Saúl Crespo,0,0.11,75,1.22,0,0
35,,Naorem Mahesh Singh,0.11,0,48.28,0.74,0,0
36,,Borja Herrera,0.18,0.09,35.71,1.45,0,0
37,,Holicharan Narzary,0.16,0,40.74,1.53,0,0
38,,Slavko Damjanović,0.1,0.2,100,0.4,0,0
