#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Dimitri Petratos,0.13,0.09,0,0.39,0,0.13
2,,Greg Stewart,0.95,0.35,0,0.4,0,0.2
3,,Adrián Luna,1.21,0.63,0,0.05,0,0.42
4,,Abdenasser El Khayati,0.33,0,0,0.08,0,0.17
5,,Ahmed Jahouh,3.48,1.24,0,1.29,0,1.24
6,,Lallianzuala Chhangte,0.95,0.27,0,0.45,0,0.32
7,,Cleiton Silva,1.2,0.2,0,0.4,0,0.25
8,,Edu Bedia,1.22,1.22,0,1.33,0,0.67
9,,Karanjit Singh,0,0.5,0,1,0,0
10,,Wellington Priori,2.17,0.67,0,0.67,0,0.5
11,,Bartholomew Ogbeche,0.86,0.33,0.05,0.9,0,0
12,,Ivan Kalyuzhnyi,2.56,1.11,0,0.94,0,0.78
13,,Iker Guarrotxena,0.95,0.3,0,0.7,0,0.25
14,,Jorge Pereyra Díaz,0.45,0.05,0,0.3,0,0.15
15,,Noah Sadaoui,1.1,0.1,0,0.3,0,0.6
16,,Javi Hernández,0.9,0.76,0,0.19,0,0.95
17,,Laxmikant Kattimani,0,0,0,1,0,0
18,,Alberto Noguera,1.4,0.5,0,0.05,0,0.5
19,,Petar Slišković,0.29,0.06,0,1.35,0,0.06
20,,Dimitris Diamantakos,0.45,0,0,0.65,0,0.2
21,,Jay Emmanuel-Thomas,0.82,0.29,0,1.35,0,0.18
22,,Roy Krishna,0.62,0.1,0.05,0.86,0,0.1
23,,Brandon Fernandes,1.75,0.5,0.05,0.25,0,0.9
24,,Mirshad Michu,0,0,0.1,1.5,0.1,0.1
25,,Mourtada Fall,0.56,0.94,0,4.33,0,0.06
26,,Joni Kauko,3.17,0.67,0,1,0,0.83
27,,Th. Bipin Singh,0.41,0.27,0,0.14,0,0.27
28,,Vishal Kaith,0.04,0.04,0.04,1.38,0.08,0
29,,Apuia,1.94,0.71,0.06,0.82,0,0.29
30,,Aakash Sangwan,2.16,1.84,0,1.89,0,0.58
31,,Rahul Bheke,1.76,1.71,0,2.24,0,0.35
32,,Gurmeet Singh,0,0.14,0,0.79,0,0
33,,Rostyn Griffiths,0.94,0.82,0,2.53,0,0.35
34,,Saúl Crespo,2,1.78,0.06,2.44,0,0.44
35,,Naorem Mahesh Singh,2.32,0.26,0,0.53,0,0.32
36,,Borja Herrera,1.09,0.86,0,0.55,0,0.41
37,,Holicharan Narzary,1.11,0.79,0,0.74,0,0.53
38,,Slavko Damjanović,0.8,1,0,3.9,0,0.1
39,,Diego Mauricio,0.71,0,0,0.29,0,0.1
40,,Mehtab Singh,0.86,1.24,0,3.48,0.05,0.38
41,,Sandesh Jhingan,0.95,1.76,0,7.48,0,0.1
42,,Wilmar Jordan,0.73,0.27,0,1.09,0,0.18
43,,Julius Düker,2.5,1.7,0,1.3,0,0.9
44,,Alan Costa,1.06,1.35,0,2.71,0.06,0.18
45,,Carl McHugh,2.14,1.05,0,1.67,0,0.52
46,,Halen Nongtdu,0,0,0,0,0,0
47,,Subhasish Bose,2.7,1.83,0.04,1.87,0,0.96
48,,Phurba Tempa Lachenpa,0.05,0,0,1.73,0.05,0
49,,Harrison Sawyer,0.56,0.17,0,0.56,0,0.22
50,,Alex,2,1.29,0,0.35,0,0.59
51,,João Victor,1,1.21,0,0.79,0,0.36
52,,Ashish Rai,2.46,2.13,0,1.46,0,0.75
53,,Akash Mishra,2.37,1.84,0.05,2.84,0,0.37
54,,Isak Vanlalruatfela,0.8,0.2,0,0.2,0,0.2
55,,Odei Onaindia,0.67,1.1,0,4.52,0,0.14
56,,Daniel Chima Chukwu,0.47,0.16,0,0.79,0,0.11
57,,Hugo Boumous,1,0.1,0,0,0,0.25
58,,Brendan Hamill,0.95,1.25,0,4.2,0,0.15
59,,Gurpreet Singh Sandhu,0.04,0.04,0.09,1.04,0.04,0.09
60,,Anwar Ali,1.25,1.2,0.15,4,0.05,0.3
61,,Sarthak Golui,2,1.62,0,3.46,0,1.08
62,,Pritam Kotal,0.79,2,0,3,0,0.25
63,,Sunil Chhetri,0.65,0.25,0,0.4,0,0.35
64,,Pratik Chowdhary,1.18,1.88,0,4.12,0,0.29
65,,Kwame Karikari,0.19,0.19,0,0.5,0,0.06
66,,Nandhakumar Sekar,0.95,0.65,0,0.25,0,0.3
67,,Fares Arnaout,1.26,1.11,0.05,2.26,0,0.11
68,,Javier Siverio,0.36,0.09,0,0.5,0,0.18
69,,Rohit Kumar,1.33,1.56,0,1.06,0,0.33
70,,Pronay Halder,1.89,1.11,0,1.67,0,0.44
71,,Federico Gallego,1.08,0.25,0,0.67,0,0.67
72,,Edwin Sydney Vanspaul,1.16,1,0,0.42,0,0.16
73,,Anirudh Thapa,0.69,0.56,0,0.5,0,0.69
74,,Glan Martins,2.29,1.65,0,0.94,0,0.94
75,,Bruno Ramires,1.53,1.27,0,2.13,0,0.4
76,,Gani Nigam,1.5,0.63,0,0.88,0,0.38
77,,Apostolos Giannou,0.82,0.06,0,0.29,0,0.18
78,,Vinit Rai,1.09,0.27,0,0.91,0,0.09
79,,Nim Dorjee Tamang,0.55,0.91,0,2.91,0,0.27
80,,Roshan Singh,2.26,1.35,0.04,1.39,0,0.65
81,,Jeakson Singh,2.47,1.37,0,1.11,0,0.79
82,,Manvir Singh,1.11,0.39,0,0.83,0,0.39
83,,Sandeep Singh,2.11,2.22,0,1.67,0.11,0.56
84,,Brison Fernandes,0.77,0,0,0,0,0.38
85,,Chinglensana Singh Konsham,0.36,0.93,0,2.79,0,0.36
86,,Iván Garrido,2.2,1.53,0,4.27,0,0.53
87,,Sivasakthi Narayanan,0.65,0.2,0,0.15,0,0.55
88,,Vincy Barretto,0.81,0.44,0,0.31,0,0.38
89,,Bidyashagar Singh,0,0,0,0,0,0.17
90,,Arsh Anwer Shaikh,0,0,0,1,0,0
91,,Gyamar Nikum,0,0,0,0,0,0
92,,Devansh Dabas,0,0,0,0,0,0
93,,Vibin Mohanan,2,0,0,0,0,0.33
94,,Bryce Miranda,0.92,0.25,0,0,0,0.17
95,,Liston Colaco,1.25,0.38,0,0.13,0,0.38
96,,Kamaljit Singh,0.18,0.06,0,1.76,0.06,0.12
97,,Vignesh Dakshinamurthy,1.75,1.5,0,1,0,0.44
98,,Rahim Ali,0.87,0.2,0,0.47,0,0.33
99,,Jordan O'Doherty,1.5,0.67,0,0.89,0,0.28
100,,Jessel Carneiro,1,0.72,0,1.11,0,0.33
101,,Marko Lešković,0.79,1.71,0,3.29,0.07,0.36
102,,Issac Vanmalsawma,0.95,0.4,0,0.1,0,0.3
103,,Namgyal Bhutia,1.8,1.6,0,1.2,0,0.4
104,,Mohammad Yasir,0.95,0.55,0,0.3,0,0.8
105,,Ruivah Hormipam,1.4,2.2,0,2.85,0,0.55
106,,Lenny Rodrigues,0.91,0.82,0,0.55,0,0.55
107,,Álvaro Vázquez,0.18,0.18,0,0.12,0,0.06
108,,Anuj Kumar,0,0,0,1.5,0,0
