#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Dimitri Petratos,0.04,0,41.67,37.68,0.52,0.3
2,,Greg Stewart,0.15,0,31.25,50.31,1.9,0.65
3,,Adrián Luna,0.21,0,39.13,56.91,2.63,0.68
4,,Abdenasser El Khayati,0,0,50,50,0.5,0.25
5,,Ahmed Jahouh,0.33,0,54.84,56.99,0.52,1.43
6,,Lallianzuala Chhangte,0.05,0,25,42.7,0.77,0.64
7,,Cleiton Silva,0.2,0,50,54.8,1.4,0.5
8,,Edu Bedia,0.33,0.06,58.82,52.59,1,1.11
9,,Karanjit Singh,0,0,0,0,0,0
10,,Wellington Priori,0.17,0,83.33,56.41,0,1.33
11,,Bartholomew Ogbeche,0,0,44.78,47.46,1.29,0.95
12,,Ivan Kalyuzhnyi,0.39,0,71.74,57.75,1.06,1.56
13,,Iker Guarrotxena,0.05,0,44.83,57.79,3.05,1.25
14,,Jorge Pereyra Díaz,0.35,0,33.33,42.57,0.8,0.6
15,,Noah Sadaoui,0.05,0,28.57,42.62,1.25,0.6
16,,Javi Hernández,0.14,0,60.87,49.79,2.19,0.48
17,,Laxmikant Kattimani,0,0,100,100,0.17,0
18,,Alberto Noguera,0.05,0,18.75,60.95,1.8,0.9
19,,Petar Slišković,0,0,63.64,56.6,0.76,0.71
20,,Dimitris Diamantakos,0.1,0,15.91,36,1.3,1.15
21,,Jay Emmanuel-Thomas,0,0,66.67,54.76,0.47,0.59
22,,Roy Krishna,0.19,0,35.62,44.76,1.86,1.29
23,,Brandon Fernandes,0.2,0,50,61.54,1.9,0.6
24,,Mirshad Michu,0.2,0,100,60,0.3,0.2
25,,Mourtada Fall,0.17,0,77.27,69.07,0.28,0.56
26,,Joni Kauko,0.17,0,75,57.14,0.83,0.67
27,,Th. Bipin Singh,0,0,40.91,38,0.55,0.5
28,,Vishal Kaith,0.08,0,66.67,70.59,0.21,0.08
29,,Apuia,0.24,0,53.85,65.38,1.41,0.65
30,,Aakash Sangwan,0,0,69.77,64.18,0.37,0.74
