#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Dimitri Petratos,0.39,0.3,24.61,81.1,8.52,62.96
2,,Greg Stewart,0.5,0.4,41.2,84.34,16.75,68.92
3,,Adrián Luna,0.37,0.32,49.26,77.03,14.74,41.76
4,,Abdenasser El Khayati,0.25,0.42,22.67,72.79,7,43.59
5,,Ahmed Jahouh,0.1,0.14,54.9,81.27,12.1,66.67
6,,Lallianzuala Chhangte,0.32,0.27,30.95,81.79,11,64
7,,Cleiton Silva,0.15,0.05,30.95,81.1,8,70.45
8,,Edu Bedia,0.44,0.22,61.94,82.69,8.89,51.7
9,,Karanjit Singh,0,0,18.5,72.97,0,43.75
10,,Wellington Priori,0.17,0,17,61.76,3.17,40
11,,Bartholomew Ogbeche,0.1,0.1,19.67,68.04,6.1,48
12,,Ivan Kalyuzhnyi,0.06,0.06,44.89,83.04,9.78,56.9
13,,Iker Guarrotxena,0.05,0,26.35,79.51,6.2,71.05
14,,Jorge Pereyra Díaz,0.2,0.35,15.7,76.11,6.1,63.64
15,,Noah Sadaoui,0.55,0.45,17.3,69.36,4,36
16,,Javi Hernández,0.38,0.24,31.95,76.15,6.62,50
17,,Laxmikant Kattimani,0,0,22.33,47.01,1.33,41.18
18,,Alberto Noguera,0.05,0.05,29.45,84.89,10.6,65.12
19,,Petar Slišković,0.12,0.24,17.35,64.41,4.82,85.71
20,,Dimitris Diamantakos,0.2,0.15,18.75,77.07,6.5,56.25
21,,Jay Emmanuel-Thomas,0.18,0,31.12,75.24,6.18,49.41
22,,Roy Krishna,0.29,0.24,17.9,70.74,5.57,61.76
23,,Brandon Fernandes,0.2,0.15,34.9,78.08,7.75,53
24,,Mirshad Michu,0,0,29.1,55.67,0.7,31.67
25,,Mourtada Fall,0.06,0.11,36.44,82.47,3.33,56.56
26,,Joni Kauko,0,0,34.5,78.74,8.67,26.67
27,,Th. Bipin Singh,0.05,0.09,24.95,79.42,8.32,44
28,,Vishal Kaith,0,0,23.21,63.38,0.54,41.81
29,,Apuia,0,0,35.59,84.63,6.82,76.74
30,,Aakash Sangwan,0.37,0.26,37.47,71.91,6.16,44.09
31,,Rahul Bheke,0,0,46.18,80.13,9.47,50.5
32,,Gurmeet Singh,0,0,24.86,48.56,1.07,42
33,,Rostyn Griffiths,0.06,0.06,44.47,90.21,4.59,74.19
34,,Saúl Crespo,0.06,0.11,51,75.93,11.06,49.41
35,,Naorem Mahesh Singh,0.32,0.37,25.53,67.22,6.42,34.62
36,,Borja Herrera,0.23,0.23,24.41,68.34,6.45,36.67
37,,Holicharan Narzary,0.21,0.32,20.89,68.26,6.47,39.29
38,,Slavko Damjanović,0,0,34.1,82.99,1.5,40
39,,Diego Mauricio,0.1,0.19,17.38,71.23,4.57,47.37
40,,Mehtab Singh,0,0,55.57,86.46,2.9,53.16
41,,Sandesh Jhingan,0,0,30.95,77.38,1.24,41.18
42,,Wilmar Jordan,0,0,16.73,72.83,3.27,52.94
43,,Julius Düker,0.2,0.2,48.2,84.96,8.85,62.5
44,,Alan Costa,0,0.06,28,76.89,2.65,44.55
45,,Carl McHugh,0,0.05,41.33,77.07,5.38,47.22
46,,Halen Nongtdu,0,0,40,92.5,3,0
47,,Subhasish Bose,0.13,0,46.39,76.66,7.65,37.85
48,,Phurba Tempa Lachenpa,0,0,26.05,59.86,1.5,33.63
49,,Harrison Sawyer,0.28,0.28,12.72,60.7,3.61,62.5
50,,Alex,0.12,0.06,31.94,79.19,7.41,45
51,,João Victor,0,0,44,79.22,7.57,66.07
52,,Ashish Rai,0.04,0.04,36.75,70.98,7.08,37.68
53,,Akash Mishra,0,0,36.16,71.76,6.53,40.86
54,,Isak Vanlalruatfela,0.1,0.2,9.6,63.54,2.4,18.18
55,,Odei Onaindia,0.05,0.05,41.48,80.25,1.76,42.11
56,,Daniel Chima Chukwu,0.26,0.11,13,66.8,4.89,68.75
57,,Hugo Boumous,0.15,0.2,32,78.91,11.55,70.49
58,,Brendan Hamill,0,0,39.9,87.34,2.05,52.8
59,,Gurpreet Singh Sandhu,0,0,27.39,43.65,2.78,30.28
60,,Anwar Ali,0.05,0.1,66.3,81.45,3.75,45.92
61,,Sarthak Golui,0.08,0,27.23,67.23,4.23,39.33
62,,Pritam Kotal,0,0,45.92,79.4,3.46,45.3
63,,Sunil Chhetri,0.05,0,16.8,72.92,4.9,46.15
64,,Pratik Chowdhary,0.06,0,24.94,70.05,2,36.07
65,,Kwame Karikari,0,0.06,9,52.78,1.81,40
66,,Nandhakumar Sekar,0.15,0.05,21.45,70.16,5,32.26
67,,Fares Arnaout,0,0,35.11,84.71,1.58,54.46
68,,Javier Siverio,0.05,0,14.77,64.31,3.59,77.78
69,,Rohit Kumar,0,0,21.94,81.27,4.44,55.56
70,,Pronay Halder,0.11,0,26.56,76.99,4.33,55.56
71,,Federico Gallego,0.17,0,24.75,66.67,7.25,45.45
72,,Edwin Sydney Vanspaul,0.11,0.05,21.89,71.88,4.26,41.79
73,,Anirudh Thapa,0,0.06,37.75,79.47,10.06,59.41
74,,Glan Martins,0,0,29.88,79.92,3.24,43.64
75,,Bruno Ramires,0.07,0,30.07,76.72,3.67,42.71
76,,Gani Nigam,0.25,0.25,13.88,72.97,2.75,57.89
77,,Apostolos Giannou,0.12,0.12,12.59,65.89,4.47,37.5
78,,Vinit Rai,0,0,20.91,83.48,4.55,56.25
79,,Nim Dorjee Tamang,0,0,25.36,82.08,1.18,62.5
80,,Roshan Singh,0.26,0.13,23.65,67.46,4.09,32.93
81,,Jeakson Singh,0,0,45.32,82.93,6.89,56.34
82,,Manvir Singh,0.06,0.22,25.67,71,7.72,36.84
83,,Sandeep Singh,0,0.11,32,66.32,5,16.39
84,,Brison Fernandes,0,0,7.38,82.29,1.15,66.67
85,,Chinglensana Singh Konsham,0,0,52,79.26,3.71,44.1
86,,Iván Garrido,0,0,32.07,75.05,2.4,46.51
87,,Sivasakthi Narayanan,0.1,0.15,8.15,61.35,2.05,20
88,,Vincy Barretto,0.19,0.13,13.44,68.84,3.75,25
89,,Bidyashagar Singh,0,0.17,1.67,90,0.5,100
90,,Arsh Anwer Shaikh,0,0,11,54.55,0,44.44
91,,Gyamar Nikum,0,0,2,100,0,0
92,,Devansh Dabas,0,0,24,62.5,1,42.86
93,,Vibin Mohanan,0,0,20,90,3.33,70
94,,Bryce Miranda,0.25,0.17,7.75,69.89,2.17,50
95,,Liston Colaco,0.08,0.17,19.83,73.95,5.96,43.33
96,,Kamaljit Singh,0,0,21,43.7,1.59,33.67
97,,Vignesh Dakshinamurthy,0,0,37,80.07,6.94,43.06
98,,Rahim Ali,0.13,0.07,16.13,74.38,4,45.45
