#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Dimitri Petratos,0,0.39,0,0,0.52,0.26
2,,Greg Stewart,0,0.15,0,0,0.8,0.05
3,,Adrián Luna,0,0.11,0,0,1.32,0.05
4,,Abdenasser El Khayati,0,0,0,0,1,0.42
5,,Ahmed Jahouh,0,0.05,0,0,0.67,0.1
6,,Lallianzuala Chhangte,0,0.05,0,0,0.86,0.05
7,,Cleiton Silva,0,0.1,0,0,1.5,0.35
8,,Edu Bedia,0,0.17,0,0,1.39,0.28
9,,Karanjit Singh,2.5,0.5,0,0,0.5,0
10,,Wellington Priori,0,0.17,0,0,0.5,0.5
11,,Bartholomew Ogbeche,0,0.24,0,0,0.52,0.1
12,,Ivan Kalyuzhnyi,0,0.17,0,0,1.06,0.06
13,,Iker Guarrotxena,0,0.2,0,0,1.25,0.3
14,,Jorge Pereyra Díaz,0,0.15,0,0,0.8,0.05
15,,Noah Sadaoui,0,0.1,0,0,1.05,0.2
16,,Javi Hernández,0,0.05,0,0,0.9,0.24
17,,Laxmikant Kattimani,2.33,0.67,0.17,0,0.5,0
18,,Alberto Noguera,0,0.05,0,0,0.45,0.05
19,,Petar Slišković,0,0.06,0,0,1.18,0.47
20,,Dimitris Diamantakos,0,0.05,0,0,1.35,0.05
21,,Jay Emmanuel-Thomas,0,0.18,0,0,1.06,0.12
22,,Roy Krishna,0,0.1,0,0,0.9,0.29
23,,Brandon Fernandes,0,0,0,0,1.45,0.3
24,,Mirshad Michu,5.7,0.1,0.3,0.1,2.2,0.3
25,,Mourtada Fall,0,0.11,0,0,0.61,0
26,,Joni Kauko,0,0,0,0,0.83,0.5
27,,Th. Bipin Singh,0,0.18,0,0,0.82,0.09
28,,Vishal Kaith,2.83,0.46,0.08,0,0.5,0.29
29,,Apuia,0,0,0,0,1,0.06
30,,Aakash Sangwan,0,0.11,0,0,1.26,0.53
31,,Rahul Bheke,0,0.35,0,0,0.76,0.12
32,,Gurmeet Singh,2.79,0.5,0.07,0,0.57,0.07
33,,Rostyn Griffiths,0,0.24,0,0,0.94,0.12
34,,Saúl Crespo,0,0.06,0,0,1.39,0
35,,Naorem Mahesh Singh,0,0.16,0,0,1.32,0.32
36,,Borja Herrera,0,0.14,0,0,0.55,0.09
37,,Holicharan Narzary,0,0.11,0,0,0.32,0.05
38,,Slavko Damjanović,0,0.4,0,0,0.2,0.1
39,,Diego Mauricio,0,0.05,0,0,1.57,0.05
40,,Mehtab Singh,0,0.33,0,0,0.86,0.1
41,,Sandesh Jhingan,0,0.29,0,0,0.95,0.24
42,,Wilmar Jordan,0,0.09,0,0,1.82,0.55
43,,Julius Düker,0,0.15,0,0,1.2,0.4
44,,Alan Costa,0,0.18,0,0,0.59,0.18
45,,Carl McHugh,0,0.38,0,0,0.38,0.19
46,,Halen Nongtdu,0,0,0,0,1,0
47,,Subhasish Bose,0,0.52,0,0,0.48,0.26
48,,Phurba Tempa Lachenpa,2.91,0.32,0.05,0,0.95,0.09
49,,Harrison Sawyer,0,0.06,0,0,0.78,0.17
50,,Alex,0,0.12,0,0,1.06,0.18
51,,João Victor,0,0.43,0,0,0.43,0
52,,Ashish Rai,0,0.38,0,0,0.46,0.25
53,,Akash Mishra,0,0.58,0,0,0.47,0.05
54,,Isak Vanlalruatfela,0,0,0,0,0.6,0
55,,Odei Onaindia,0,0.57,0,0,0.57,0.05
56,,Daniel Chima Chukwu,0,0.16,0,0,1.05,0.16
57,,Hugo Boumous,0,0,0,0,0.45,0.2
58,,Brendan Hamill,0,0.35,0,0,0.5,0.35
59,,Gurpreet Singh Sandhu,3.04,0.26,0.22,0.04,0.91,0.26
60,,Anwar Ali,0,0.2,0,0,1.45,0.3
61,,Sarthak Golui,0,0.15,0,0,0.85,0.15
62,,Pritam Kotal,0,0.5,0,0,0.5,0.29
63,,Sunil Chhetri,0,0.05,0,0,0.65,0.15
64,,Pratik Chowdhary,0,0.24,0,0,1,0.12
65,,Kwame Karikari,0,0,0,0,0.44,0.25
66,,Nandhakumar Sekar,0,0.05,0,0,1.35,0.05
67,,Fares Arnaout,0,0.05,0,0,0.74,0.16
68,,Javier Siverio,0,0,0,0,0.32,0.05
69,,Rohit Kumar,0,0.06,0,0,0.56,0.17
70,,Pronay Halder,0,0.22,0,0,0.89,0.33
71,,Federico Gallego,0,0.17,0,0,0.08,0.17
72,,Edwin Sydney Vanspaul,0,0.05,0,0,0.84,0.21
73,,Anirudh Thapa,0,0.06,0,0,1,0.38
74,,Glan Martins,0,0.06,0,0,0.41,0.12
75,,Bruno Ramires,0,0.13,0,0,0.87,0.07
76,,Gani Nigam,0,0,0,0,1,0.13
77,,Apostolos Giannou,0,0,0,0,0.41,0
78,,Vinit Rai,0,0,0,0,0.36,0
79,,Nim Dorjee Tamang,0,0.27,0,0,0.73,0.18
80,,Roshan Singh,0,0.17,0,0,0.87,0.22
81,,Jeakson Singh,0,0.16,0,0,1.32,0.05
82,,Manvir Singh,0,0.22,0,0,0.56,0.33
83,,Sandeep Singh,0,0.44,0,0,0.89,0
84,,Brison Fernandes,0,0,0,0,0.23,0
85,,Chinglensana Singh Konsham,0,0.57,0,0,0.57,0.07
86,,Iván Garrido,0,0.07,0,0,1.6,0.4
87,,Sivasakthi Narayanan,0,0.05,0,0,0.4,0.15
88,,Vincy Barretto,0,0.06,0,0,0.75,0.38
89,,Bidyashagar Singh,0,0,0,0,0.17,0
90,,Arsh Anwer Shaikh,1,0,0,0,0,0
91,,Gyamar Nikum,0,0,0,0,0,0
92,,Devansh Dabas,5,0,0,0,1,1
93,,Vibin Mohanan,0,0,0,0,0.33,0
94,,Bryce Miranda,0,0,0,0,0.17,0
95,,Liston Colaco,0,0.13,0,0,0.33,0.29
96,,Kamaljit Singh,3.12,0.18,0.12,0,1.53,0.35
97,,Vignesh Dakshinamurthy,0,0.13,0,0,0.56,0.13
98,,Rahim Ali,0,0,0,0,0.8,0.2
99,,Jordan O'Doherty,0,0,0,0,1.22,0.28
100,,Jessel Carneiro,0,0.11,0,0,1.11,0.06
101,,Marko Lešković,0,0.29,0,0,1.14,0
102,,Issac Vanmalsawma,0,0.05,0,0,0.85,0
103,,Namgyal Bhutia,0,0.2,0,0,1,0.4
104,,Mohammad Yasir,0,0.05,0,0,0.55,0.05
105,,Ruivah Hormipam,0,0.2,0,0,1.2,0.05
106,,Lenny Rodrigues,0,0.09,0,0,0.36,0.18
107,,Álvaro Vázquez,0,0,0,0,1,0.24
108,,Anuj Kumar,2,0,0,0,0.5,0
109,,Laldinliana Renthlei,0,0.18,0,0,1,0.41
110,,Deepak Tangri,0,0.27,0,0,0.36,0.18
111,,Vishal Yadav,3.22,0.11,0.33,0.11,1.33,0.33
112,,Nikhil Poojary,0,0.43,0,0,0.52,0.05
113,,Rafael Crivellaro,0,0.1,0,0,0.8,0.4
114,,Osama Malik,0,0.13,0,0,1.27,0
115,,Ayush Dev Chhetri,0,0.1,0,0,0.85,0.25
116,,Ion Gaztañaga,0,0.08,0,0,1.92,0.08
117,,Victor Mongil Adeva,0,0.06,0,0,0.78,0.06
118,,Aaren D'Silva,0,0,0,0,0.07,0
119,,Kiyan Nassiri,0,0,0,0,0.13,0.06
120,,Carlos Delgado,0,0.1,0,0,1.57,0.05
121,,Ritwik Kumar Das,0,0,0,0,0.72,0.33
122,,Rowllin Borges,0,0,0,0,0.19,0.06
123,,Hernán,0,0,0,0,1,0
124,,Víctor Rodríguez,0,0,0,0,0.86,0.07
125,,Fallou Diagne,0,0.16,0,0,1.32,0.37
126,,Yumkhaibam Jiteshwor Singh,0,0.13,0,0,0.81,0.25
127,,Parag Srivas,0,0.16,0,0,0.37,0.21
128,,Jerry Mawihmingthanga,0,0.1,0,0,1.2,0.05
129,,Pablo Pérez,0,0,0,0,0.21,0.07
130,,Vikram Pratap Singh,0,0,0,0,0.26,0.05
131,,Saviour Gama,0,0,0,0,0.88,0
132,,Vafa Hakhamaneshi,0,0.06,0,0,1,0.39
133,,Makan Winkle Chote,0,0,0,0,0.4,0
134,,Aleksandar Jovanović,0,0.13,0,0,0.75,0.25
135,,Raynier Fernandes,0,0.1,0,0,0.9,0.05
136,,Joel Chianese,0,0.1,0,0,0.3,0.05
137,,Germanpreet Singh,0,0,0,0,0.6,0.8
138,,Sylvester Igboun,0,0,0,0,1,0
139,,Michael Soosairaj,0,0,0,0,1,0
140,,Lalruatthara,0,0,0,0,0.25,0
141,,Ayush Chhikara,0,0,0,0,0,0
142,,Ajith Kumar,0,0.13,0,0,1.07,0.33
143,,Sahil Tavora,0,0.05,0,0,0.38,0.05
144,,Charis Kyriakou,0,0.17,0,0,1.11,0.22
145,,Mobashir Rahman,0,0.08,0,0,1.08,0.23
146,,Amrinder Singh,2.67,0.1,0.1,0,1.57,0.05
147,,V.P. Suhair,0,0,0,0,0.94,0.11
148,,Narender Gahlot,0,0.06,0,0,1.44,0.06
149,,Ishan Pandita,0,0,0,0,0.53,0.12
150,,Romain Philippoteaux,0,0.06,0,0,2,0.28
151,,Udanta Singh Kumam,0,0.06,0,0,0.29,0.06
152,,Redeem Tlang,0,0,0,0,0.56,0.11
153,,Eli Sabiá,0,0.13,0,0,1.07,0.47
154,,Jitendra Singh,0,0.15,0,0,0.85,0.23
155,,Parthib Gogoi,0,0,0,0,1.44,0.06
156,,Nikhil Prabhu,0,0,0,0,0.8,0
157,,Ayush Adhikari,0,0,0,0,0.17,0
158,,Suresh Wangjam Singh,0,0.14,0,0,0.95,0.19
159,,Rehnesh Paramba,2.36,0.27,0,0,1.18,0.36
160,,Devendra Dhaku Murgaokar,0,0,0,0,0.92,0.17
161,,Ricky Lallawmawma,0,0.15,0,0,1.25,0.35
162,,Sourav Das,0,0,0,0,1,0.43
163,,Lalthathanga Khawlhring,0,0,0,0,0.64,0.07
164,,Prasanth Karuthadathkuni,0,0,0,0,1.2,0.2
165,,Jake Jervis,0,0.2,0,0,1.2,0.2
166,,Joseba Beitia,0,0,0,0,2.6,0.2
167,,Rahul Kannoly,0,0.17,0,0,1,0.06
168,,Manoj Mohammed,0,0.33,0,0,1.67,0.33
169,,Emanuel Lalchhanchhuaha,0,0,0,0,0.78,0.11
170,,Emil Benny,0,0.06,0,0,1.5,0.25
171,,Abdul Rabeeh,0,0,0,0,0.28,0.06
172,,Harmanjot Singh Khabra,0,0,0,0,1.71,0
173,,Ashique Kuruniyan,0,0.22,0,0,0.39,0.17
174,,Seriton Fernandes,0,0.2,0,0,1.4,0.33
175,,Chungnunga Lal,0,0.11,0,0,1.63,0.37
176,,Jithin MS,0,0,0,0,1.81,0.38
177,,Michael Jakobsen,0,0,0,0,2.2,0.3
178,,Hitesh Sharma,0,0,0,0,0.32,0.05
179,,Sahil Panwar,0,0.11,0,0,1.22,0.06
180,,Rochharzela,0,0,0,0,1.07,0.21
181,,Matt Derbyshire,0,0,0,0,1.75,0.13
182,,Denechandra Meitei,0,0,0,0,0.86,0
183,,Gursimrat Gill,0,0,0,0,0,0
184,,P C Rohlupuia,0,0,0,0,0,0
185,,Hardik Bhatt,0,0,0,0,1,0
186,,Arshdeep Singh,1,0,0,0,0.5,0
187,,Syed Suhail Pasha,0,0,0,0,1,0
188,,Princeton Rebello,0,0,0,0,0.67,0
189,,Narayan Das,0,0,0,0,0.5,0.17
190,,Jockson Das A,0,0,0,0,0.33,0.17
191,,Tuhin Das,0,0,0,0,0.38,0
192,,Seminlen Doungel,0,0,0,0,0.6,0.1
193,,Rohit Danu,0,0,0,0,0.31,0.08
194,,Prabhsukhan Gill,2.17,0.22,0.11,0,1.44,0.06
195,,Prabir Das,0,0.16,0,0,0.74,0.16
196,,Pedro Martin,0,0,0,0,0.35,0.05
197,,Samik Mitra,2.7,0.2,0.1,0,1.2,0.4
198,,Jayesh Rane,0,0,0,0,0,0.11
199,,Lalrinliana Hnamte,0,0,0,0,0.08,0.08
200,,Boris Thangjam,0,0,0,0,1.1,0.25
