#,Team,Name,Appearances
1,,Jack Byrne,23
2,,Tiernan McGinty,1
3,,Cian Byrne,4
4,,Ben Doherty,34
5,,Michael Duffy,22
6,,William Patching,29
7,,Harry Wood,14
8,,Daryl Horgan,11
9,,Roberto Lopes,31
10,,Rory Gaffney,33
11,,Jordan Flores,30
12,,Paul McMullan,12
13,,Tiernan Brooks,3
14,,Graham Burke,31
15,,Lee Grace,27
16,,Neil Farrugia,27
17,,Max Mata,23
18,,Dean Lyness,31
19,,Christopher Forrester,36
20,,Brian Maher,36
21,,Vladislav Kreida,11
22,,Joe Redmond,20
23,,Matthew Healy,16
24,,Richard Brush,5
25,,Conor Kearns,35
26,,Jack Moylan,36
27,,Sean Boyd,10
28,,Jonathan Afolabi,34
29,,Ruairi Keating,34
30,,Pat Hoban,34
31,,Dayle Rooney,33
32,,Connor Malley,33
33,,Jason McClelland,23
34,,Freddie Draper,21
35,,Cameron McJannett,30
36,,Matt Ward,3
37,,Alistair Coote,30
38,,Keith Buckley,27
39,,Sean Hoare,22
40,,Adam McDonnell,33
41,,Brandon Kavanagh,29
42,,Daniel Lafferty,16
43,,Alan Mannus,23
44,,Archie Davies,35
45,,Andy Boyle,18
46,,Adam Foley,29
47,,Markus Poom,30
48,,Dan Cleary,31
49,,Gavin Molloy,27
50,,Dylan Watts,21
51,,Ciaran Coll,27
52,,Darragh Crowley,17
53,,Keith Ward,20
54,,Jordan McEneff,30
55,,Krystian Nowak,31
56,,Gary O'Neill,28
57,,Fabrice Hartmann,23
58,,Shane McEleney,32
59,,Leon Pohls,15
60,,James Clarke,32
61,,Colm Whelan,3
62,,David Norman,8
63,,Mark Connolly,16
64,,Paddy Barrett,26
65,,Luke Byrne,18
66,,James McManus,24
67,,John-Alan McGrath,27
68,,Aaron Greene,18
69,,Sam Curtis,34
70,,Jonas Hakkinen,17
71,,Trevor Clarke,20
72,,Jake Mulraney,29
73,,Jonathan Lunney,35
74,,Conor Keeley,33
75,,Ryan Brennan,29
76,,Greg Bolger,31
77,,Ben Worman,11
78,,Darragh Markey,33
79,,Ben Curtis,2
80,,Jamie Lennon,31
81,,Kailin Barlow,33
82,,Conan Noonan,6
83,,Garry Buckley,11
84,,Kieran Cruise,3
85,,Kacper Radkowski,34
86,,Matthew Smith,19
87,,Mark Coyle,27
88,,Patrick McEleney,20
89,,Emmanuel Adegboyega,22
90,,Noah Lewis,17
91,,Richie Towell,26
92,,Daniel Grant,12
93,,Paul Doyle,25
94,,Will Jarvis,12
95,,Darragh Leahy,24
96,,Louie Annesley,14
97,,Liam Burt,16
98,,William Fitzgerald,28
99,,Euclides Cabral,5
100,,Bartlomiej Kukułowicz,9
101,,Justin Ferizaj,4
102,,Nando Pijnaker,32
103,,Luke McNicholas,26
104,,Gary Deegan,34
105,,Cameron Dummigan,16
106,,Darragh Nugent,19
107,,Barry Coffey,28
108,,Ben McCormack,22
109,,Hayden Muller,33
110,,Ronan Finn,17
111,,Andriy Kravchuk,9
112,,Danny Mullen,12
113,,Evan Caffrey,36
114,,Nathan Shepperd,36
115,,Declan McDaid,31
116,,John Ross Wilson,27
117,,Daniel Kelly,27
118,,Mark Doyle,32
119,,Johan Brannefalk,32
120,,Jay Benn,8
121,,Sam Todd,5
122,,Ronan Boyce,31
123,,James Talbot,36
124,,Ryan O'Kane,34
125,,Tyreke Wilson,33
126,,Sean Gannon,10
127,,Kyle Robinson,28
128,,Joe O'Brien Whitmarsh,23
129,,Conor Carty,34
130,,Elicha Ahui,20
131,,Sadou Diallo,30
132,,Ryan Graydon,23
133,,John Martin,32
134,,Jamie McGonigle,24
135,,Kian Leavy,20
136,,Johannes Yli-Kokko,28
137,,Robert McCourt,13
138,,Robbie Benson,14
139,,James Corcoran,20
140,,Jad Hakiki,21
141,,Paddy Kirk,30
142,,Sam Durrant,10
143,,Simon Power,5
144,,Shane Griffin,26
145,,Cian Coleman,31
146,,Reece Hutchinson,28
147,,Niall Morahan,33
148,,James Akintunde,19
149,,Anto Breslin,36
150,,Adam O'Reilly,28
151,,Stefan Radosavljević,31
152,,Rokas Stanulevicius,5
153,,Conor Kane,11
154,,Cameron Elliott,23
155,,Pedro Martelo,12
156,,Mark Dignam,11
157,,Ciaran Behan,30
158,,Johnny Kenny,30
159,,Shane Farrell,33
160,,Tom Lonergan,31
161,,Naj Razi,3
162,,Oran Crowe,3
163,,Jamie Egan,5
164,,John O'Sullivan,19
165,,Mason Melia,10
166,,Ola Williams,11
167,,Colin McCabe,18
168,,Sean Kavanagh,25
169,,Adam Murphy,29
170,,Andrew Wogan,18
171,,Lukas Browning Lagerfeldt,27
172,,Gregory Sloggett,27
173,,Dean Williams,16
174,,Kevin Custovic,24
175,,Alfie Lewis,25
176,,Danu Kinsella Bishop,31
177,,Andrew Quinn,16
178,,Thijs Timmermans,18
179,,Cian Bargary,25
180,,Sami Clarke,12
181,,Eoin Doyle,21
182,,Aaron McNally,22
183,,Albin Winbo,7
184,,Cian Kavanagh,27
185,,Rayhaan Tulloch,19
186,,Warren Davis,19
187,,Joshua Honohan,33
188,,Rhys Bartley,1
189,,Bogdan Vastsuk,8
190,,Jaden Umeh,1
191,,Evan McLaughlin,3
192,,Aaron Bolger,31
193,,John Mahon,27
194,,Ethon Varian,13
195,,Tunde Owolabi,28
196,,Dara Keane,25
197,,Cian Murphy,21
198,,Kristopher Twardek,19
199,,Colin Bolton,5
200,,Jack Keaney,34
201,,Adam Verdon,14
202,,Daniel Krezić,18
203,,Jaze Kabia,9
204,,Evan Weir,24
205,,Dylan Connolly,28
206,,Tom Grivosti,8
207,,Oliver O'Neill,19
208,,Luke Heeney,28
209,,David Toure,3
210,,Kameron Ledwidge,25
211,,Dylan Grimes,19
212,,Gbemi Arubi,8
213,,Kian Moore,23
214,,Jake Doyle,29
215,,Eanna Clancy,17
216,,Ryan McLaughlin,2
217,,Ally Gilchrist,21
218,,David Cawley,23
219,,Darren Brownlie,7
220,,Axel Sjoberg,7
221,,Brian McManus,17
222,,Michael Leddy,14
223,,Matthew O'Brien,9
224,,Ryan Bowden,6
225,,Joshua Fitzpatrick,3
226,,Luke O'Regan,14
227,,Matthew Alonge,5
228,,Frank Liivak,33
229,,Adam Wells,31
230,,Grant Horton,20
231,,Sean Brennan,13
232,,Jarlath Jones,7
233,,Serge Atakayi,10
234,,Gordon Walker,20
235,,Oliver Byrne,10
236,,Mikey Raggett,10
237,,Callum McKay,1
238,,Sean Patton,1
239,,Daniel McCarthy,1
240,,Kyle Donoghue,2
241,,Harry Curtis,6
242,,Senan Mullen,4
243,,Donal Higgins,23
244,,John O'Donovan,15
245,,Robbie Burton,7
246,,Divine Izekor,10
247,,Daniel Norris,32
248,,Harry O'Connor,13
249,,Harry Brockbank,6
250,,Brendan Barr,29
251,,Conor Walsh,5
252,,Harvey O'Brien,19
253,,Toby Oluwayemi,2
254,,Anthony Dodd,1
255,,Karl O'Sullivan,14
256,,Alex Nolan,29
257,,Michael Gallagher,22
258,,David Odumosu,5
259,,Malik Dijksteel,8
260,,Nickson Okosun,2
261,,Owen Elding,5
262,,Conor Drinan,12
263,,Luke Slater,5
264,,Jesse Dempsey,21
265,,Andrew Baker,1
266,,Lorcan Healy,13
267,,Evan Osam,26
268,,Sam Bailey,2
269,,Emre Topçu,5
270,,James Finnerty,2
271,,Daniel Babb,10
272,,Daniel Moynihan,2
273,,Harry Fisk,1
274,,Christian Lotefa,1
275,,Conor Campbell,1
276,,Luke O'Donnell,1
277,,Conor Reynolds,1
278,,Callum Warren,1
