#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Jack Byrne,0.17,0,67.86,0.87,0,0
2,,Tiernan McGinty,1,0,0,1,0,0
3,,Cian Byrne,0,0,100,0.75,0,0
4,,Ben Doherty,0.15,0.12,56.25,1.06,0,0
5,,Michael Duffy,0.32,0.14,32.56,2.09,0.05,0
6,,William Patching,0.24,0.03,55,1.69,0,0
7,,Harry Wood,0.14,0.07,64.29,3,0,0
8,,Daryl Horgan,0.27,0,40,1.27,0,0
9,,Roberto Lopes,0.06,0,100,0.71,0.06,0
10,,Rory Gaffney,0.24,0.18,58.54,2.21,0.06,0
11,,Jordan Flores,0.17,0.03,75,2.07,0,0.56
12,,Paul McMullan,0,0,27.78,0.92,0,0
13,,Tiernan Brooks,0,0,0,0,0,0
14,,Graham Burke,0.39,0.03,42.42,2.94,0,0
15,,Lee Grace,0.15,0,87.5,1.19,0.15,0
16,,Neil Farrugia,0.15,0.04,58.11,1.52,0.07,0
17,,Max Mata,0.48,0.26,46.43,2.43,0.22,0
18,,Dean Lyness,0,0,0,0,0,0
19,,Christopher Forrester,0.36,0.08,60.53,2.08,0.06,0
20,,Brian Maher,0,0,100,0,0,0
21,,Vladislav Kreida,0,0,100,0.18,0,0
22,,Joe Redmond,0.15,0,100,0.65,0.1,0
23,,Matthew Healy,0.13,0,66.67,0.69,0,0
24,,Richard Brush,0,0,0,0,0,0
25,,Conor Kearns,0,0,100,0,0,0
26,,Jack Moylan,0.42,0.25,53.33,2.64,0,0
27,,Sean Boyd,0.4,0,28.57,1.3,0.2,0
28,,Jonathan Afolabi,0.44,0.26,54.55,2.62,0.06,0
29,,Ruairi Keating,0.38,0.18,51.35,2.47,0.06,0
30,,Pat Hoban,0.41,0.18,35.71,2.12,0.24,0
31,,Dayle Rooney,0.15,0,55.26,2.42,0.03,0
32,,Connor Malley,0.09,0.06,73.58,0.73,0.03,0
33,,Jason McClelland,0.17,0.09,59.26,1.26,0.04,0
34,,Freddie Draper,0.38,0.33,52.63,3.05,0.14,0
35,,Cameron McJannett,0.07,0,60,0.7,0.07,0
36,,Matt Ward,0.33,0.33,100,1.33,0,0
37,,Alistair Coote,0.2,0.03,57.58,1.3,0,0
38,,Keith Buckley,0,0,66.67,0.22,0,0
39,,Sean Hoare,0.05,0,78.57,1,0.05,0
40,,Adam McDonnell,0.09,0.03,61.54,1.33,0,0
41,,Brandon Kavanagh,0.17,0,72.73,0.97,0.03,0
42,,Daniel Lafferty,0.13,0,100,0.69,0.06,0
43,,Alan Mannus,0,0,0,0,0,0
44,,Archie Davies,0,0,61.04,0.71,0,0
45,,Andy Boyle,0.06,0,100,0.28,0.06,0
