#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Jack Byrne,0.43,0.39,0,0.13,0,0.22
2,,Tiernan McGinty,0,0,0,0,0,0
3,,Cian Byrne,0.75,1,0,2,0,0.25
4,,Ben Doherty,1.41,1.47,0,0.74,0,0.5
5,,Michael Duffy,0.82,0.27,0,0.73,0,0.59
6,,William Patching,0.83,0.41,0,0.38,0,0.28
7,,Harry Wood,0.64,0.07,0,0.36,0,0.43
8,,Daryl Horgan,0.55,0.27,0,0.27,0,0.18
9,,Roberto Lopes,1.16,1.68,0,3.45,0.03,0.19
10,,Rory Gaffney,0.36,0.03,0,0.15,0,0.06
11,,Jordan Flores,1.8,0.8,0,0.93,0,0.73
12,,Paul McMullan,0.92,0.25,0,0.42,0,0.75
13,,Tiernan Brooks,0,0.33,0,1.33,0,0
14,,Graham Burke,0.32,0.19,0,0.1,0,0.26
15,,Lee Grace,1.15,1.33,0,1.52,0,0.22
16,,Neil Farrugia,2.11,0.96,0,1.22,0,0.41
17,,Max Mata,0.39,0.13,0,0.91,0,0.26
18,,Dean Lyness,0,0,0,0.9,0.03,0.06
19,,Christopher Forrester,1.06,0.67,0,0.58,0,0.67
20,,Brian Maher,0,0,0,1.08,0.03,0
21,,Vladislav Kreida,1.55,1.55,0,0.45,0,0.64
22,,Joe Redmond,0.5,0.7,0,3.95,0,0.1
23,,Matthew Healy,1.25,1.38,0,1,0,0.38
24,,Richard Brush,0,0.2,0,2,0,0.2
25,,Conor Kearns,0,0,0,0.6,0,0.06
26,,Jack Moylan,0.72,0.25,0,0.25,0,0.31
27,,Sean Boyd,0.8,0,0,1.3,0,0.1
28,,Jonathan Afolabi,0.29,0.06,0,0.26,0,0.03
29,,Ruairi Keating,0.41,0.29,0,0.82,0,0.18
30,,Pat Hoban,0.24,0.06,0,0.5,0,0.15
31,,Dayle Rooney,0.91,0.58,0,0.52,0,0.88
32,,Connor Malley,1.48,0.7,0,0.52,0,0.48
33,,Jason McClelland,0.83,0.35,0,0.22,0,0.61
34,,Freddie Draper,0.48,0.1,0,0.62,0,0.38
35,,Cameron McJannett,0.87,1,0,3.17,0.03,0.17
36,,Matt Ward,0.67,0,0,0,0,0.33
