#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Jack Byrne,0.13,0,0,43.48,0.91,0.35
2,,Tiernan McGinty,0,0,0,0,0,0
3,,Cian Byrne,0,0,64.29,69.57,0.75,0.25
4,,Ben Doherty,0.21,0,52.5,56.1,1.5,1.12
5,,Michael Duffy,0.05,0,38.3,43.6,1.14,0.59
6,,William Patching,0.07,0,35.48,46.3,1,0.72
7,,Harry Wood,0.14,0,35,42.73,0.93,0.64
8,,Daryl Horgan,0.18,0,0,38.89,0.55,0.36
9,,Roberto Lopes,0.06,0.03,69.79,71.11,0.65,0.42
10,,Rory Gaffney,0.03,0,42.86,36.84,0.36,1
11,,Jordan Flores,0.2,0.03,53.7,55.4,0.47,0.9
12,,Paul McMullan,0.17,0,50,40.58,0.58,0.67
13,,Tiernan Brooks,0,0,0,100,0.33,0
14,,Graham Burke,0.23,0.03,23.08,42.11,1.61,0.68
15,,Lee Grace,0.22,0.04,72.12,64.53,0.7,1.11
16,,Neil Farrugia,0.22,0,62.5,51.14,0.74,1.56
17,,Max Mata,0.09,0,46.1,44,1.04,1
18,,Dean Lyness,0,0,77.78,73.33,0.23,0
19,,Christopher Forrester,0.17,0,50,48.95,1,0.67
20,,Brian Maher,0.06,0,66.67,88.89,0.11,0
21,,Vladislav Kreida,0.36,0,54.55,51.67,0.64,1.27
22,,Joe Redmond,0.15,0,67.07,64.91,0.35,0.5
23,,Matthew Healy,0,0.06,54.55,52.69,0.75,0.88
24,,Richard Brush,0,0,100,75,0.2,0
25,,Conor Kearns,0.06,0,100,90.48,0.34,0
26,,Jack Moylan,0.06,0,19.64,43.18,1.72,0.92
27,,Sean Boyd,0.4,0,47.73,45.74,1.3,1.7
28,,Jonathan Afolabi,0.09,0,37.04,37.72,1.32,1.88
29,,Ruairi Keating,0.24,0,44.35,42.66,1.18,1.35
30,,Pat Hoban,0.15,0,53.9,46.15,0.91,0.88
31,,Dayle Rooney,0.12,0,27.27,35.66,0.67,1.03
32,,Connor Malley,0.18,0,56.1,57.79,1.24,1.15
33,,Jason McClelland,0.04,0,41.18,48.15,1.04,0.43
34,,Freddie Draper,0.24,0.05,32.92,34.5,1.71,2.43
35,,Cameron McJannett,0.1,0.03,64.71,66.35,1.2,0.57
36,,Matt Ward,0.33,0,100,75,0.33,0.33
37,,Alistair Coote,0.07,0,22.73,43.56,0.83,0.6
38,,Keith Buckley,0.3,0,51.43,57.21,0.81,1.15
39,,Sean Hoare,0.05,0.05,76.19,60.96,0.45,1.18
40,,Adam McDonnell,0.36,0,58.82,57.64,1,1.33
41,,Brandon Kavanagh,0.07,0,20,44.62,0.55,0.28
42,,Daniel Lafferty,0.13,0,68.18,70.18,0.25,0.38
43,,Alan Mannus,0.09,0,80,80,0,0
44,,Archie Davies,0.2,0,53.45,54.57,1.4,1.26
45,,Andy Boyle,0.11,0,82.35,73.33,0.83,0.72
46,,Adam Foley,0.21,0,48.57,52.11,0.66,0.83
47,,Markus Poom,0.1,0,63.16,50,0.33,0.9
48,,Dan Cleary,0.26,0.03,76.92,59.22,0.94,1.16
49,,Gavin Molloy,0.19,0,65.28,58.06,0.89,0.96
50,,Dylan Watts,0.14,0,50,49.54,0.67,0.76
51,,Ciaran Coll,0.07,0,63.75,64.05,0.63,0.41
52,,Darragh Crowley,0.12,0,71.43,61.54,1,0.53
53,,Keith Ward,0.05,0,50,48.94,0.4,0.3
54,,Jordan McEneff,0.1,0,40,50.82,0.63,0.77
55,,Krystian Nowak,0.03,0,52.63,54.72,0.48,0.81
56,,Gary O'Neill,0.14,0,40.91,58.33,0.64,0.71
57,,Fabrice Hartmann,0.3,0,30.77,46.1,0.87,0.87
58,,Shane McEleney,0.09,0.03,60.98,59.4,0.28,0.41
59,,Leon Pohls,0,0,0,100,0.07,0
60,,James Clarke,0.13,0,42.11,50.57,1.63,1.19
61,,Colm Whelan,0,0,25,21.43,0.33,0.33
62,,David Norman,0.13,0,53.85,60.98,0.75,0.25
63,,Mark Connolly,0.19,0,69.23,71.01,1.06,0.81
