#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Jack Byrne,0.3,0.3,56.43,79.58,17.57,57.99
2,,Tiernan McGinty,0,0,0,0,0,0
3,,Cian Byrne,0.25,0,59.25,81.01,4.75,68.42
4,,Ben Doherty,0.12,0.26,43.29,73.85,10.74,43.52
5,,Michael Duffy,0.27,0.27,25.45,75.36,8.5,50
6,,William Patching,0.21,0.24,32.72,83.25,9.83,65.52
7,,Harry Wood,0.5,0.5,35.79,71.46,10.36,52.17
8,,Daryl Horgan,0.27,0.18,26.55,78.77,8.91,58.33
9,,Roberto Lopes,0,0,56.68,82.36,3.55,43.6
10,,Rory Gaffney,0.18,0.24,20.09,76.02,7.76,78.46
11,,Jordan Flores,0.13,0.13,46.77,74.7,10.33,52.91
12,,Paul McMullan,0.5,0.42,21.92,73.76,8.67,40
13,,Tiernan Brooks,0,0,33,47.47,3.33,34.62
14,,Graham Burke,0.06,0.06,30.48,87.09,10.77,76.36
15,,Lee Grace,0,0.07,64,83.74,7.26,50
16,,Neil Farrugia,0.19,0.15,27.78,81.73,9.37,58.62
17,,Max Mata,0.04,0.04,23.48,61.67,7.91,36.36
18,,Dean Lyness,0,0.03,27.39,56.65,0.9,33.02
19,,Christopher Forrester,0.11,0.11,41.22,80.05,12.06,55.43
20,,Brian Maher,0.03,0,40.33,69.01,1.78,46.48
21,,Vladislav Kreida,0.18,0.18,37.73,80.24,6.64,52.31
22,,Joe Redmond,0,0.1,58.75,78.81,5.35,41.2
23,,Matthew Healy,0.25,0.06,41.25,74.09,7.19,43.45
24,,Richard Brush,0,0,25.6,41.41,2.6,28.85
25,,Conor Kearns,0,0,28.77,43.5,2.57,27.5
26,,Jack Moylan,0.06,0.06,15.89,68.01,4.94,56.67
27,,Sean Boyd,0.1,0.1,13.4,50,2.4,33.33
28,,Jonathan Afolabi,0.06,0.15,12.41,73.93,5.18,50
29,,Ruairi Keating,0.12,0.09,17.91,54.35,3.74,21.62
30,,Pat Hoban,0.15,0.18,20.5,58.11,5.35,42.59
31,,Dayle Rooney,0.36,0.24,21.36,63.69,6.76,36.56
32,,Connor Malley,0.18,0.09,37.64,82.77,10.61,70.14
33,,Jason McClelland,0.17,0.13,13.96,71.65,4.48,47.37
34,,Freddie Draper,0.24,0.14,15.43,51.85,3.9,55.56
35,,Cameron McJannett,0.03,0.03,62.67,79.36,6.33,50
36,,Matt Ward,0,0,4,83.33,0.67,100
37,,Alistair Coote,0.17,0.17,22.57,80.65,9.03,60.42
38,,Keith Buckley,0,0.04,47.3,77.76,9.56,57.92
39,,Sean Hoare,0.05,0.05,52.77,80.19,8.23,48.69
40,,Adam McDonnell,0,0.03,30.7,78.48,6.52,53.96
41,,Brandon Kavanagh,0.14,0.21,16.38,81.47,4.52,50
42,,Daniel Lafferty,0,0,29.94,71.19,3.81,40.2
