#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Jack Byrne,0,0.09,0,0,0.52,0.22
2,,Tiernan McGinty,0,0,0,0,0,0
3,,Cian Byrne,0,0.5,0,0,0.25,0.25
4,,Ben Doherty,0,0.41,0,0,0.56,0.09
5,,Michael Duffy,0,0.23,0,0,0.32,0.09
6,,William Patching,0,0.24,0,0,0.45,0
7,,Harry Wood,0,0.14,0,0,0.43,0.29
8,,Daryl Horgan,0,0,0,0,0.82,0.09
9,,Roberto Lopes,0,0.52,0,0,0.39,0.16
10,,Rory Gaffney,0,0.12,0,0,0.45,0.09
11,,Jordan Flores,0,0.23,0,0,0.83,0.23
12,,Paul McMullan,0,0.25,0,0,0.42,0
13,,Tiernan Brooks,3,0.33,0,0,0,0.67
14,,Graham Burke,0,0.03,0,0,0.42,0.13
15,,Lee Grace,0,0.56,0,0,0.44,0.22
16,,Neil Farrugia,0,0.33,0,0,0.56,0.19
17,,Max Mata,0,0.04,0,0,0.96,0.26
18,,Dean Lyness,3.13,0.39,0.1,0,0.74,0.29
19,,Christopher Forrester,0,0.28,0,0,0.86,0.22
20,,Brian Maher,2.25,0.5,0.14,0.03,0.58,0.08
21,,Vladislav Kreida,0,0.18,0,0,0.82,0.27
22,,Joe Redmond,0,0.45,0,0,0.95,0.15
23,,Matthew Healy,0,0.06,0,0,1.38,0.25
24,,Richard Brush,2,0.6,0,0,0.6,0.2
25,,Conor Kearns,2.71,0.4,0.06,0.03,0.49,0.23
26,,Jack Moylan,0,0.14,0,0,0.36,0.25
27,,Sean Boyd,0,0,0,0,0.3,0.2
28,,Jonathan Afolabi,0,0.18,0,0,0.85,0.09
29,,Ruairi Keating,0,0.18,0,0,1.18,0.32
30,,Pat Hoban,0,0.03,0,0,0.79,0.12
31,,Dayle Rooney,0,0.18,0,0,1.24,0.18
32,,Connor Malley,0,0.18,0,0,0.94,0.12
33,,Jason McClelland,0,0,0,0,0.3,0.26
34,,Freddie Draper,0,0.14,0,0,0.95,0.19
35,,Cameron McJannett,0,0.4,0,0,0.53,0.07
36,,Matt Ward,0,0,0,0,0.67,0
37,,Alistair Coote,0,0.07,0,0,0.53,0.03
38,,Keith Buckley,0,0.22,0,0,0.93,0.19
39,,Sean Hoare,0,0.45,0,0,0.32,0.05
40,,Adam McDonnell,0,0.15,0,0,0.82,0.18
41,,Brandon Kavanagh,0,0.07,0,0,0.24,0.03
42,,Daniel Lafferty,0,0.06,0,0,0.75,0.19
43,,Alan Mannus,2.3,0.48,0.04,0,0.52,0.22
44,,Archie Davies,0,0.26,0,0,1.11,0.14
45,,Andy Boyle,0,0.28,0,0,0.94,0.11
46,,Adam Foley,0,0.1,0,0,1.03,0.1
47,,Markus Poom,0,0.33,0,0,0.4,0.13
48,,Dan Cleary,0,0.45,0,0,0.45,0.23
49,,Gavin Molloy,0,0.37,0,0,0.48,0.26
50,,Dylan Watts,0,0.05,0,0,0.48,0.1
51,,Ciaran Coll,0,0.33,0,0,0.48,0
52,,Darragh Crowley,0,0.12,0,0,1.24,0.24
53,,Keith Ward,0,0,0,0,0.65,0
54,,Jordan McEneff,0,0.03,0,0,0.27,0
55,,Krystian Nowak,0,0.32,0,0,0.97,0.13
56,,Gary O'Neill,0,0.39,0,0,0.57,0.21
57,,Fabrice Hartmann,0,0.09,0,0,0.7,0.3
58,,Shane McEleney,0,0.41,0,0,0.44,0.09
59,,Leon Pohls,1.6,0.53,0.07,0.07,0.53,0.13
60,,James Clarke,0,0.03,0,0,0.53,0.06
61,,Colm Whelan,0,0,0,0,0.33,0
62,,David Norman,0,0.38,0,0,0.75,0.13
63,,Mark Connolly,0,0.19,0,0,0.44,0.06
64,,Paddy Barrett,0,0.27,0,0,0.58,0.23
65,,Luke Byrne,0,0.39,0,0,0.39,0.11
66,,James McManus,0,0.21,0,0,0.63,0.08
67,,John-Alan McGrath,0,0.26,0,0,0.56,0.33
68,,Aaron Greene,0,0,0,0,0.17,0
69,,Sam Curtis,0,0.29,0,0,0.91,0.26
70,,Jonas Hakkinen,0,0.24,0,0,1,0.47
71,,Trevor Clarke,0,0.15,0,0,0.5,0.1
72,,Jake Mulraney,0,0.07,0,0,0.66,0.14
73,,Jonathan Lunney,0,0.26,0,0,0.46,0.26
74,,Conor Keeley,0,0.24,0,0,1.21,0.15
75,,Ryan Brennan,0,0.14,0,0,0.93,0.14
76,,Greg Bolger,0,0.03,0,0,0.94,0.19
77,,Ben Worman,0,0.09,0,0,0.64,0
78,,Darragh Markey,0,0.15,0,0,1.06,0.18
79,,Ben Curtis,0,0.5,0,0,0,0
80,,Jamie Lennon,0,0.26,0,0,0.77,0.16
81,,Kailin Barlow,0,0,0,0,0.58,0.18
82,,Conan Noonan,0,0.17,0,0,0,0
83,,Garry Buckley,0,0.27,0,0,1.18,0.18
84,,Kieran Cruise,0,0.33,0,0,0,0
85,,Kacper Radkowski,0,0.32,0,0,0.97,0.18
86,,Matthew Smith,0,0.16,0,0,0.42,0.11
87,,Mark Coyle,0,0.11,0,0,0.37,0.22
88,,Patrick McEleney,0,0.15,0,0,0.25,0.05
89,,Emmanuel Adegboyega,0,0.14,0,0,1.05,0.18
90,,Noah Lewis,0,0.18,0,0,0.94,0.41
91,,Richie Towell,0,0.12,0,0,0.38,0.19
92,,Daniel Grant,0,0,0,0,0.67,0
93,,Paul Doyle,0,0,0,0,0.6,0.12
94,,Will Jarvis,0,0,0,0,0.33,0.33
95,,Darragh Leahy,0,0.21,0,0,1.04,0.04
96,,Louie Annesley,0,0.29,0,0,0.64,0.21
97,,Liam Burt,0,0,0,0,0.13,0.13
98,,William Fitzgerald,0,0.11,0,0,1,0.32
99,,Euclides Cabral,0,0,0,0,0.2,0.2
100,,Bartlomiej Kukułowicz,0,0.11,0,0,0.78,0.11
101,,Justin Ferizaj,0,0,0,0,0,0
102,,Nando Pijnaker,0,0.06,0,0,1,0.28
103,,Luke McNicholas,2.73,0.12,0.19,0.04,1.12,0.27
104,,Gary Deegan,0,0.26,0,0,1.35,0.15
105,,Cameron Dummigan,0,0.38,0,0,0.44,0.13
106,,Darragh Nugent,0,0.16,0,0,0.21,0.11
107,,Barry Coffey,0,0.04,0,0,0.79,0.25
108,,Ben McCormack,0,0.05,0,0,0.41,0.09
109,,Hayden Muller,0,0.24,0,0,0.85,0.15
110,,Ronan Finn,0,0,0,0,0.06,0.12
111,,Andriy Kravchuk,0,0.22,0,0,1.33,0.33
112,,Danny Mullen,0,0,0,0,0.17,0
113,,Evan Caffrey,0,0.17,0,0,0.39,0.14
114,,Nathan Shepperd,2.28,0.28,0.11,0.03,1.08,0.14
115,,Declan McDaid,0,0,0,0,0.48,0.13
116,,John Ross Wilson,0,0.33,0,0,0.44,0.07
117,,Daniel Kelly,0,0.04,0,0,0.81,0.04
118,,Mark Doyle,0,0.09,0,0,0.53,0.06
119,,Johan Brannefalk,0,0.03,0,0,0.91,0.22
120,,Jay Benn,0,0.13,0,0,0.38,0.13
121,,Sam Todd,0,0,0,0,0,0
122,,Ronan Boyce,0,0.29,0,0,0.48,0.1
123,,James Talbot,2.14,0.33,0.03,0,0.92,0.19
124,,Ryan O'Kane,0,0.06,0,0,0.53,0.12
125,,Tyreke Wilson,0,0.18,0,0,0.36,0.18
126,,Sean Gannon,0,0,0,0,0.5,0.1
127,,Kyle Robinson,0,0,0,0,0.57,0.04
128,,Joe O'Brien Whitmarsh,0,0.04,0,0,0.65,0.13
129,,Conor Carty,0,0,0,0,0.41,0.15
130,,Elicha Ahui,0,0.2,0,0,1.05,0.15
131,,Sadou Diallo,0,0.17,0,0,0.4,0.1
132,,Ryan Graydon,0,0.17,0,0,0.52,0.13
133,,John Martin,0,0.03,0,0,0.41,0.13
134,,Jamie McGonigle,0,0.04,0,0,0.33,0.08
135,,Kian Leavy,0,0.1,0,0,0.3,0
136,,Johannes Yli-Kokko,0,0,0,0,0.75,0.11
137,,Robert McCourt,0,0,0,0,0.69,0.08
138,,Robbie Benson,0,0.07,0,0,0.64,0.07
139,,James Corcoran,2.65,0.25,0.05,0,1.35,0.2
140,,Jad Hakiki,0,0.05,0,0,0.1,0.05
141,,Paddy Kirk,0,0.27,0,0,0.73,0.2
142,,Sam Durrant,0,0.1,0,0,0.6,0
143,,Simon Power,0,0.2,0,0,0.2,0
144,,Shane Griffin,0,0.23,0,0,0.42,0.31
145,,Cian Coleman,0,0.16,0,0,1.42,0.32
146,,Reece Hutchinson,0,0.18,0,0,1.07,0.21
147,,Niall Morahan,0,0.12,0,0,0.82,0.21
148,,James Akintunde,0,0.05,0,0,0.26,0.21
149,,Anto Breslin,0,0.36,0,0,0.92,0.22
150,,Adam O'Reilly,0,0.29,0,0,0.57,0.07
151,,Stefan Radosavljević,0,0.03,0,0,0.68,0.16
152,,Rokas Stanulevicius,0,0,0,0,0.8,0.4
153,,Conor Kane,0,0.36,0,0,1.27,0.18
154,,Cameron Elliott,0,0,0,0,0.3,0
155,,Pedro Martelo,0,0.17,0,0,0.92,0.08
156,,Mark Dignam,0,0.18,0,0,1.18,0.45
157,,Ciaran Behan,0,0.1,0,0,1.83,0.33
158,,Johnny Kenny,0,0.03,0,0,0.33,0.13
159,,Shane Farrell,0,0.12,0,0,0.3,0.18
160,,Tom Lonergan,0,0,0,0,0.45,0.06
161,,Naj Razi,0,0.33,0,0,0,0
162,,Oran Crowe,0,0,0,0,1,0.67
163,,Jamie Egan,0,0,0,0,2.2,0.4
