Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Salvatore Sirigu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,65.52,0,47.37,5,1,0,0,0,0,0,0,0,0,0,0,1
Simone Perilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29.41,4,20,4,1,0,0,0,0,0,0,0,0,0,0,1
Francesco Bardi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,76.47,2,60,4,1,0,0,0,0,0,0,0,0,0,0,1
Paulo Dybala,0.48,0.2,50,2.6,0,0,0.56,0.32,0,0.12,0,0.72,0.48,0.24,29.56,82.27,8.36,76.32,0,0.04,0,0,0.68,0.12,0.2,0,20,49.75,2.24,0.4,25
Domenico Berardi,0.46,0.19,52.38,3.19,0.04,0,0.88,0.73,0,0.62,0,1.19,0.31,0.27,31.23,71.06,10.08,69.23,0,0.08,0,0,0.88,0.35,0.27,0,37.14,45.73,1.88,1.27,26
Hakan Çalhanoğlu,0.09,0,44.44,1.7,0,0,1.45,0.76,0,0.24,0.03,0.82,0.09,0.18,45.42,88.26,11.64,67.12,0,0.09,0,0,0.7,0.06,0.09,0,48.28,47.06,0.79,1.39,33
Khvicha Kvaratskhelia,0.35,0.09,41.21,2.5,0.03,0,1.26,0.15,0,0.18,0,0.76,0.41,0.29,30.53,83.72,12.71,60.27,0,0.09,0,0,0.53,0.09,0.03,0,38.1,44.53,1.32,0.59,34
Andrea Ranocchia,0,0,0,0,0,0,3,0,0,7,0,1,0,0,19,84.21,2,66.67,0,0,0,0,1,1,0,0,33.33,44.44,0,2,1
Mário Rui,0,0.05,61.54,0.5,0,0,1.55,0.68,0,0.77,0,0.95,0.23,0.27,64.95,84.18,16.23,59.16,0,0.27,0,0,0.59,0.14,0.09,0.05,35.9,52.76,1.41,0.86,22
Lucas Martínez Quarta,0.04,0.11,80,1,0,0,2.96,1.78,0,2.81,0,0.7,0.04,0.04,55.93,81.85,6.3,56.07,0,0.15,0,0,1.11,0.04,0.22,0,67.86,69.42,0.93,0.78,27
Mattia Zaccagni,0.29,0.06,63.16,1.63,0.03,0,1.2,0.6,0.03,0.17,0,0.69,0.29,0.17,27.86,84.51,7.89,55.56,0,0.26,0,0,0.51,0.14,0.26,0,34.09,57.78,3.34,1.51,35
Lorenzo Pellegrini,0.13,0.19,48.48,2.03,0,0,1.63,0.81,0,0.63,0,0.81,0.34,0.16,29.53,80.11,7.09,59.52,0,0.13,0,0,0.69,0.13,0.16,0,36.84,51.34,1.78,0.78,32
