#,Team,Name,Appearances
1,,Salvatore Sirigu,1
2,,Simone Perilli,1
3,,Francesco Bardi,1
4,,Paulo Dybala,25
5,,Domenico Berardi,26
6,,Hakan Çalhanoğlu,33
7,,Khvicha Kvaratskhelia,34
8,,Andrea Ranocchia,1
9,,Mário Rui,22
10,,Lucas Martínez Quarta,27
11,,Mattia Zaccagni,35
12,,Lorenzo Pellegrini,32
13,,Danilo,37
14,,Lautaro Martínez,38
15,,Min-jae Kim,35
16,,Sandro Tonali,34
17,,Ismaël Bennacer,28
18,,Victor Osimhen,32
19,,Teun Koopmeiners,33
20,,Mattia Perin,11
21,,Cristiano Biraghi,33
22,,Fikayo Tomori,33
23,,Amir Rrahmani,29
24,,Giovanni Di Lorenzo,37
25,,Federico Dimarco,33
26,,Sergej Milinković-Savić,36
27,,Armand Laurienté,28
28,,Luis Alberto,35
29,,Nicolás Domínguez,31
30,,Piotr Zieliński,37
31,,Ivan Provedel,38
32,,Bremer,30
33,,Chris Smalling,32
34,,Patric,18
35,,Răzvan Marin,33
36,,Felipe Anderson,38
37,,Ionuț Radu,9
38,,Rafael Leão,35
39,,Romelu Lukaku,25
40,,Gerard Deulofeu,16
41,,Pierluigi Gollini,7
42,,Nicolò Barella,35
43,,Jaka Bijol,32
44,,Martin Turk,4
45,,Juan Cuadrado,31
46,,Armando Izzo,30
47,,Adrien Rabiot,32
48,,Stanislav Lobotka,38
49,,Jérémie Boga,23
50,,Guglielmo Vicario,31
51,,Ardian Ismajli,25
52,,Stefan Posch,30
53,,Nicolò Rovella,28
54,,Ángel Di María,26
55,,Ademola Lookman,31
56,,Alessio Romagnoli,34
57,,Rodrigo Becão,28
58,,Antonio Candreva,35
59,,Leo Østigård,7
60,,Stefano Sensi,28
61,,Bryan Cristante,36
62,,Juan Jesus,15
63,,Michele Di Gregorio,37
64,,Marcelo Brozović,28
65,,Matteo Pessina,35
66,,Roger Ibañez,33
67,,Filip Kostić,37
68,,Alex Cordaz,1
69,,Francesco Acerbi,31
70,,Wojciech Szczęsny,28
71,,André Onana,24
72,,Riccardo Orsolini,32
73,,Alessandro Bastoni,29
74,,Ivan Ilić,25
75,,Federico Gatti,18
76,,Manuel Locatelli,32
77,,Ciro Immobile,31
78,,Michele Cerofolini,5
79,,Nicolò Casale,29
80,,Marco Carnesecchi,27
81,,Gabriel Strefezza,35
82,,Carlos Augusto,35
83,,Sebastiano Luperto,36
84,,Darko Lazović,31
85,,Nikola Milenković,27
86,,Malick Thiaw,20
87,,Rolando Mandragora,29
88,,Frank Anguissa,36
89,,Rémi Oudin,31
90,,Alex Meret,34
91,,Nicolás González,24
92,,Aleksei Miranchuk,29
93,,Luigi Sepe,17
94,,Olivier Giroud,33
95,,Edin Džeko,33
96,,Boulaye Dia,33
97,,Theo Hernández,32
98,,Stefan de Vrij,27
99,,Nehuén Pérez,34
100,,Antonio Sanabria,33
101,,Ricardo Rodríguez,35
102,,Emil Audero,25
103,,Sandi Lovrić,37
104,,Daniele Rugani,9
105,,Matías Viña,3
106,,Guillermo Ochoa,20
107,,Alex Sandro,25
108,,Morten Hjulmand,35
109,,Dušan Vlahović,27
110,,Lorenzo Montipò,38
111,,Matteo Politano,27
112,,Vanja Milinković-Savić,38
113,,Wladimiro Falcone,38
114,,Vlad Chiricheş,16
115,,Manolo Gabbiadini,35
116,,Samir Handanović,14
117,,Rafael Tolói,32
118,,Marko Arnautović,21
119,,Patrick Ciurria,36
120,,Musa Barrow,32
121,,Jhon Lucumí,33
122,,Davide Calabria,25
123,,Nikola Vlašić,34
124,,Norbert Gyömbér,27
125,,Saša Lukić,16
126,,Aleksa Terzić,22
127,,Rade Krunić,23
128,,Christian Kouamé,28
129,,Luis Muriel,29
130,,Marten de Roon,35
131,,Hirving Lozano,32
132,,Federico Baschirotto,37
133,,Brahim Díaz,33
134,,Ethan Ampadu,32
135,,Nemanja Matić,35
136,,Gianluca Mancini,35
137,,Łukasz Skorupski,37
138,,Lazar Samardžić,37
139,,Matteo Darmian,31
140,,Ruslan Malinovskyi,15
141,,Jerdy Schouten,33
142,,Santiago Ascacíbar,13
143,,Tommaso De Nipoti,1
144,,Tommaso Cassandro,1
145,,Denis Zakaria,2
146,,Davide Frattesi,36
147,,Stephan El Shaarawy,29
148,,Leandro Paredes,25
149,,Giacomo Bonaventura,30
150,,Milan Đurić,29
151,,Nikola Moro,26
152,,Mike Maignan,22
153,,Simone Bastoni,19
154,,Simone Verdi,25
155,,Bram Nuytinck,25
156,,Alessandro Buongiorno,34
157,,Henrikh Mkhitaryan,31
158,,Juan Musso,24
159,,Destiny Udogie,33
160,,Nicolò Cambiaghi,28
161,,Samuele Ricci,28
162,,Marin Pongračić,9
163,,Roberto Pereyra,34
164,,Samuel Umtiti,25
165,,Arkadiusz Milik,27
166,,Perr Schuurs,30
167,,Éderson,35
168,,Bartłomiej Drągowski,35
169,,Arthur Cabral,28
170,,Davide Zappacosta,21
171,,Andrea Colpani,27
172,,Georgios Kyriakopoulos,24
173,,Pierre Kalulu,34
174,,Pablo Marí,30
175,,Pedro,36
176,,Luca D'Andrea,5
177,,Sofyan Amrabat,29
178,,Cristian Volpato,7
179,,Leonardo Bonucci,16
180,,Junior Messias,25
181,,Adam Marušić,33
182,,Daniele Verde,26
183,,Alessandro Florenzi,6
184,,Panagiotis Retsos,2
185,,Mouhamadou Sarr,2
186,,Martin Erlić,28
187,,Federico Chiesa,21
188,,Eljif Elmas,36
189,,Cyril Ngonge,15
190,,Lewis Ferguson,32
191,,Ciprian Tătărușanu,16
192,,Danilo Cataldi,29
193,,Mathías Olivera,30
194,,Igor Júlio,27
195,,Denzel Dumfries,34
196,,Hans Hateboer,17
197,,Berat Djimsiti,24
198,,Tyronne Ebuehi,26
199,,Marco Silvestri,38
200,,Frank Tsadjout,20
201,,Sebastian Walukiewicz,11
202,,Walace,37
203,,Jakub Kiwior,17
204,,Simon Kjær,17
205,,Lorenzo Pirola,26
206,,Adama Soumaoro,23
207,,Gianluca Caprari,37
208,,Matteo Ruggeri,15
209,,Miguel Veloso,22
210,,Charalampos Lykogiannis,21
211,,Dany Mota,29
212,,Tammy Abraham,38
213,,Salvatore Esposito,16
214,,Valentin Gendrey,37
215,,Valentino Lazaro,23
216,,Merih Demiral,28
217,,Wilfried Singo,31
218,,Robin Gosens,32
219,,Fabiano Parisi,33
220,,Roberto Soriano,27
221,,Matheus Henrique,30
222,,Andrea Petagna,31
223,,Alexis Blin,35
224,,Rogério,36
225,,Ante Rebić,23
226,,Leonardo Sernicola,32
227,,Koray Günter,23
228,,Adam Ounas,2
229,,Alessandro Cortinovis,1
230,,James Abankwah,2
231,,Nicola Ravaglia,9
232,,Luka Jović,31
233,,David Okereke,33
234,,Maxime López,30
235,,Fodé Ballo-Touré,10
236,,William Troost-Ekong,9
237,,Nicola Sansone,18
238,,Marco Benassi,17
239,,Johan Vásquez,25
240,,Antonino Gallo,32
241,,Dylan Bronn,24
242,,José Luis Palomino,15
243,,Grīgorīs Kastanos,28
244,,Denso Kasius,7
245,,Filippo Terracciano,21
246,,Michele Castagnetti,27
247,,Weston McKennie,15
248,,Ola Aina,19
249,,Beto,33
250,,Manuel Lazzari,28
251,,Luca Caldirola,31
252,,Riccardo Saponara,29
253,,Alexis Saelemaekers,30
254,,Krzysztof Piątek,33
255,,Zlatan Ibrahimović,4
256,,Diego Llorente,9
257,,Lassana Coulibaly,35
258,,Emanuel Aiwu,23
259,,Ilija Nestorovski,21
260,,Isaac Success,30
261,,Luca Zanimacchia,15
262,,Gary Medel,29
263,,Matías Vecino,32
264,,Georginio Wijnaldum,14
265,,Milan Škriniar,21
266,,Paweł Dawidowicz,24
267,,Elseid Hysaj,34
268,,Flavius Daniliuc,27
269,,Yann Karamoh,21
270,,Giacomo Raspadori,26
271,,Omar Colley,16
272,,Andrea Cambiaso,32
273,,Gaetano Castrovilli,15
274,,Tommaso Pobega,19
275,,Marcos Antônio,16
276,,Danilo D'Ambrosio,15
277,,Marco Sportiello,15
278,,M'Bala Nzola,32
279,,Alex Ferrari,28
280,,Duván Zapata,25
281,,Jean-Daniel Akpa Akpro,24
282,,Daniel Ciofani,32
283,,Harry Winks,20
284,,Jeroen Zoet,5
285,,Jonathan Ikoné,33
286,,Filippo Ranocchia,14
287,,Samuele Perisan,7
288,,Assan Ceesay,34
289,,Alberto Grassi,25
290,,Federico Fazio,14
291,,Ondrej Duda,15
292,,Giorgio Scalvini,32
293,,Cyriel Dessers,26
294,,Koffi Djidji,34
295,,Janis Antiste,2
296,,Samuele Vignato,5
297,,Jaime Báez,2
298,,Brian Bayeye,2
299,,Tommaso Augello,37
300,,Kristjan Asllani,20
301,,Sam Lammers,33
302,,Matías Soulé,13
303,,Federico Bonazzoli,24
304,,Luca Ranieri,9
305,,Isak Hien,33
306,,Mehdi Bourabia,38
307,,Luka Lochoshvili,25
308,,Alessandro Zanoli,23
309,,Rui Patrício,35
310,,Zeki Çelik,24
311,,Enzo Barrenechea,3
312,,Pietro Terracciano,29
313,,Rasmus Højlund,32
314,,Federico Di Francesco,36
315,,Samuel Iling Junior,12
316,,Nicola Zalewski,33
317,,Daniel Maldini,18
318,,Gian Marco Ferrari,33
319,,Koni De Winter,14
320,,Giangiacomo Magnani,25
321,,Dodô,33
322,,Nadir Zortea,19
323,,Viktor Kovalenko,19
324,,Dimitris Nikolaou,37
325,,Kingsley Ehizibue,27
326,,Domen Črnigoj,7
327,,Matteo Bianchetti,25
328,,Pasquale Mazzocchi,27
329,,David Zima,9
330,,Karol Linetty,32
331,,Giovanni Simeone,25
332,,Jean-Victor Makengo,16
333,,Tonny Vilhena,33
334,,Mattia Caldara,20
335,,Leonardo Spinazzola,26
336,,Mario Pašalić,32
337,,Andrea Pinamonti,32
338,,Tommaso Baldanzi,26
339,,Nicolò Fagioli,26
340,,Abdelhamid Sabiri,18
341,,Ola Solbakken,14
342,,Arkadiusz Reca,31
343,,Marvin Zeegelaar,7
344,,Samuele Birindelli,31
345,,Junior Sambia,22
346,,Paul Pogba,6
347,,Kevin Bonifazi,13
348,,Pietro Ceccaroni,2
349,,Alessandro Tuia,7
350,,Alberto Basso,1
351,,Francesco Rossi,1
352,,Soualiho Meïté,31
353,,Joaquín Correa,26
354,,Valerio Verre,18
355,,Francesco Caputo,36
356,,Filip Đuričić,32
357,,Mërgim Vojvoda,29
358,,Kevin Agudelo,35
359,,Adolfo Gaich,17
360,,Filippo Bandinelli,35
361,,Adam Masina,14
362,,Gianluca Gaetano,8
363,,Emil Bohinen,24
364,,Riccardo Sottil,18
365,,Pedro Obiang,17
366,,Joakim Mæhle,34
367,,José Machín,25
368,,Ignacio Pussetto,5
369,,Simone Romagnoli,7
370,,Kaan Ayhan,10
371,,Mattia De Sciglio,17
372,,Nedim Bajrami,37
373,,Davide Faraoni,24
374,,Cristian Buonaiuto,29
375,,Caleb Okoli,17
376,,Kelvin Amian,30
377,,Emanuele Valeri,37
378,,Petar Stojanović,27
379,,Enzo Ebosse,20
380,,Divock Origi,27
381,,Emanuel Vignato,13
382,,Thomas Henry,16
383,,Yayah Kallon,22
384,,Bartosz Bereszyński,18
385,,Mile Svilar,3
386,,João Moutinho,4
387,,Federico Ceccherini,22
388,,Ruan,23
389,,Martin Hongla,9
390,,Jeremy Toljan,31
391,,Fabio Quagliarella,23
392,,Jesé Rodríguez,11
393,,Mehdi Léris,32
394,,Abdou Harroui,23
395,,Raoul Bellanova,18
396,,Alfred Duncan,25
397,,Tomás Rincón,34
398,,Josh Doig,22
399,,Nicolas Haas,24
400,,Przemysław Wiśniewski,15
401,,Toma Bašić,25
402,,Giulio Donati,8
403,,Josip Brekalo,6
404,,Tommaso Milanese,2
405,,Lorenzo Colombo,33
406,,Tolgay Arslan,36
407,,Charles Pickel,33
408,,Joshua Zirkzee,19
409,,Matteo Gabbia,12
410,,Demba Seck,19
411,,Ronaldo Vieira,18
