#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Salvatore Sirigu,0,0,0,0,0,0
2,,Simone Perilli,0,0,0,0,0,0
3,,Francesco Bardi,0,0,0,0,0,0
4,,Paulo Dybala,0.48,0.2,50,2.6,0,0
5,,Domenico Berardi,0.46,0.19,52.38,3.19,0.04,0
6,,Hakan Çalhanoğlu,0.09,0,44.44,1.7,0,0
7,,Khvicha Kvaratskhelia,0.35,0.09,41.21,2.5,0.03,0
8,,Andrea Ranocchia,0,0,0,0,0,0
9,,Mário Rui,0,0.05,61.54,0.5,0,0
10,,Lucas Martínez Quarta,0.04,0.11,80,1,0,0
11,,Mattia Zaccagni,0.29,0.06,63.16,1.63,0.03,0
12,,Lorenzo Pellegrini,0.13,0.19,48.48,2.03,0,0
13,,Danilo,0.08,0.03,47.06,0.86,0.03,0
14,,Lautaro Martínez,0.55,0.5,48.33,3.34,0.05,0
15,,Min-jae Kim,0.06,0.06,57.14,0.23,0.06,0
16,,Sandro Tonali,0.06,0.03,47.37,0.94,0,0
17,,Ismaël Bennacer,0.07,0,67.5,0.57,0,0
18,,Victor Osimhen,0.81,0.75,40.32,4.22,0.22,0
19,,Teun Koopmeiners,0.3,0.21,55.77,1.79,0.03,0
20,,Mattia Perin,0,0,0,0,0,0
21,,Cristiano Biraghi,0.06,0.03,43.75,0.76,0,0.4
22,,Fikayo Tomori,0.03,0.03,75,0.27,0,0
23,,Amir Rrahmani,0.07,0.07,50,0.72,0.03,0
24,,Giovanni Di Lorenzo,0.08,0,41.38,0.84,0.03,0
25,,Federico Dimarco,0.12,0.09,27.78,1.48,0,0.43
26,,Sergej Milinković-Savić,0.25,0.11,54.93,1.78,0.06,0.35
27,,Armand Laurienté,0.25,0.04,52.03,2,0,0.36
28,,Luis Alberto,0.17,0.11,48.72,1.34,0,0
29,,Nicolás Domínguez,0.1,0.03,68.42,1.35,0,0
30,,Piotr Zieliński,0.08,0.03,43.14,1.43,0,0
31,,Ivan Provedel,0,0,100,0,0,0
32,,Bremer,0.13,0.2,42.86,1.07,0.13,0
33,,Chris Smalling,0.09,0.06,66.67,0.53,0.09,0
34,,Patric,0,0,66.67,0.11,0,0
35,,Răzvan Marin,0.06,0,59.46,1,0,0
36,,Felipe Anderson,0.24,0.05,56.25,1.08,0.05,0
37,,Ionuț Radu,0,0,0,0,0,0
38,,Rafael Leão,0.43,0.34,50,2.63,0.03,0
39,,Romelu Lukaku,0.4,0.16,55.17,2.04,0.04,0
40,,Gerard Deulofeu,0.13,0.56,48.78,2.75,0,0.63
41,,Pierluigi Gollini,0,0,0,0,0,0
42,,Nicolò Barella,0.17,0.06,70.18,0.94,0,2.86
43,,Jaka Bijol,0.09,0.03,40,0.63,0.06,0
44,,Martin Turk,0,0,0,0,0,0
45,,Juan Cuadrado,0.03,0,53.19,1.03,0,0
46,,Armando Izzo,0.03,0.1,55,0.53,0.03,0
47,,Adrien Rabiot,0.25,0.19,60,1.5,0.13,0
48,,Stanislav Lobotka,0.03,0,77.27,0.29,0,0
49,,Jérémie Boga,0.09,0,59.26,0.57,0,0
50,,Guglielmo Vicario,0,0,0,0,0,0
51,,Ardian Ismajli,0,0,100,0.36,0,0
52,,Stefan Posch,0.2,0.07,46.67,0.93,0.1,0
53,,Nicolò Rovella,0.04,0.04,50,0.82,0,0
54,,Ángel Di María,0.15,0.04,43.84,1.46,0,0
55,,Ademola Lookman,0.42,0.23,47.89,1.68,0.03,0
56,,Alessio Romagnoli,0.06,0,100,0.38,0.03,0
57,,Rodrigo Becão,0.07,0,50,0.68,0.07,0
58,,Antonio Candreva,0.2,0.03,36.36,1.31,0,0.95
59,,Leo Østigård,0,0,0,0.43,0,0
60,,Stefano Sensi,0.11,0,55,0.64,0,0.89
61,,Bryan Cristante,0.03,0.06,75,0.81,0,0
62,,Juan Jesus,0.07,0,0,0.33,0,0
63,,Michele Di Gregorio,0,0,100,0,0,0
64,,Marcelo Brozović,0.11,0,64,0.89,0,0
65,,Matteo Pessina,0.14,0,64.15,0.8,0,0
66,,Roger Ibañez,0.09,0.12,65,0.88,0.09,0
67,,Filip Kostić,0.08,0.05,48.94,1,0,0
68,,Alex Cordaz,0,0,0,0,0,0
69,,Francesco Acerbi,0,0,63.64,0.58,0,0
70,,Wojciech Szczęsny,0,0,100,0,0,0
71,,André Onana,0,0,0,0,0,0
72,,Riccardo Orsolini,0.34,0.16,44.3,2.88,0,0
73,,Alessandro Bastoni,0,0,57.14,0.41,0,0
74,,Ivan Ilić,0.08,0,60,0.56,0,0
75,,Federico Gatti,0,0,80,0.72,0,0
76,,Manuel Locatelli,0,0.03,59.26,0.91,0,0
77,,Ciro Immobile,0.39,0.42,47.37,2.48,0.03,0
78,,Michele Cerofolini,0,0,0,0,0,0
79,,Nicolò Casale,0.03,0,33.33,0.28,0,0
80,,Marco Carnesecchi,0,0,0,0,0,0
81,,Gabriel Strefezza,0.23,0.06,47.5,2.03,0,0
82,,Carlos Augusto,0.17,0.11,57.89,1.2,0,0
83,,Sebastiano Luperto,0.06,0,100,0.5,0.03,0
84,,Darko Lazović,0.13,0.16,40,1.39,0,0
85,,Nikola Milenković,0.07,0.04,0,0.7,0.07,0
86,,Malick Thiaw,0,0.1,33.33,0.4,0,0
87,,Rolando Mandragora,0.07,0,35.71,1.28,0,0
88,,Frank Anguissa,0.08,0.08,50,1.39,0.03,0
89,,Rémi Oudin,0.1,0.03,50,1.23,0,0
90,,Alex Meret,0,0,0,0,0,0
91,,Nicolás González,0.25,0.21,44.64,2.5,0.08,0
92,,Aleksei Miranchuk,0.14,0.07,37.5,1.38,0,0
93,,Luigi Sepe,0,0,0,0,0,0
94,,Olivier Giroud,0.39,0.45,53.85,2.42,0.15,0
95,,Edin Džeko,0.27,0.21,39.13,2.21,0.06,0
96,,Boulaye Dia,0.48,0.15,47.3,1.45,0,0
97,,Theo Hernández,0.13,0.09,34.55,1.63,0,0
98,,Stefan de Vrij,0.04,0.04,80,0.74,0.04,0
99,,Nehuén Pérez,0.06,0,45.45,0.47,0.06,0
100,,Antonio Sanabria,0.36,0.27,67.65,2.06,0.06,0
101,,Ricardo Rodríguez,0,0,58.33,0.31,0,0
102,,Emil Audero,0,0,0,0,0,0
103,,Sandi Lovrić,0.14,0.03,41.18,1.92,0,0
104,,Daniele Rugani,0,0.11,100,0.44,0,0
105,,Matías Viña,0,0,100,0,0,0
106,,Guillermo Ochoa,0,0,0,0,0,0
107,,Alex Sandro,0,0.04,82.61,0.2,0,0
108,,Morten Hjulmand,0,0,85,0.49,0,0
109,,Dušan Vlahović,0.37,0.33,43.75,2.52,0.04,1.85
110,,Lorenzo Montipò,0,0,0,0,0,0
111,,Matteo Politano,0.11,0.07,47.92,1.22,0,0
112,,Vanja Milinković-Savić,0,0,0,0,0,0
113,,Wladimiro Falcone,0,0,0,0,0,0
114,,Vlad Chiricheş,0,0,100,0,0,0
115,,Manolo Gabbiadini,0.2,0.14,28.57,2.06,0,0
116,,Samir Handanović,0,0,0,0,0,0
117,,Rafael Tolói,0.06,0.09,40,0.91,0,0
118,,Marko Arnautović,0.48,0.38,54.17,1.48,0.1,0
119,,Patrick Ciurria,0.17,0.06,40.43,1.39,0,0
120,,Musa Barrow,0.09,0,36.92,2.03,0,0
121,,Jhon Lucumí,0,0,66.67,0.33,0,0
122,,Davide Calabria,0.04,0,27.27,0.64,0.04,0
123,,Nikola Vlašić,0.15,0.18,53.57,1.56,0,0
124,,Norbert Gyömbér,0,0.04,66.67,0.3,0,0
125,,Saša Lukić,0.13,0.06,20,1,0,0
126,,Aleksa Terzić,0.05,0,66.67,0.45,0,0
127,,Rade Krunić,0,0.04,82.61,0.61,0,0
128,,Christian Kouamé,0.14,0.21,36.84,1.5,0.07,0
129,,Luis Muriel,0.1,0.03,50.75,1.17,0,0
130,,Marten de Roon,0.09,0,55.56,0.54,0.03,0
131,,Hirving Lozano,0.09,0.16,53.73,1.31,0,0
132,,Federico Baschirotto,0.08,0.03,75,0.57,0.08,0
133,,Brahim Díaz,0.18,0.18,49.37,1.06,0,0
134,,Ethan Ampadu,0.03,0.13,90,0.63,0,0
135,,Nemanja Matić,0.06,0.03,82.76,0.31,0,0
136,,Gianluca Mancini,0.03,0.06,64.29,0.63,0,0
137,,Łukasz Skorupski,0,0,0,0,0,0
138,,Lazar Samardžić,0.14,0,45.16,1.35,0,0
139,,Matteo Darmian,0.03,0.03,50,0.23,0,0
140,,Ruslan Malinovskyi,0.07,0,47.37,1.27,0,0
141,,Jerdy Schouten,0,0,67.5,0.24,0,0
142,,Santiago Ascacíbar,0,0,50,1.08,0,0
143,,Tommaso De Nipoti,0,0,100,0,0,0
144,,Tommaso Cassandro,0,0,0,0,0,0
145,,Denis Zakaria,0,0,0,0,0,0
146,,Davide Frattesi,0.19,0.14,55.74,1.78,0.06,0
147,,Stephan El Shaarawy,0.24,0.1,39.39,1.45,0,0
148,,Leandro Paredes,0.04,0,80,0.64,0,1
149,,Giacomo Bonaventura,0.17,0.1,54.76,1.63,0.03,0
150,,Milan Đurić,0.03,0.03,40,0.55,0.03,0
151,,Nikola Moro,0.04,0,72,0.81,0,0
152,,Mike Maignan,0,0,0,0,0,0
153,,Simone Bastoni,0.11,0,41.18,1.16,0,0
154,,Simone Verdi,0.2,0,63.79,1.2,0.04,0
155,,Bram Nuytinck,0,0,50,0.2,0,0
156,,Alessandro Buongiorno,0.03,0.03,46.15,0.59,0.03,0
157,,Henrikh Mkhitaryan,0.1,0.03,46.67,1.13,0,0
158,,Juan Musso,0,0,0,0,0,0
159,,Destiny Udogie,0.09,0.06,50.5,0.82,0,0
160,,Nicolò Cambiaghi,0.21,0.04,51.22,1.29,0.04,0
161,,Samuele Ricci,0.07,0.11,40,0.75,0,0
162,,Marin Pongračić,0,0,100,0.11,0,0
163,,Roberto Pereyra,0.15,0.12,43.33,1.24,0,0
164,,Samuel Umtiti,0,0.04,54.55,0.48,0,0
165,,Arkadiusz Milik,0.26,0.26,55,1.63,0,1.85
166,,Perr Schuurs,0,0.07,76.92,0.47,0,0
167,,Éderson,0.03,0.03,60.66,1.03,0,0
168,,Bartłomiej Drągowski,0,0,0,0,0,0
169,,Arthur Cabral,0.29,0.07,46.88,1.93,0.04,0
170,,Davide Zappacosta,0.19,0.05,34,1.19,0,0
171,,Andrea Colpani,0.15,0.07,60.61,0.93,0,0
172,,Georgios Kyriakopoulos,0.04,0.04,56.82,0.83,0,0
173,,Pierre Kalulu,0.03,0.09,66.67,0.32,0.03,0
174,,Pablo Marí,0.03,0,50,0.33,0,0
175,,Pedro,0.11,0.03,53.45,1.17,0,0
176,,Luca D'Andrea,0,0,40,1.4,0,0
177,,Sofyan Amrabat,0,0,75,0.45,0,0
178,,Cristian Volpato,0.14,0,54.55,0.57,0,0
179,,Leonardo Bonucci,0.06,0.06,100,0.31,0,0
180,,Junior Messias,0.2,0.08,61.82,1.28,0,4
181,,Adam Marušić,0,0.06,76.92,0.48,0,0
182,,Daniele Verde,0.12,0.04,46.15,1.35,0.04,0
183,,Alessandro Florenzi,0,0.17,0,0.83,0,0
184,,Panagiotis Retsos,0,0,100,0.5,0,0
185,,Mouhamadou Sarr,0,0,0,0,0,0
186,,Martin Erlić,0,0,50,0.14,0,0
187,,Federico Chiesa,0.1,0.05,55.81,1.24,0,0
188,,Eljif Elmas,0.17,0,51.11,0.92,0,0
189,,Cyril Ngonge,0.33,0.07,38.24,1.93,0.07,0
190,,Lewis Ferguson,0.22,0.19,42.86,1.34,0.06,0
191,,Ciprian Tătărușanu,0,0,0,0,0,0
192,,Danilo Cataldi,0,0,42.86,0.24,0,0
193,,Mathías Olivera,0.07,0,43.48,0.3,0.07,0
194,,Igor Júlio,0,0.04,81.82,0.26,0,0
195,,Denzel Dumfries,0.03,0.18,45.24,0.97,0,0
196,,Hans Hateboer,0.06,0.06,57.14,0.71,0,0
197,,Berat Djimsiti,0,0.04,66.67,0.21,0,0
198,,Tyronne Ebuehi,0.08,0.08,55,0.73,0.04,0
199,,Marco Silvestri,0,0,0,0,0,0
200,,Frank Tsadjout,0.15,0.1,85.71,1.3,0,0
201,,Sebastian Walukiewicz,0,0,100,0.18,0,0
202,,Walace,0,0,45.83,0.86,0,0
203,,Jakub Kiwior,0,0.06,71.43,0.59,0,0
204,,Simon Kjær,0,0,0,0,0,0
205,,Lorenzo Pirola,0.08,0.04,62.5,0.5,0.08,0
206,,Adama Soumaoro,0,0,100,0.09,0,0
207,,Gianluca Caprari,0.14,0.05,48.19,1.38,0,0
208,,Matteo Ruggeri,0,0,44.44,0.67,0,0
209,,Miguel Veloso,0,0.05,66.67,0.73,0,0
210,,Charalampos Lykogiannis,0.1,0,41.67,0.9,0.05,0
211,,Dany Mota,0.17,0.14,58.33,0.97,0,0
212,,Tammy Abraham,0.21,0.45,37.29,1.63,0.11,0
213,,Salvatore Esposito,0.06,0,60,0.94,0,0.52
214,,Valentin Gendrey,0,0.03,45.16,0.27,0,0
215,,Valentino Lazaro,0,0,56.67,0.3,0,0
216,,Merih Demiral,0.04,0.04,28.57,0.21,0.04,0
217,,Wilfried Singo,0.06,0.13,69.77,1.1,0,0
218,,Robin Gosens,0.09,0,46.67,0.81,0,0
219,,Fabiano Parisi,0.06,0,57.66,0.64,0,0
220,,Roberto Soriano,0.04,0.04,54.55,0.48,0,0
221,,Matheus Henrique,0.13,0.17,77.27,0.83,0.07,0
222,,Andrea Petagna,0.13,0.13,64.52,1.16,0,0
223,,Alexis Blin,0.03,0.14,45.45,0.63,0.03,0
224,,Rogério,0,0,67.65,0.42,0,0
225,,Ante Rebić,0.13,0.17,51.72,1.17,0,0
226,,Leonardo Sernicola,0.06,0,52.17,0.78,0,0
227,,Koray Günter,0.04,0.04,80,0.43,0,0
228,,Adam Ounas,0,0,100,0.5,0,0
229,,Alessandro Cortinovis,0,0,0,0,0,0
230,,James Abankwah,0,0,100,0,0,0
231,,Nicola Ravaglia,0,0,0,0,0,0
232,,Luka Jović,0.19,0.29,71.43,1.84,0.06,0
233,,David Okereke,0.21,0.12,52.7,1.85,0.03,0
234,,Maxime López,0,0.03,42.31,0.53,0,0
235,,Fodé Ballo-Touré,0.1,0.1,35.71,0.5,0,0
236,,William Troost-Ekong,0.11,0,0,0.22,0,0
237,,Nicola Sansone,0.22,0.11,37.5,1.22,0,0
238,,Marco Benassi,0,0,100,1.12,0,0
239,,Johan Vásquez,0.04,0,78.57,0.48,0.04,0
240,,Antonino Gallo,0,0.03,60,0.31,0,0
241,,Dylan Bronn,0,0.04,66.67,0.33,0,0
242,,José Luis Palomino,0.07,0.07,66.67,0.4,0.07,0
243,,Grīgorīs Kastanos,0.07,0,48.15,1.07,0,0
244,,Denso Kasius,0,0,66.67,0.57,0,0
245,,Filippo Terracciano,0,0,66.67,0.24,0,0
246,,Michele Castagnetti,0,0,72.73,0.44,0,0
247,,Weston McKennie,0.07,0,77.78,0.53,0.07,0
248,,Ola Aina,0.05,0.05,53.49,0.42,0,0
249,,Beto,0.3,0.21,44.44,1.85,0.03,0
250,,Manuel Lazzari,0,0,47.37,0.21,0,0
251,,Luca Caldirola,0.06,0.1,50,0.32,0.03,0
252,,Riccardo Saponara,0.14,0.1,48.65,1.28,0,0
253,,Alexis Saelemaekers,0.07,0.07,48.44,1.17,0,0
254,,Krzysztof Piątek,0.12,0.24,50,1.76,0,0
255,,Zlatan Ibrahimović,0.25,0,0,1.5,0,0
256,,Diego Llorente,0,0,50,0.44,0,0
257,,Lassana Coulibaly,0.09,0,55.17,0.46,0,0
258,,Emanuel Aiwu,0,0,37.5,0.13,0,0
259,,Ilija Nestorovski,0.1,0,75,0.67,0,0
260,,Isaac Success,0.03,0.1,50.85,1.17,0,0
261,,Luca Zanimacchia,0,0,38.46,1.27,0,0
262,,Gary Medel,0,0,66.67,0.07,0,0
263,,Matías Vecino,0.06,0.06,50,0.81,0.03,0
264,,Georginio Wijnaldum,0.14,0.07,52.38,1.43,0.07,0
265,,Milan Škriniar,0,0.05,100,0.43,0,0
266,,Paweł Dawidowicz,0.04,0.04,20,0.54,0,0
267,,Elseid Hysaj,0.03,0,37.5,0.12,0,0
268,,Flavius Daniliuc,0,0,40,0.37,0,0
269,,Yann Karamoh,0.19,0.05,50.98,0.95,0,0
270,,Giacomo Raspadori,0.08,0.08,44.44,1.58,0,0
271,,Omar Colley,0.06,0.13,100,0.38,0,0
272,,Andrea Cambiaso,0,0.03,56.36,0.53,0,0
