#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Salvatore Sirigu,0,0,0,0,0,0
2,,Simone Perilli,0,0,0,0,0,0
3,,Francesco Bardi,0,0,0,0,0,0
4,,Paulo Dybala,0.2,0,20,49.75,2.24,0.4
5,,Domenico Berardi,0.27,0,37.14,45.73,1.88,1.27
6,,Hakan Çalhanoğlu,0.09,0,48.28,47.06,0.79,1.39
7,,Khvicha Kvaratskhelia,0.03,0,38.1,44.53,1.32,0.59
8,,Andrea Ranocchia,0,0,33.33,44.44,0,2
9,,Mário Rui,0.09,0.05,35.9,52.76,1.41,0.86
10,,Lucas Martínez Quarta,0.22,0,67.86,69.42,0.93,0.78
11,,Mattia Zaccagni,0.26,0,34.09,57.78,3.34,1.51
12,,Lorenzo Pellegrini,0.16,0,36.84,51.34,1.78,0.78
13,,Danilo,0.14,0,58.24,61.37,0.46,0.89
14,,Lautaro Martínez,0.08,0,48.78,46.59,1.66,1.21
15,,Min-jae Kim,0.14,0,63.45,61.81,0.2,0.86
16,,Sandro Tonali,0.21,0,45.45,58.25,0.94,1.03
17,,Ismaël Bennacer,0.18,0,50,53.63,0.89,1.29
18,,Victor Osimhen,0.13,0,54.55,43.4,1.19,1.25
19,,Teun Koopmeiners,0.21,0,62.3,48.78,0.82,1.45
20,,Mattia Perin,0,0,100,100,0.09,0
21,,Cristiano Biraghi,0.03,0,43.18,56.09,1.15,0.88
22,,Fikayo Tomori,0.15,0,67.74,69.26,0.76,0.85
23,,Amir Rrahmani,0.07,0,62.04,60.21,0.41,0.76
24,,Giovanni Di Lorenzo,0.05,0,54.67,55.39,0.97,0.84
25,,Federico Dimarco,0,0,29.41,55.91,0.91,0.36
26,,Sergej Milinković-Savić,0.28,0,57.49,51.16,2,1.25
27,,Armand Laurienté,0.29,0.04,14.29,45.85,1.46,0.79
28,,Luis Alberto,0.11,0,38.1,41.01,0.37,0.43
29,,Nicolás Domínguez,0.32,0,57.81,55.95,1.03,1.39
30,,Piotr Zieliński,0.08,0,23.53,46.43,0.95,0.57
31,,Ivan Provedel,0.03,0,85.71,90.91,0.13,0
32,,Bremer,0.2,0,61.24,56.22,0.37,0.97
33,,Chris Smalling,0.22,0,75,68.48,0.44,0.56
34,,Patric,0.06,0,29.03,50,0.22,0.17
35,,Răzvan Marin,0.21,0,47.06,49.52,0.64,0.94
36,,Felipe Anderson,0.08,0,40,47.63,0.87,1.05
37,,Ionuț Radu,0,0,75,80,0.11,0
38,,Rafael Leão,0.14,0.03,50,45.71,0.86,0.57
39,,Romelu Lukaku,0.04,0,52.7,41.03,0.24,0.64
40,,Gerard Deulofeu,0.06,0,20,40,0.69,0.5
41,,Pierluigi Gollini,0,0,0,100,0,0
42,,Nicolò Barella,0.17,0,57.14,55.4,1.29,0.91
43,,Jaka Bijol,0.31,0,65.19,59.21,0.22,0.91
44,,Martin Turk,0,0,100,100,0,0
45,,Juan Cuadrado,0.19,0.03,48,52.85,1.42,1.06
46,,Armando Izzo,0.33,0,51.95,60.36,1.5,1.47
47,,Adrien Rabiot,0.28,0,55.56,53.49,1.31,1.41
48,,Stanislav Lobotka,0.05,0,41.38,64.73,1.45,0.66
49,,Jérémie Boga,0,0,55.56,58.96,0.74,0.17
50,,Guglielmo Vicario,0.1,0,83.33,85.71,0.26,0
51,,Ardian Ismajli,0.12,0,58.16,62.22,0.52,0.76
52,,Stefan Posch,0.2,0,49.09,53.19,0.93,1.57
53,,Nicolò Rovella,0.25,0.04,47.37,53.13,0.79,0.96
54,,Ángel Di María,0.04,0.04,14.29,41.36,0.92,0.23
55,,Ademola Lookman,0.1,0,18.75,39.81,1.16,0.77
56,,Alessio Romagnoli,0.18,0,63.71,58.22,0.56,1.03
57,,Rodrigo Becão,0.39,0.04,69.23,66.93,1.14,1.36
58,,Antonio Candreva,0.03,0.03,28.57,50,1.03,0.2
59,,Leo Østigård,0.14,0,81.08,80.85,0.57,0.29
60,,Stefano Sensi,0.29,0,44.44,57.89,1.79,0.64
61,,Bryan Cristante,0.22,0.03,64.1,60.17,0.53,1.44
62,,Juan Jesus,0.13,0,76.92,69.86,0.33,0.67
63,,Michele Di Gregorio,0,0,80,64.29,0.08,0
64,,Marcelo Brozović,0.32,0,31.58,48.32,0.46,0.86
65,,Matteo Pessina,0.17,0,52.05,52.75,1.51,1.17
66,,Roger Ibañez,0.27,0.03,68.54,62.54,1.45,1.33
67,,Filip Kostić,0.08,0,50,44.95,0.32,0.78
68,,Alex Cordaz,0,0,0,0,0,0
69,,Francesco Acerbi,0.13,0,65,62.68,0.42,0.55
70,,Wojciech Szczęsny,0,0,100,92.86,0.04,0
71,,André Onana,0.04,0,100,85.71,0.13,0
72,,Riccardo Orsolini,0.19,0.06,39.02,43.21,1.34,1.22
73,,Alessandro Bastoni,0.1,0,62.9,59.54,0.52,0.66
74,,Ivan Ilić,0.16,0,44,54.14,1.12,0.88
75,,Federico Gatti,0.22,0,54.24,54.84,0.72,0.89
76,,Manuel Locatelli,0.25,0,53.13,53.03,0.97,1.38
77,,Ciro Immobile,0.1,0,31.25,40.61,0.77,0.68
78,,Michele Cerofolini,0,0,0,0,0,0
79,,Nicolò Casale,0.21,0,62.16,59.75,0.24,0.76
80,,Marco Carnesecchi,0.04,0,75,80,0.19,0
81,,Gabriel Strefezza,0.14,0,26.23,43.75,2.03,1.46
82,,Carlos Augusto,0.11,0,63.33,55.66,0.54,1.17
83,,Sebastiano Luperto,0.06,0.06,51.8,55.9,0.58,0.58
84,,Darko Lazović,0,0,26.09,38.85,0.1,0.29
85,,Nikola Milenković,0.15,0,70.87,63.21,0.78,1.44
86,,Malick Thiaw,0.25,0,66.67,62.33,0.35,0.7
87,,Rolando Mandragora,0.28,0,60.34,50.51,0.62,1.07
88,,Frank Anguissa,0.08,0,63.51,47.26,1.33,1.22
89,,Rémi Oudin,0.1,0,45.83,51.72,0.45,0.32
90,,Alex Meret,0,0,100,100,0,0
91,,Nicolás González,0.13,0,64,60.53,2.29,0.67
92,,Aleksei Miranchuk,0,0,32.26,39.19,0.76,0.31
93,,Luigi Sepe,0.18,0,100,75,0.12,0.06
94,,Olivier Giroud,0.18,0.03,61.59,52.04,0.73,1.15
95,,Edin Džeko,0.09,0,48.81,45.29,0.73,0.79
96,,Boulaye Dia,0.12,0,25.64,36.54,1.3,0.85
97,,Theo Hernández,0.22,0,71.7,59.09,1.78,0.69
98,,Stefan de Vrij,0.15,0,73.45,68.36,0.26,0.56
99,,Nehuén Pérez,0.21,0.03,62.07,61.24,0.32,0.85
100,,Antonio Sanabria,0.12,0,40.57,42.61,0.82,1
101,,Ricardo Rodríguez,0.09,0,50.85,54.4,0.23,0.71
102,,Emil Audero,0.04,0,100,80,0.08,0
103,,Sandi Lovrić,0.11,0,30.43,47,0.89,0.84
104,,Daniele Rugani,0,0,55,57.58,0,0.56
105,,Matías Viña,0,0,100,50,0.33,1.33
106,,Guillermo Ochoa,0.05,0,100,60,0.05,0
107,,Alex Sandro,0.2,0.04,63.93,60.82,1,1.08
108,,Morten Hjulmand,0.26,0.03,58.57,56.88,1.09,1.74
109,,Dušan Vlahović,0.04,0,38.71,39.55,0.96,0.7
110,,Lorenzo Montipò,0.08,0,66.67,68.75,0.13,0
111,,Matteo Politano,0.04,0,33.33,50,0.81,0.41
112,,Vanja Milinković-Savić,0.11,0,85.71,85.71,0.11,0
113,,Wladimiro Falcone,0.05,0,85.71,86.36,0.13,0.03
114,,Vlad Chiricheş,0.13,0,45,56.14,0.5,1
115,,Manolo Gabbiadini,0.17,0,37.93,45.25,1.91,1.17
116,,Samir Handanović,0,0,0,0,0,0
117,,Rafael Tolói,0.25,0,56.58,55.42,0.63,1.19
118,,Marko Arnautović,0.24,0,45.45,43.7,0.95,1.05
119,,Patrick Ciurria,0.11,0,48,49.76,1.11,0.89
120,,Musa Barrow,0.09,0,26.09,36.71,0.59,0.63
121,,Jhon Lucumí,0.24,0,57.75,57.71,0.55,0.88
122,,Davide Calabria,0.24,0,52,60.71,0.6,0.64
123,,Nikola Vlašić,0.03,0,34.67,41.95,1.12,0.94
124,,Norbert Gyömbér,0.19,0,63.38,59.72,0.26,0.81
125,,Saša Lukić,0.25,0,50,45.76,0.63,1.63
126,,Aleksa Terzić,0.09,0,43.75,57.95,0.55,0.18
127,,Rade Krunić,0.35,0,53.85,55.21,0.83,0.7
128,,Christian Kouamé,0.18,0,53.45,49.85,2,1.14
129,,Luis Muriel,0,0.07,28.95,37.7,0.52,0.62
130,,Marten de Roon,0.2,0,62.65,52.68,0.69,1.31
131,,Hirving Lozano,0.09,0,38.1,51.56,0.97,0.84
132,,Federico Baschirotto,0.16,0,58.71,55.34,0.3,1
133,,Brahim Díaz,0.09,0,14.29,45.79,1.52,0.88
134,,Ethan Ampadu,0.25,0.03,60.95,57.4,0.63,1.44
135,,Nemanja Matić,0.14,0,58.82,60.45,0.49,0.54
136,,Gianluca Mancini,0.2,0,68.24,58.64,0.71,1.11
137,,Łukasz Skorupski,0.11,0,80,83.33,0.19,0.03
138,,Lazar Samardžić,0.03,0,31.25,39.71,0.35,0.7
139,,Matteo Darmian,0.1,0,39.47,55.87,0.65,0.68
140,,Ruslan Malinovskyi,0.13,0,41.67,45.35,0.73,0.67
141,,Jerdy Schouten,0.09,0,50,57.59,0.91,0.76
142,,Santiago Ascacíbar,0.08,0,35.48,46.85,0.69,0.85
143,,Tommaso De Nipoti,0,0,100,100,0,0
144,,Tommaso Cassandro,0,0,0,50,0,1
145,,Denis Zakaria,0,0,0,85.71,0,0
146,,Davide Frattesi,0.11,0,48.94,53.78,1.61,1.08
147,,Stephan El Shaarawy,0.1,0,47.06,45,0.62,0.55
148,,Leandro Paredes,0.28,0.04,57.14,50,0.4,0.8
149,,Giacomo Bonaventura,0.13,0.03,38.89,51.14,1.33,0.8
150,,Milan Đurić,0.1,0,77.45,69.49,1.03,0.9
151,,Nikola Moro,0.04,0,65.63,55.86,0.42,0.58
152,,Mike Maignan,0,0,100,100,0.14,0
153,,Simone Bastoni,0.37,0,57.14,49.37,0.63,1.53
154,,Simone Verdi,0.12,0,39.13,48.35,1.08,0.64
155,,Bram Nuytinck,0.2,0,46.75,56.25,0.4,1.08
156,,Alessandro Buongiorno,0.24,0,65.56,56.04,1.12,1.88
157,,Henrikh Mkhitaryan,0.13,0,45.45,47.18,0.9,0.9
158,,Juan Musso,0.04,0,100,100,0.21,0
159,,Destiny Udogie,0.15,0,53.13,54.72,1.76,1.12
160,,Nicolò Cambiaghi,0.11,0.04,16.67,53.77,2.14,0.89
161,,Samuele Ricci,0.21,0,42.31,60.89,2.07,0.79
162,,Marin Pongračić,0.22,0,47.37,50,0,1.67
163,,Roberto Pereyra,0.21,0,25,44.96,1.38,0.91
164,,Samuel Umtiti,0.32,0,56.67,61.03,1.08,1.28
165,,Arkadiusz Milik,0.04,0.04,39.13,44.44,1.07,1
166,,Perr Schuurs,0.17,0,55.05,55.11,0.1,1.03
167,,Éderson,0.11,0,48.78,54.58,1.23,0.8
168,,Bartłomiej Drągowski,0.03,0,90,75,0.17,0
169,,Arthur Cabral,0.14,0,50,43.54,0.64,0.93
170,,Davide Zappacosta,0.19,0,20,45.52,0.62,0.86
171,,Andrea Colpani,0.04,0,37.5,50.77,0.96,0.81
172,,Georgios Kyriakopoulos,0.21,0,33.33,48.73,1.04,0.75
173,,Pierre Kalulu,0.12,0,52.86,61.17,0.68,0.71
174,,Pablo Marí,0.13,0,68.6,59.12,0.3,1.03
175,,Pedro,0.03,0,16.67,48.99,0.83,0.72
176,,Luca D'Andrea,0,0,40,46.34,1.8,0.8
177,,Sofyan Amrabat,0.38,0,45.83,48.13,0.97,1.86
178,,Cristian Volpato,0,0,50,44.44,0.86,1
179,,Leonardo Bonucci,0.13,0,46.51,46.27,0.31,0.69
180,,Junior Messias,0.12,0,37.88,48.86,0.96,0.96
181,,Adam Marušić,0.24,0.03,53.7,55.29,0.42,0.67
182,,Daniele Verde,0.04,0,0,48.15,0.62,0.08
183,,Alessandro Florenzi,0.17,0,100,57.14,0.17,0.33
184,,Panagiotis Retsos,0,0,50,57.89,1,2
185,,Mouhamadou Sarr,0,0,100,100,0,0
186,,Martin Erlić,0.07,0,55.06,53.94,0.43,0.75
187,,Federico Chiesa,0.1,0,16.67,47.58,0.57,0.62
188,,Eljif Elmas,0.14,0,26.32,42.31,0.39,0.61
189,,Cyril Ngonge,0.2,0,32.14,35.17,0.73,1.07
190,,Lewis Ferguson,0.13,0,43.28,47.83,1.28,1.56
191,,Ciprian Tătărușanu,0,0,50,80,0.19,0
192,,Danilo Cataldi,0.17,0,28.57,46.85,0.69,0.41
193,,Mathías Olivera,0.07,0,44,46.93,0.83,0.7
194,,Igor Júlio,0.3,0.04,58.21,57.22,0.48,1.07
195,,Denzel Dumfries,0.12,0,50.6,51.74,1.15,0.91
196,,Hans Hateboer,0.41,0,63.16,47.27,0.18,1.12
197,,Berat Djimsiti,0.13,0,58.42,59.32,0.33,0.63
198,,Tyronne Ebuehi,0,0,37.25,50,0.65,0.46
199,,Marco Silvestri,0,0,100,93.75,0.11,0
200,,Frank Tsadjout,0.05,0,49.58,50,0.9,1.1
201,,Sebastian Walukiewicz,0,0,36.36,55.88,0.18,0.45
202,,Walace,0.16,0,44.23,49.36,1.05,1.08
203,,Jakub Kiwior,0.18,0,64.71,51.43,0.29,0.94
204,,Simon Kjær,0.24,0,57.58,57.38,0.06,0.47
205,,Lorenzo Pirola,0.15,0,55.81,55.49,0.35,1.08
206,,Adama Soumaoro,0.13,0.04,67.39,64.81,0.52,0.91
207,,Gianluca Caprari,0.19,0,22.22,43.24,1.35,0.92
208,,Matteo Ruggeri,0.2,0,68.42,54.17,0.33,0.67
209,,Miguel Veloso,0.27,0,50,52.68,0.36,0.91
210,,Charalampos Lykogiannis,0.14,0,52.94,52.08,0.52,0.67
211,,Dany Mota,0.07,0,35.48,42.25,1.14,0.69
212,,Tammy Abraham,0.05,0,51.61,47.58,1.26,0.87
213,,Salvatore Esposito,0.25,0.06,53.85,56.25,1.56,0.75
214,,Valentin Gendrey,0.11,0,52.75,58.61,0.73,0.62
215,,Valentino Lazaro,0.17,0,51.85,45.36,0.13,0.61
216,,Merih Demiral,0.18,0,63.41,65.06,0.46,0.46
217,,Wilfried Singo,0.26,0,69.74,58.87,1.13,1.35
218,,Robin Gosens,0.06,0,62.5,56.14,0.09,0.53
219,,Fabiano Parisi,0.3,0.03,69.77,57.53,2.24,1.03
220,,Roberto Soriano,0.04,0,40.74,53.69,1.22,0.74
221,,Matheus Henrique,0.13,0,36.67,58.1,1.1,0.73
222,,Andrea Petagna,0.06,0,52,44.86,0.97,0.94
223,,Alexis Blin,0.23,0,44.35,48.48,0.89,1.34
224,,Rogério,0.14,0.03,39.62,55.09,1.06,0.83
225,,Ante Rebić,0.17,0,44.44,42.62,0.65,0.78
226,,Leonardo Sernicola,0.34,0,56.86,55.29,1.34,1.25
227,,Koray Günter,0.22,0,60.53,58.04,0.57,1.04
228,,Adam Ounas,0,0,100,100,0,0
229,,Alessandro Cortinovis,0,0,0,25,0,0
230,,James Abankwah,0,0,100,62.5,0.5,1
231,,Nicola Ravaglia,0,0,100,71.43,0.22,0.11
232,,Luka Jović,0.1,0,34.94,35.8,0.26,0.74
233,,David Okereke,0.12,0,36.03,41.69,1,0.64
234,,Maxime López,0.37,0,57.14,40.48,0.37,1.03
235,,Fodé Ballo-Touré,0,0,72.22,61.64,1.3,0.5
236,,William Troost-Ekong,0.11,0,66.67,63.83,0.11,0.78
237,,Nicola Sansone,0.11,0,0,39.08,0.89,0.72
238,,Marco Benassi,0.06,0,32,52.48,0.41,0.65
239,,Johan Vásquez,0.28,0,44.3,53.54,0.76,0.84
240,,Antonino Gallo,0.09,0.03,46.3,59.16,0.53,0.41
241,,Dylan Bronn,0.21,0.04,59.65,55.63,0.42,1.21
242,,José Luis Palomino,0.27,0,64.86,60.23,0.33,0.6
243,,Grīgorīs Kastanos,0.14,0,48.94,53.18,1.5,0.79
244,,Denso Kasius,0.14,0,20,51.28,0.14,0.43
245,,Filippo Terracciano,0.1,0,41.67,59.41,0.81,0.33
246,,Michele Castagnetti,0.07,0,39.13,51.02,0.44,0.59
247,,Weston McKennie,0,0,42.86,47.06,0.47,0.87
248,,Ola Aina,0.26,0,54.55,53.54,0.84,0.84
249,,Beto,0.06,0,52.59,42.6,0.79,1.09
