#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Salvatore Sirigu,5,1,0,0,0,0
2,,Simone Perilli,4,1,0,0,0,0
3,,Francesco Bardi,4,1,0,0,0,0
4,,Paulo Dybala,0,0.04,0,0,0.68,0.12
5,,Domenico Berardi,0,0.08,0,0,0.88,0.35
6,,Hakan Çalhanoğlu,0,0.09,0,0,0.7,0.06
7,,Khvicha Kvaratskhelia,0,0.09,0,0,0.53,0.09
8,,Andrea Ranocchia,0,0,0,0,1,1
9,,Mário Rui,0,0.27,0,0,0.59,0.14
10,,Lucas Martínez Quarta,0,0.15,0,0,1.11,0.04
11,,Mattia Zaccagni,0,0.26,0,0,0.51,0.14
12,,Lorenzo Pellegrini,0,0.13,0,0,0.69,0.13
13,,Danilo,0,0.54,0,0,0.65,0.03
14,,Lautaro Martínez,0,0.13,0,0,0.84,0.13
15,,Min-jae Kim,0,0.4,0,0,0.54,0.14
16,,Sandro Tonali,0,0.24,0,0,0.97,0.09
17,,Ismaël Bennacer,0,0.11,0,0,0.64,0.11
18,,Victor Osimhen,0,0.16,0,0,0.38,0.16
19,,Teun Koopmeiners,0,0.24,0,0,0.82,0.27
20,,Mattia Perin,3,0.45,0.18,0.09,0.64,0
21,,Cristiano Biraghi,0,0.15,0,0,1,0.06
22,,Fikayo Tomori,0,0.3,0,0,0.79,0.09
23,,Amir Rrahmani,0,0.34,0,0,0.69,0.07
24,,Giovanni Di Lorenzo,0,0.46,0,0,0.51,0.14
25,,Federico Dimarco,0,0.03,0,0,0.64,0.09
26,,Sergej Milinković-Savić,0,0.36,0,0,0.56,0.19
27,,Armand Laurienté,0,0.07,0,0,0.93,0.25
28,,Luis Alberto,0,0.26,0,0,0.4,0.14
29,,Nicolás Domínguez,0,0.13,0,0,0.94,0.06
30,,Piotr Zieliński,0,0.03,0,0,0.49,0.08
31,,Ivan Provedel,2.63,0.55,0.05,0,0.61,0.18
32,,Bremer,0,0.4,0,0,1,0.03
33,,Chris Smalling,0,0.38,0,0,0.75,0.09
34,,Patric,0,0.5,0,0,0.33,0.06
35,,Răzvan Marin,0,0.12,0,0,1.06,0.12
36,,Felipe Anderson,0,0.39,0,0,0.47,0.16
37,,Ionuț Radu,5.11,0.11,0.33,0,2,0.11
38,,Rafael Leão,0,0.09,0,0,0.8,0.09
39,,Romelu Lukaku,0,0.12,0,0,0.6,0.04
40,,Gerard Deulofeu,0,0.25,0,0,0.88,0.06
41,,Pierluigi Gollini,2.57,0.57,0,0,0.86,0
42,,Nicolò Barella,0,0.17,0,0,0.83,0.06
43,,Jaka Bijol,0,0.25,0,0,1.06,0.13
44,,Martin Turk,5.25,0,0.5,0,2,0.25
45,,Juan Cuadrado,0,0.23,0,0,0.45,0.03
46,,Armando Izzo,0,0.23,0,0,0.83,0
47,,Adrien Rabiot,0,0.5,0,0,0.81,0.03
48,,Stanislav Lobotka,0,0.21,0,0,0.61,0.11
49,,Jérémie Boga,0,0,0,0,0.48,0.13
50,,Guglielmo Vicario,3.13,0.23,0.19,0.03,1.13,0.13
51,,Ardian Ismajli,0,0.2,0,0,1,0.08
52,,Stefan Posch,0,0.2,0,0,1.03,0.1
53,,Nicolò Rovella,0,0.18,0,0,0.64,0.07
54,,Ángel Di María,0,0,0,0,0.77,0.04
55,,Ademola Lookman,0,0,0,0,0.61,0.13
56,,Alessio Romagnoli,0,0.44,0,0,0.62,0.21
57,,Rodrigo Becão,0,0.25,0,0,1.07,0.04
58,,Antonio Candreva,0,0.03,0,0,1.11,0.2
59,,Leo Østigård,0,0.43,0,0,0.14,0.29
60,,Stefano Sensi,0,0.04,0,0,0.79,0.11
61,,Bryan Cristante,0,0.33,0,0,0.67,0.08
62,,Juan Jesus,0,0.4,0,0,0.47,0.07
63,,Michele Di Gregorio,3.27,0.27,0.08,0,1.22,0.11
64,,Marcelo Brozović,0,0.11,0,0,0.86,0.11
65,,Matteo Pessina,0,0.17,0,0,1.17,0.06
66,,Roger Ibañez,0,0.3,0,0,0.94,0.12
67,,Filip Kostić,0,0.16,0,0,0.84,0.03
68,,Alex Cordaz,2,0,0,0,0,0
69,,Francesco Acerbi,0,0.29,0,0,0.87,0.1
70,,Wojciech Szczęsny,2.43,0.5,0.11,0,0.89,0.04
71,,André Onana,2.58,0.33,0.08,0,0.88,0.13
72,,Riccardo Orsolini,0,0.06,0,0,0.88,0.09
73,,Alessandro Bastoni,0,0.21,0,0,0.79,0.07
74,,Ivan Ilić,0,0.24,0,0,0.88,0.16
75,,Federico Gatti,0,0.44,0,0,0.72,0
76,,Manuel Locatelli,0,0.38,0,0,0.56,0.03
77,,Ciro Immobile,0,0.26,0,0,0.48,0.13
78,,Michele Cerofolini,1.6,0.4,0.2,0,0.6,0
79,,Nicolò Casale,0,0.45,0,0,0.62,0.21
80,,Marco Carnesecchi,3.96,0.15,0.07,0,1.56,0.19
81,,Gabriel Strefezza,0,0.03,0,0,0.86,0.14
82,,Carlos Augusto,0,0.2,0,0,1.23,0.09
83,,Sebastiano Luperto,0,0.19,0,0,1.08,0.14
84,,Darko Lazović,0,0.03,0,0,0.87,0.32
85,,Nikola Milenković,0,0.26,0,0,0.96,0.04
86,,Malick Thiaw,0,0.25,0,0,0.6,0
87,,Rolando Mandragora,0,0.1,0,0,0.72,0.03
88,,Frank Anguissa,0,0.31,0,0,0.61,0.11
89,,Rémi Oudin,0,0.03,0,0,0.35,0.13
90,,Alex Meret,2.03,0.47,0.06,0.03,0.56,0.15
91,,Nicolás González,0,0.04,0,0,0.63,0.04
92,,Aleksei Miranchuk,0,0.1,0,0,0.72,0.1
93,,Luigi Sepe,3.53,0.18,0.41,0.18,1.29,0.29
94,,Olivier Giroud,0,0.03,0,0,0.73,0.03
95,,Edin Džeko,0,0.06,0,0,0.48,0.12
96,,Boulaye Dia,0,0.06,0,0,1.15,0.24
97,,Theo Hernández,0,0.28,0,0,0.91,0.06
98,,Stefan de Vrij,0,0.3,0,0,0.78,0.15
99,,Nehuén Pérez,0,0.21,0,0,1.09,0.06
100,,Antonio Sanabria,0,0.09,0,0,0.79,0.15
101,,Ricardo Rodríguez,0,0.23,0,0,0.71,0.17
102,,Emil Audero,3.36,0.16,0.28,0.08,1.4,0.16
103,,Sandi Lovrić,0,0.03,0,0,0.81,0.11
104,,Daniele Rugani,0,0.44,0,0,0.22,0
105,,Matías Viña,0,0,0,0,0.33,0
106,,Guillermo Ochoa,3.65,0.2,0.2,0.05,1.4,0.25
107,,Alex Sandro,0,0.36,0,0,0.8,0
108,,Morten Hjulmand,0,0.09,0,0,1.06,0.2
109,,Dušan Vlahović,0,0.15,0,0,0.7,0.04
110,,Lorenzo Montipò,3.53,0.13,0.08,0.05,1.26,0.32
111,,Matteo Politano,0,0,0,0,0.37,0.07
112,,Vanja Milinković-Savić,2.53,0.29,0.16,0,0.89,0.18
113,,Wladimiro Falcone,2.97,0.16,0.16,0.03,1.03,0.18
114,,Vlad Chiricheş,0,0.06,0,0,1.13,0.13
115,,Manolo Gabbiadini,0,0,0,0,1.31,0.09
116,,Samir Handanović,2.5,0.29,0.07,0,1.14,0.14
117,,Rafael Tolói,0,0.22,0,0,0.84,0.28
118,,Marko Arnautović,0,0.05,0,0,1.05,0.1
119,,Patrick Ciurria,0,0.14,0,0,0.89,0.08
120,,Musa Barrow,0,0.06,0,0,0.88,0.09
121,,Jhon Lucumí,0,0.18,0,0,1.06,0.12
122,,Davide Calabria,0,0.08,0,0,0.92,0.08
123,,Nikola Vlašić,0,0.18,0,0,0.74,0.15
124,,Norbert Gyömbér,0,0.07,0,0,0.56,0.15
125,,Saša Lukić,0,0.06,0,0,0.94,0.19
126,,Aleksa Terzić,0,0,0,0,0.36,0
127,,Rade Krunić,0,0.22,0,0,0.7,0.04
128,,Christian Kouamé,0,0.04,0,0,0.93,0.04
129,,Luis Muriel,0,0,0,0,0.45,0.07
130,,Marten de Roon,0,0.23,0,0,0.91,0.23
131,,Hirving Lozano,0,0.03,0,0,0.16,0.09
132,,Federico Baschirotto,0,0.16,0,0,1,0.19
133,,Brahim Díaz,0,0,0,0,0.58,0.06
134,,Ethan Ampadu,0,0.16,0,0,1.13,0.28
135,,Nemanja Matić,0,0.14,0,0,0.54,0.11
136,,Gianluca Mancini,0,0.34,0,0,0.69,0.11
137,,Łukasz Skorupski,3.14,0.19,0.24,0.05,1.22,0.11
138,,Lazar Samardžić,0,0,0,0,0.65,0.08
139,,Matteo Darmian,0,0.16,0,0,0.61,0.1
140,,Ruslan Malinovskyi,0,0,0,0,0.47,0.07
141,,Jerdy Schouten,0,0.09,0,0,1.03,0.09
142,,Santiago Ascacíbar,0,0.08,0,0,0.77,0.08
143,,Tommaso De Nipoti,0,0,0,0,0,0
144,,Tommaso Cassandro,0,0,0,0,0,0
145,,Denis Zakaria,0,0.5,0,0,0.5,0
146,,Davide Frattesi,0,0.08,0,0,1.08,0.22
147,,Stephan El Shaarawy,0,0.03,0,0,0.55,0
148,,Leandro Paredes,0,0.04,0,0,0.48,0
149,,Giacomo Bonaventura,0,0.1,0,0,0.8,0.03
150,,Milan Đurić,0,0.03,0,0,0.59,0.24
151,,Nikola Moro,0,0,0,0,0.58,0.04
152,,Mike Maignan,1.91,0.36,0.14,0.05,0.86,0.09
153,,Simone Bastoni,0,0.05,0,0,0.74,0.42
154,,Simone Verdi,0,0,0,0,0.64,0.16
155,,Bram Nuytinck,0,0.04,0,0,1.4,0.08
156,,Alessandro Buongiorno,0,0.26,0,0,0.71,0.18
157,,Henrikh Mkhitaryan,0,0.03,0,0,0.52,0.06
158,,Juan Musso,2.67,0.29,0.08,0,0.96,0.17
159,,Destiny Udogie,0,0.24,0,0,0.91,0.09
160,,Nicolò Cambiaghi,0,0,0,0,0.32,0.11
161,,Samuele Ricci,0,0.21,0,0,0.61,0.18
162,,Marin Pongračić,0,0,0,0,0.78,0.22
163,,Roberto Pereyra,0,0.06,0,0,1.12,0.12
164,,Samuel Umtiti,0,0.24,0,0,0.96,0.16
165,,Arkadiusz Milik,0,0.15,0,0,0.48,0
166,,Perr Schuurs,0,0.13,0,0,0.87,0.1
167,,Éderson,0,0.03,0,0,0.69,0.2
168,,Bartłomiej Drągowski,3.34,0.17,0.17,0.03,1.34,0.29
169,,Arthur Cabral,0,0.04,0,0,0.57,0.04
170,,Davide Zappacosta,0,0.05,0,0,0.76,0.29
171,,Andrea Colpani,0,0,0,0,0.44,0
172,,Georgios Kyriakopoulos,0,0.08,0,0,0.67,0.17
173,,Pierre Kalulu,0,0.18,0,0,1.09,0.12
174,,Pablo Marí,0,0.23,0,0,1.13,0.1
175,,Pedro,0,0,0,0,0.42,0.14
176,,Luca D'Andrea,0,0,0,0,0.6,0.2
177,,Sofyan Amrabat,0,0.14,0,0,0.9,0.03
178,,Cristian Volpato,0,0,0,0,0,0
179,,Leonardo Bonucci,0,0.25,0,0,0.44,0.06
180,,Junior Messias,0,0.08,0,0,0.68,0.08
181,,Adam Marušić,0,0.36,0,0,0.61,0.15
182,,Daniele Verde,0,0,0,0,0.69,0.08
183,,Alessandro Florenzi,0,0,0,0,0.17,0
184,,Panagiotis Retsos,0,0,0,0,1.5,0
185,,Mouhamadou Sarr,2.5,0.5,0,0,1.5,0
