#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Salvatore Sirigu,0,0,0,1,0,0
2,,Simone Perilli,0,0,0,0,0,0
3,,Francesco Bardi,0,0,0,0,0,0
4,,Paulo Dybala,0.56,0.32,0,0.12,0,0.72
5,,Domenico Berardi,0.88,0.73,0,0.62,0,1.19
6,,Hakan Çalhanoğlu,1.45,0.76,0,0.24,0.03,0.82
7,,Khvicha Kvaratskhelia,1.26,0.15,0,0.18,0,0.76
8,,Andrea Ranocchia,3,0,0,7,0,1
9,,Mário Rui,1.55,0.68,0,0.77,0,0.95
10,,Lucas Martínez Quarta,2.96,1.78,0,2.81,0,0.7
11,,Mattia Zaccagni,1.2,0.6,0.03,0.17,0,0.69
12,,Lorenzo Pellegrini,1.63,0.81,0,0.63,0,0.81
13,,Danilo,2.49,1.27,0.05,3.03,0,0.57
14,,Lautaro Martínez,0.66,0.34,0,0.39,0,0.42
15,,Min-jae Kim,1.57,1.17,0,3.49,0.03,0.11
16,,Sandro Tonali,1.88,0.74,0,0.47,0,0.5
17,,Ismaël Bennacer,2.11,0.93,0,0.46,0,0.75
18,,Victor Osimhen,0.31,0.19,0.03,0.91,0,0.22
19,,Teun Koopmeiners,1.39,0.58,0,1,0,0.85
20,,Mattia Perin,0,0,0,0.09,0,0
21,,Cristiano Biraghi,1.97,0.42,0,1.15,0,1
22,,Fikayo Tomori,2.12,0.88,0.03,2.33,0,0.36
23,,Amir Rrahmani,1.14,0.48,0,2.55,0,0.31
24,,Giovanni Di Lorenzo,1.62,0.81,0,1.35,0,0.65
25,,Federico Dimarco,0.94,0.55,0.03,0.39,0,0.3
26,,Sergej Milinković-Savić,1.61,0.78,0,1.31,0,1.19
27,,Armand Laurienté,0.75,0.43,0,0.11,0,0.46
28,,Luis Alberto,1.4,0.26,0,0.11,0,1.4
29,,Nicolás Domínguez,2.55,0.68,0.03,0.77,0,1.19
30,,Piotr Zieliński,0.46,0.38,0,0.16,0,0.35
31,,Ivan Provedel,0.03,0,0,0.76,0.03,0
32,,Bremer,0.97,1.4,0.03,3.83,0,0.23
33,,Chris Smalling,0.81,1.34,0,3.84,0,0.25
34,,Patric,0.94,0.61,0,2.83,0,0.28
35,,Răzvan Marin,1.33,0.42,0.03,0.97,0,0.64
36,,Felipe Anderson,2.11,0.82,0,0.61,0,1.45
37,,Ionuț Radu,0,0,0,0.44,0.11,0
38,,Rafael Leão,0.23,0.43,0,0.2,0,0.23
39,,Romelu Lukaku,0.12,0,0,0.64,0,0.12
40,,Gerard Deulofeu,0.5,0.13,0,0.06,0,0.63
41,,Pierluigi Gollini,0.14,0,0,0.57,0,0
42,,Nicolò Barella,1.4,0.34,0,0.34,0,0.71
43,,Jaka Bijol,1.22,0.91,0.03,5.09,0,0.34
44,,Martin Turk,0,0,0,0.25,0,0
45,,Juan Cuadrado,1.61,0.77,0,0.74,0,1.23
46,,Armando Izzo,2.43,1.67,0.03,2.63,0,0.53
47,,Adrien Rabiot,2.03,0.81,0,1.19,0,0.84
48,,Stanislav Lobotka,2.18,0.61,0,0.42,0,0.79
49,,Jérémie Boga,0.39,0.04,0,0.04,0,0.17
50,,Guglielmo Vicario,0.03,0,0,1.35,0.03,0.03
51,,Ardian Ismajli,1.6,1.08,0,4.68,0,0.24
52,,Stefan Posch,2.7,1.17,0,2,0,1.03
53,,Nicolò Rovella,1.64,1.43,0,0.57,0,0.82
54,,Ángel Di María,0.38,0.27,0,0,0,0.62
55,,Ademola Lookman,0.42,0.13,0,0.03,0,0.39
56,,Alessio Romagnoli,0.97,1.12,0,3.15,0,0.32
57,,Rodrigo Becão,2.5,0.93,0,2.18,0.04,0.46
58,,Antonio Candreva,0.49,0.49,0.03,0.6,0,0.77
59,,Leo Østigård,0.57,0.86,0,2.43,0,0
60,,Stefano Sensi,1.46,0.71,0,0.11,0,1.07
61,,Bryan Cristante,3.14,0.5,0,1.36,0,1
62,,Juan Jesus,1.07,0.67,0,1.87,0,0.2
63,,Michele Di Gregorio,0,0.11,0,0.78,0.05,0.08
64,,Marcelo Brozović,1.32,0.79,0,0.86,0,0.93
65,,Matteo Pessina,1.63,1.06,0,0.86,0,1.03
66,,Roger Ibañez,2.03,2,0,2.76,0.06,0.48
67,,Filip Kostić,1.11,0.43,0,0.68,0,0.7
68,,Alex Cordaz,0,0,0,0,0,0
69,,Francesco Acerbi,1.06,1.32,0,2.55,0.03,0.26
70,,Wojciech Szczęsny,0.04,0,0,0.64,0,0.04
71,,André Onana,0,0,0,0.58,0,0.04
72,,Riccardo Orsolini,0.94,0.25,0,0.44,0,0.75
73,,Alessandro Bastoni,1.41,0.83,0,1.45,0,0.55
74,,Ivan Ilić,1.36,0.52,0,0.92,0,0.6
75,,Federico Gatti,0.83,1.17,0,2.94,0,0.33
76,,Manuel Locatelli,1.84,0.84,0,1.63,0,0.72
77,,Ciro Immobile,0.35,0.03,0,0.42,0,0.1
78,,Michele Cerofolini,0,0.2,0,0.4,0,0
79,,Nicolò Casale,1.45,0.59,0,2.34,0.03,0.41
80,,Marco Carnesecchi,0.04,0,0,0.74,0.07,0.04
81,,Gabriel Strefezza,1.43,0.46,0.03,0.31,0,0.71
82,,Carlos Augusto,2.09,0.69,0,2.11,0,0.6
83,,Sebastiano Luperto,0.94,1.19,0,4.36,0,0.28
84,,Darko Lazović,0.81,0.52,0,0.58,0,0.52
85,,Nikola Milenković,1.48,0.81,0,2.67,0,0.33
86,,Malick Thiaw,1.55,0.6,0,3.25,0,0.45
87,,Rolando Mandragora,1.45,0.55,0,0.69,0,1
88,,Frank Anguissa,1.47,1.36,0,0.67,0,1.33
89,,Rémi Oudin,0.81,0.94,0,0.65,0,0.42
90,,Alex Meret,0,0,0,0.38,0.03,0
91,,Nicolás González,0.71,0.17,0.04,0.25,0,0.46
92,,Aleksei Miranchuk,0.38,0.07,0,0.17,0,0.28
93,,Luigi Sepe,0,0,0.06,0.41,0,0.06
94,,Olivier Giroud,0.24,0.09,0,0.7,0,0.24
95,,Edin Džeko,0.09,0.09,0,0.76,0,0.12
96,,Boulaye Dia,0.36,0.21,0,0.82,0,0.15
97,,Theo Hernández,1.34,0.66,0,1,0.03,0.5
98,,Stefan de Vrij,1.04,1.48,0.04,2.93,0,0.22
99,,Nehuén Pérez,2.26,1.03,0,2.76,0,0.47
100,,Antonio Sanabria,0.33,0.12,0,0.21,0,0.18
101,,Ricardo Rodríguez,1.54,1.09,0,1.57,0,0.37
102,,Emil Audero,0,0,0,0.6,0,0.08
103,,Sandi Lovrić,1.08,0.7,0,0.51,0,0.49
104,,Daniele Rugani,0.78,0.78,0,3.44,0,0
105,,Matías Viña,1,0.67,0,1,0,0.67
106,,Guillermo Ochoa,0,0,0,0.65,0,0.1
107,,Alex Sandro,1.4,0.6,0,2.48,0.04,0.28
108,,Morten Hjulmand,2.57,2.06,0.03,1.51,0,0.86
109,,Dušan Vlahović,0.41,0.11,0,0.3,0.04,0.22
110,,Lorenzo Montipò,0.05,0,0,1.11,0.03,0.08
111,,Matteo Politano,0.67,0.26,0,0.22,0,0.52
112,,Vanja Milinković-Savić,0.05,0.03,0,1,0,0
113,,Wladimiro Falcone,0.05,0.05,0.03,1.32,0.08,0
114,,Vlad Chiricheş,2.19,1.38,0,2.75,0,0.5
115,,Manolo Gabbiadini,0.66,0.17,0,0.71,0,0.4
116,,Samir Handanović,0,0,0,0.57,0,0
117,,Rafael Tolói,2.16,1.78,0.06,2.66,0,0.91
118,,Marko Arnautović,0.43,0.1,0,0.48,0,0.24
119,,Patrick Ciurria,0.86,0.19,0,0.69,0,0.44
120,,Musa Barrow,0.66,0.03,0,0.16,0,0.19
121,,Jhon Lucumí,1.61,1.06,0.12,2.85,0,0.58
122,,Davide Calabria,2.84,1,0.04,1.2,0,0.92
123,,Nikola Vlašić,0.94,0.29,0,0.32,0,0.65
124,,Norbert Gyömbér,1.19,1.26,0.04,3.3,0,0.3
125,,Saša Lukić,1.31,0.81,0,0.63,0,0.38
126,,Aleksa Terzić,0.73,0.23,0,0.68,0,0.45
127,,Rade Krunić,1.74,0.7,0,0.83,0,1.48
128,,Christian Kouamé,0.96,0.43,0,0.21,0,0.25
129,,Luis Muriel,0.31,0.07,0,0.07,0,0.38
130,,Marten de Roon,2.2,1.03,0,1.57,0,1.31
131,,Hirving Lozano,0.75,0.47,0,0.09,0,0.38
132,,Federico Baschirotto,1.08,0.97,0.03,5.03,0,0.38
133,,Brahim Díaz,0.97,0.21,0,0.12,0,0.3
134,,Ethan Ampadu,2.06,1.16,0.06,3,0,0.78
135,,Nemanja Matić,1.34,0.71,0,0.49,0.03,0.4
136,,Gianluca Mancini,1.06,1.31,0.03,1.83,0,0.46
137,,Łukasz Skorupski,0.05,0,0.03,0.89,0.05,0.03
138,,Lazar Samardžić,0.89,0.3,0,0.38,0,0.7
139,,Matteo Darmian,1.81,0.68,0,1.1,0,0.52
140,,Ruslan Malinovskyi,0.93,0.33,0,0.13,0,0.73
141,,Jerdy Schouten,1.91,1.21,0,1.24,0,0.67
142,,Santiago Ascacíbar,2.23,1,0,0.62,0,1.62
143,,Tommaso De Nipoti,1,0,0,0,0,0
144,,Tommaso Cassandro,1,0,0,0,0,0
145,,Denis Zakaria,3,1,0,0.5,0,0
146,,Davide Frattesi,1.75,0.44,0,1.08,0,0.53
147,,Stephan El Shaarawy,0.72,0.52,0,0.34,0,0.55
148,,Leandro Paredes,0.76,0.68,0.04,0.8,0,0.48
149,,Giacomo Bonaventura,1.17,0.53,0,0.1,0,0.43
150,,Milan Đurić,0.07,0.03,0,0.86,0,0.07
151,,Nikola Moro,1.23,0.31,0,0.65,0,0.85
152,,Mike Maignan,0.05,0.05,0,0.64,0,0
153,,Simone Bastoni,2.47,0.42,0,0.68,0,0.95
154,,Simone Verdi,0.6,0,0,0.08,0,0.48
155,,Bram Nuytinck,2.44,1.12,0.04,4.12,0,0.6
156,,Alessandro Buongiorno,1.12,1.76,0,2.91,0.03,0.44
157,,Henrikh Mkhitaryan,1.32,0.68,0,0.48,0,0.87
158,,Juan Musso,0.04,0,0,0.54,0.04,0
159,,Destiny Udogie,2.15,1.09,0.06,0.55,0,0.76
160,,Nicolò Cambiaghi,1.07,0.32,0,0.21,0,0.68
161,,Samuele Ricci,1.14,0.61,0,0.93,0,0.18
162,,Marin Pongračić,1.78,1.78,0,3.33,0,0.22
163,,Roberto Pereyra,1.06,0.47,0.03,0.59,0,0.82
164,,Samuel Umtiti,2.08,1.04,0,3.08,0,0.32
165,,Arkadiusz Milik,0.44,0.04,0.04,0.52,0,0.22
166,,Perr Schuurs,1.7,0.93,0.03,3.23,0,0.4
167,,Éderson,1.91,1.03,0.03,0.74,0,1.06
168,,Bartłomiej Drągowski,0.03,0.03,0,0.83,0.06,0.11
