#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Salvatore Sirigu,0,0,29,65.52,0,47.37
2,,Simone Perilli,0,0,34,29.41,4,20
3,,Francesco Bardi,0,0,17,76.47,2,60
4,,Paulo Dybala,0.48,0.24,29.56,82.27,8.36,76.32
5,,Domenico Berardi,0.31,0.27,31.23,71.06,10.08,69.23
6,,Hakan Çalhanoğlu,0.09,0.18,45.42,88.26,11.64,67.12
7,,Khvicha Kvaratskhelia,0.41,0.29,30.53,83.72,12.71,60.27
8,,Andrea Ranocchia,0,0,19,84.21,2,66.67
9,,Mário Rui,0.23,0.27,64.95,84.18,16.23,59.16
10,,Lucas Martínez Quarta,0.04,0.04,55.93,81.85,6.3,56.07
11,,Mattia Zaccagni,0.29,0.17,27.86,84.51,7.89,55.56
12,,Lorenzo Pellegrini,0.34,0.16,29.53,80.11,7.09,59.52
13,,Danilo,0.08,0.08,56,85.14,7.54,54.24
14,,Lautaro Martínez,0.24,0.16,17.34,75.57,5.61,67.74
15,,Min-jae Kim,0.06,0.06,79.97,91,7.49,57.69
16,,Sandro Tonali,0.35,0.21,41.26,81.04,9.09,53.09
17,,Ismaël Bennacer,0.14,0.07,47.75,89.15,10.11,68.89
18,,Victor Osimhen,0.06,0.13,11.63,70.97,4.81,76.92
19,,Teun Koopmeiners,0.24,0.12,46.55,78.13,13.06,40.17
20,,Mattia Perin,0,0,26.91,71.28,0.55,31.97
21,,Cristiano Biraghi,0.18,0.12,42.3,78.51,11.27,36.57
22,,Fikayo Tomori,0.03,0.03,57.45,88.87,3.45,63.02
23,,Amir Rrahmani,0.07,0.03,74.48,91.39,7.17,63.37
24,,Giovanni Di Lorenzo,0.16,0.11,61.76,86.04,14.03,58.48
25,,Federico Dimarco,0.36,0.09,28.24,80.58,6.61,53.91
26,,Sergej Milinković-Savić,0.39,0.22,52.17,77.05,10.03,53.02
27,,Armand Laurienté,0.25,0.21,24.57,79.22,10.07,46.88
28,,Luis Alberto,0.2,0.2,52.11,87.55,14.63,58.59
29,,Nicolás Domínguez,0.13,0.06,43.97,83.71,9.48,61.86
30,,Piotr Zieliński,0.32,0.22,38.7,87.5,13.89,60
31,,Ivan Provedel,0,0,30.34,78.06,0.87,56.05
32,,Bremer,0.1,0.03,55.43,90.2,1.8,57.69
33,,Chris Smalling,0.03,0.03,41.84,87.45,1.53,54.89
34,,Patric,0,0,58.94,89.26,2,61.96
35,,Răzvan Marin,0.15,0.12,43.67,84.46,9.12,61
36,,Felipe Anderson,0.11,0.05,35.08,79.82,9.87,59.62
37,,Ionuț Radu,0.11,0,33.11,63.09,1.67,31.45
38,,Rafael Leão,0.43,0.23,21.2,74.39,8.03,71.21
39,,Romelu Lukaku,0.28,0.24,15.12,72.49,5.88,87.5
40,,Gerard Deulofeu,0.19,0.38,32,80.47,13.75,42.86
41,,Pierluigi Gollini,0,0,34.86,78.28,0.29,49.51
42,,Nicolò Barella,0.11,0.17,42.94,85.03,12.34,61.39
43,,Jaka Bijol,0.13,0.06,42.94,85.01,2.06,54.13
44,,Martin Turk,0,0,31.75,59.06,0.75,45.56
45,,Juan Cuadrado,0.19,0.1,35.74,87,6.48,77.98
46,,Armando Izzo,0.03,0,51.97,87.68,5.03,54.1
47,,Adrien Rabiot,0.03,0.13,35.5,83.63,8.91,66.22
48,,Stanislav Lobotka,0.03,0.03,60.39,94.16,11.66,81.2
49,,Jérémie Boga,0.13,0.22,17.96,84.99,7.48,76.92
50,,Guglielmo Vicario,0,0,36.29,68.71,1.03,34.92
51,,Ardian Ismajli,0,0,41.08,84.62,1.24,49.17
52,,Stefan Posch,0.1,0.07,49.17,76.75,7.2,46.03
53,,Nicolò Rovella,0.11,0.07,48.11,89.9,8.46,69.93
54,,Ángel Di María,0.38,0.15,21.35,78.74,7.27,55.74
55,,Ademola Lookman,0.32,0.19,19.29,78.6,7.71,42.86
56,,Alessio Romagnoli,0.03,0,54.32,90.47,3.09,58.2
57,,Rodrigo Becão,0.04,0.04,43.93,80.33,4.71,43.39
58,,Antonio Candreva,0.14,0.11,35.71,79.68,9.51,47.97
59,,Leo Østigård,0,0,50.71,85.92,4.86,70.27
60,,Stefano Sensi,0.11,0.04,43.68,87.41,9.71,73.95
61,,Bryan Cristante,0.06,0.03,46.11,82.77,6.92,52.03
62,,Juan Jesus,0,0,48.93,90.33,3.53,63.64
63,,Michele Di Gregorio,0.03,0.03,34.49,71.87,0.95,41.92
64,,Marcelo Brozović,0.11,0.18,51.64,89.63,9.04,64.22
65,,Matteo Pessina,0.06,0.09,56.2,86.48,11.11,65.83
66,,Roger Ibañez,0.03,0,49.85,87.96,2.73,53.42
67,,Filip Kostić,0.27,0.22,23.65,78.06,5.51,47.83
68,,Alex Cordaz,0,0,17,47.06,0,22.22
69,,Francesco Acerbi,0,0.06,51.48,89.79,5.1,64.1
70,,Wojciech Szczęsny,0,0,23.5,75.68,0.39,50.32
71,,André Onana,0,0,38,79.17,1,44.68
72,,Riccardo Orsolini,0.13,0.13,23.81,68.11,5.91,65.43
73,,Alessandro Bastoni,0.21,0.07,52.97,85.35,7.76,56.78
74,,Ivan Ilić,0.08,0.12,45.28,84.54,8.6,43.94
75,,Federico Gatti,0.06,0,52.39,85.15,3.94,54.68
76,,Manuel Locatelli,0.06,0.06,41.84,82.67,8.47,61.45
77,,Ciro Immobile,0.06,0.16,19.71,75.94,5.35,64.71
78,,Michele Cerofolini,0,0,33.6,72.02,0.4,44.05
79,,Nicolò Casale,0,0.03,55.55,91.99,2.28,72.41
80,,Marco Carnesecchi,0.04,0.04,30.11,53.14,2.19,33.1
81,,Gabriel Strefezza,0.2,0.11,21.09,69.11,7.69,50.94
82,,Carlos Augusto,0.14,0.14,39.43,84.71,6.71,47.56
83,,Sebastiano Luperto,0.03,0,47.19,86.58,1.92,48.91
84,,Darko Lazović,0.45,0.19,20.81,68.37,5.26,32.43
85,,Nikola Milenković,0.07,0.04,47.52,85.89,3.44,52.82
86,,Malick Thiaw,0,0,52.45,88.37,3.4,58.77
87,,Rolando Mandragora,0.24,0.14,31.07,84.35,9.62,62.04
88,,Frank Anguissa,0.08,0.14,61.78,88.85,16.17,67.42
89,,Rémi Oudin,0.03,0,15.06,70.02,3.94,58.02
90,,Alex Meret,0,0,23.82,86.05,0.09,52.44
91,,Nicolás González,0.08,0.04,21.75,69.35,6.46,54.35
92,,Aleksei Miranchuk,0.17,0.17,26.9,81.41,8.62,59.65
93,,Luigi Sepe,0,0,32.94,63.93,0.76,35.48
94,,Olivier Giroud,0.3,0.15,16.76,63.29,3.67,50
95,,Edin Džeko,0.12,0.09,15.15,72,4.42,53.85
96,,Boulaye Dia,0.12,0.18,17.48,77.3,5.15,62.96
97,,Theo Hernández,0.09,0.09,43.22,81.06,8.13,46.92
98,,Stefan de Vrij,0,0,44.52,89.52,1.81,49.46
99,,Nehuén Pérez,0,0,49.03,86.38,5.03,55.85
100,,Antonio Sanabria,0.21,0.12,20.82,76.27,5.82,68.18
101,,Ricardo Rodríguez,0.03,0,45.4,84.08,6.97,45.03
102,,Emil Audero,0,0,32.4,63.58,1.2,41.55
