#,Team,Name
1,,Nicolò Manfredini
2,,Giacomo Poluzzi
3,,Alessandro Micai
4,,Elia Caprile
5,,Alessandro Livieri
6,,Boris Radunović
7,,Josep Martínez
8,,Alfred Gomis
9,,Andrea Seculin
10,,Nicola Leali
11,,Stefano Turati
12,,Leonardo Marson
13,,Elhan Kastrati
14,,Antony Iannarilli
15,,Enrico Alfonso
16,,Stefano Gori
17,,Riccardo Gagno
18,,Mirko Pigliacelli
19,,Nícolas
20,,Adrian Šemper
21,,Jacopo Furlan
22,,Simone Colombi
23,,Leandro Chichizola
24,,Kristjan Matošević
25,,Jesse Joronen
26,,Bruno Bertinato
27,,Alberto Paleari
28,,Edoardo Corvi
29,,Lorenzo Andrenacci
30,,Noam Baumann
31,,Luca Maniero
32,,Mauro Vigorito
33,,Gianluigi Buffon
34,,Luca Lezzerini
35,,Enrico Guarna
36,,Simone Ghidotti
37,,Demba Thiam
38,,Federico Ravaglia
39,,Alberto Pomini
40,,Niki Mäenpää
41,,Nikita Contini
42,,Alessio Abibi
43,,Leonardo Loria
44,,Pierluigi Frattali
45,,Gabriel Brazão
46,,Simone Aresti
47,,Giuseppe Agostino
