#,Team,Name,Appearances
1,,Salvatore Esposito,17
2,,Nicolò Manfredini,8
3,,Luca Matarese,1
4,,Giovanni Zaro,36
5,,Joel Pohjanpalo,37
6,,Eric Botteghin,37
7,,Antonio Palumbo,35
8,,Marco Mancosu,24
9,,Anthony Oyono,13
10,,Alberto Dossena,23
11,,Biagio Meccariello,35
12,,Franco Vázquez,36
13,,Kevin Strootman,30
14,,Tiago Casasola,35
15,,Domenico Criscito,16
16,,Luca Ravanelli,24
17,,Adrián Bernabé,29
18,,Luca Mazzitelli,25
19,,Raffaele Maiello,28
20,,Walid Cheddira,31
21,,Giacomo Poluzzi,38
22,,Alessandro Micai,19
23,,Luca Tremolada,36
24,,Roberto Insigne,32
25,,Fabio Lucioni,31
26,,Elia Caprile,37
27,,Andrea Masiello,31
28,,Gianluca Lapadula,36
29,,Nicola Falasco,27
30,,Alessandro Livieri,11
31,,Alberto Cerri,34
32,,Daniel Boloca,31
33,,Albert Guðmundsson,36
34,,Giorgio Cittadini,18
35,,Federico Viviani,15
36,,Andrea Carboni,16
37,,Boris Radunović,38
38,,Enrico Baldini,6
39,,Giorgio Altare,26
40,,Mattia Bani,33
41,,Marko Pajač,10
42,,Frederik Sørensen,34
43,,Camillo Ciano,19
44,,Gennaro Acampora,29
45,,Josep Martínez,30
46,,Michael Folorunsho,27
47,,Nicola Valente,32
48,,Francesco Vicari,33
49,,Alfred Gomis,17
50,,Radu Drăguşin,38
51,,Rubén Botta,25
52,,Gregorio Morachioli,9
53,,Nicolas Viola,16
54,,Luis Binks,33
55,,Filippo Palazzino,1
56,,Andrea Seculin,1
57,,Nicola Leali,25
58,,Raphael Odogwu,37
59,,Francesco Di Tacchio,35
60,,Valerio Mantovani,30
61,,Massimo Coda,31
62,,Riccardo Capellini,19
63,,Andrea Favilli,26
64,,Federico Barba,33
65,,Dimitri Bisoli,32
66,,Diego Farias,21
67,,Stefano Turati,37
68,,Gianluca Di Chiara,32
69,,Sergio Kalaj,9
70,,Leonardo Marson,9
71,,Elhan Kastrati,36
72,,Hernani Jr.,30
73,,Luca Vignali,33
74,,Matteo Brunori,36
75,,Andrea Meroni,23
76,,Przemysław Szymiński,15
77,,Radja Nainggolan,10
78,,Simone Branca,32
79,,Gabriele Moncini,32
80,,Enrico Del Prato,34
81,,Fabio Gerli,35
82,,Miloš Vulić,8
83,,Giovanni Crociata,21
84,,Gaetano Letizia,27
85,,Hans Nicolussi Caviglia,17
86,,Sebastiano Esposito,11
87,,Michael Svoboda,21
88,,Aljaž Tavčar,2
89,,Alessandro Vogliacco,25
90,,Antony Iannarilli,38
91,,Michele Collocolo,36
92,,Marco Varnier,15
93,,Enrico Alfonso,35
94,,Federico Ricci,11
95,,Cas Odenthal,30
96,,Mato Jajalo,7
97,,Cristian Dell'Orco,21
98,,Ettore Gliozzi,32
99,,Fabio Maistro,32
100,,Mattia Maita,32
101,,Manolo Portanova,12
102,,Leo Štulac,11
103,,Morten Frendrup,37
104,,Olimpiu Moruțan,35
105,,Antonio Pergreffi,31
106,,Giacomo Calò,24
107,,Gabriele Angella,17
108,,Paolo Bartolomei,32
109,,Pasquale Schiattarella,28
110,,Filippo Falco,14
111,,Luca Ceppitelli,22
112,,Raffaele Pucino,34
113,,Stefano Gori,32
114,,Riccardo Gagno,37
115,,Riccardo Gagliolo,30
116,,Žan Majer,31
117,,Leonardo Pavoletti,23
118,,Andrea Cistana,17
119,,Filippo Scaglia,26
120,,Sauli Väisänen,27
121,,Matteo Cotali,27
122,,Manuel Marras,15
123,,Elio Capradossi,16
124,,Fabian Tait,34
125,,Milan Badelj,26
126,,Alessandro Deiola,26
127,,Santiago Visentin,13
128,,Francesco Di Mariano,27
129,,Filip Jagiełło,34
130,,Pietro Ceccaroni,20
131,,Yordan Osorio,28
132,,Tommaso Arrigoni,30
133,,Valerio Di Cesare,34
134,,Valerio Verre,14
135,,Alessio Re,2
136,,Romano Perticone,23
137,,Mirko Pigliacelli,38
138,,Matteo Rover,36
139,,Nicola Pavan,35
140,,Luca Strizzolo,32
141,,Ivan Marconi,29
142,,Alessio Vita,35
143,,Luca Garritano,34
144,,Fabrizio Caligara,33
145,,Nahitan Nández,33
