#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Salvatore Esposito,0.12,0,61.54,1.29,0,0.35
2,,Nicolò Manfredini,0,0,0,0,0,0
3,,Luca Matarese,1,0,0,2,0,0
4,,Giovanni Zaro,0.14,0.06,80,0.61,0.06,0
5,,Joel Pohjanpalo,0.51,0.27,52,2.57,0.08,0
6,,Eric Botteghin,0.08,0.08,76.47,0.84,0.08,0
7,,Antonio Palumbo,0.11,0.03,47.92,1.2,0,0
8,,Marco Mancosu,0.21,0.08,58.06,1.71,0.04,0.6
9,,Anthony Oyono,0,0,65.63,0.62,0,0
10,,Alberto Dossena,0,0.04,0,0.7,0,0
11,,Biagio Meccariello,0.06,0,58.33,0.34,0.03,0
12,,Franco Vázquez,0.31,0.22,51.5,2.75,0.06,0
13,,Kevin Strootman,0.07,0.03,60,0.53,0,0
14,,Tiago Casasola,0.26,0.06,45.31,0.94,0.09,0
15,,Domenico Criscito,0.06,0,50,0.31,0,0
16,,Luca Ravanelli,0,0,0,0.38,0,0
17,,Adrián Bernabé,0.03,0,63.24,1.79,0,0
18,,Luca Mazzitelli,0.12,0.04,56,1.32,0,1.33
19,,Raffaele Maiello,0,0,57.89,0.29,0,0
20,,Walid Cheddira,0.55,0.45,48.53,2.65,0.13,0
21,,Giacomo Poluzzi,0,0,0,0,0,0
22,,Alessandro Micai,0,0,0,0,0,0
23,,Luca Tremolada,0.11,0.03,56,1.78,0,0.25
24,,Roberto Insigne,0.25,0.16,41.46,2.03,0,0
25,,Fabio Lucioni,0.13,0.06,75,0.71,0.13,0
26,,Elia Caprile,0,0,100,0,0,0
27,,Andrea Masiello,0,0,80,0.23,0,0
28,,Gianluca Lapadula,0.58,0.44,44,2.78,0.19,0
29,,Nicola Falasco,0,0,48.48,0.56,0,0
30,,Alessandro Livieri,0,0,100,0,0,0
31,,Alberto Cerri,0.26,0.29,60.34,2.79,0.09,0
32,,Daniel Boloca,0.06,0.03,76.32,1.13,0,0
33,,Albert Guðmundsson,0.31,0.11,58.82,1.78,0,0
34,,Giorgio Cittadini,0,0.06,72.73,0.39,0,0
35,,Federico Viviani,0,0,66.67,1.67,0,0
36,,Andrea Carboni,0.19,0.06,72.73,0.75,0.13,0
37,,Boris Radunović,0,0,0,0,0,0
38,,Enrico Baldini,0.33,0.17,28.57,2.83,0,0
39,,Giorgio Altare,0.04,0.04,0,0.81,0.04,0
40,,Mattia Bani,0.06,0.15,28.57,1,0.03,0
41,,Marko Pajač,0,0,50,0.6,0,0
42,,Frederik Sørensen,0.03,0.09,80,0.47,0.03,0
43,,Camillo Ciano,0.26,0,31.82,1.47,0.05,0
44,,Gennaro Acampora,0.14,0.03,79.66,1.41,0,0
45,,Josep Martínez,0,0,100,0,0,0
46,,Michael Folorunsho,0.3,0,42.11,2.33,0.04,1.23
47,,Nicola Valente,0.09,0.06,47.62,1,0,0
48,,Francesco Vicari,0,0,0,0.15,0,0
49,,Alfred Gomis,0,0,0,0,0,0
50,,Radu Drăguşin,0.11,0.05,0,0.5,0.11,0
51,,Rubén Botta,0.08,0.04,46.38,1.04,0,0
52,,Gregorio Morachioli,0.11,0,61.11,0.67,0,0
53,,Nicolas Viola,0.06,0,55.56,1.06,0,0
54,,Luis Binks,0,0.09,100,0.58,0,0
55,,Filippo Palazzino,0,0,66.67,2,0,0
56,,Andrea Seculin,0,0,0,0,0,0
57,,Nicola Leali,0,0,0,0,0,0
58,,Raphael Odogwu,0.24,0.19,54,1.89,0.11,0
59,,Francesco Di Tacchio,0.03,0,81.25,0.8,0,0
60,,Valerio Mantovani,0.03,0.03,42.86,0.47,0.03,0
61,,Massimo Coda,0.32,0.29,36.17,2.94,0,0
62,,Riccardo Capellini,0.05,0,33.33,0.16,0,0
63,,Andrea Favilli,0.35,0.23,48.28,2.15,0.12,0
64,,Federico Barba,0.03,0,66.67,0.27,0,0
65,,Dimitri Bisoli,0.09,0.09,61.29,1.41,0,0
66,,Diego Farias,0.14,0.05,51.85,1.43,0.05,0
67,,Stefano Turati,0,0,0,0,0,0
68,,Gianluca Di Chiara,0,0,59.09,0.84,0,0
69,,Sergio Kalaj,0,0,100,0.56,0,0
70,,Leonardo Marson,0,0,0,0,0,0
71,,Elhan Kastrati,0,0,0,0.03,0,0
72,,Hernani Jr.,0.23,0.07,57.97,1.6,0,0.3
73,,Luca Vignali,0.06,0,46.88,0.82,0,0
74,,Matteo Brunori,0.47,0.36,40.26,2.75,0.08,0
75,,Andrea Meroni,0.04,0,50,0.7,0.04,0
76,,Przemysław Szymiński,0.07,0,0,0.2,0.07,0
77,,Radja Nainggolan,0.1,0,38.89,1.5,0,0
78,,Simone Branca,0,0,80.77,0.91,0,0
79,,Gabriele Moncini,0.28,0.22,54.17,1.97,0.16,0
80,,Enrico Del Prato,0.09,0,37.5,0.26,0.03,0
81,,Fabio Gerli,0.06,0.03,67.74,0.49,0,0
82,,Miloš Vulić,0,0,0,0.63,0,0
83,,Giovanni Crociata,0.29,0,44.74,1.71,0,1.59
84,,Gaetano Letizia,0,0,51.28,0.52,0,0
85,,Hans Nicolussi Caviglia,0.12,0,50,0.82,0,0
86,,Sebastiano Esposito,0.36,0.09,50,1.91,0,3.03
87,,Michael Svoboda,0,0,61.54,0.19,0,0
88,,Aljaž Tavčar,0,0,100,1.5,0,0
89,,Alessandro Vogliacco,0,0.12,50,0.4,0,0
90,,Antony Iannarilli,0,0,0,0,0,0
91,,Michele Collocolo,0.11,0.08,60.71,1,0.03,0
92,,Marco Varnier,0.07,0.2,66.67,0.47,0.07,0
93,,Enrico Alfonso,0,0,100,0,0,0
94,,Federico Ricci,0,0.18,25,1.55,0,0
95,,Cas Odenthal,0,0.03,100,0.53,0,0
96,,Mato Jajalo,0,0,90,0.57,0,0
97,,Cristian Dell'Orco,0,0,62.5,0.24,0,0
98,,Ettore Gliozzi,0.31,0.25,33.33,1.94,0.06,0
99,,Fabio Maistro,0.16,0,68.42,1.81,0.03,0
100,,Mattia Maita,0.03,0.03,69.23,0.47,0,0
101,,Manolo Portanova,0.08,0.17,62.07,1.42,0,0
102,,Leo Štulac,0,0,50,1,0,0
103,,Morten Frendrup,0.05,0.03,66.67,0.76,0.03,0
104,,Olimpiu Moruțan,0.17,0.09,63,1.8,0,0
105,,Antonio Pergreffi,0.06,0.1,50,0.61,0.06,0
106,,Giacomo Calò,0,0,50,0.83,0,0
107,,Gabriele Angella,0.06,0,60,0.94,0.06,0
108,,Paolo Bartolomei,0,0,70.83,1.06,0,0
109,,Pasquale Schiattarella,0,0,64.71,0.36,0,0
110,,Filippo Falco,0,0.07,61.54,1.5,0,0
111,,Luca Ceppitelli,0,0.09,100,0.36,0,0
112,,Raffaele Pucino,0,0.03,25,0.65,0,0
113,,Stefano Gori,0,0,0,0,0,0
114,,Riccardo Gagno,0,0,100,0,0,0
115,,Riccardo Gagliolo,0.07,0,0,0.57,0.07,0
116,,Žan Majer,0.03,0,66.67,0.81,0,0
117,,Leonardo Pavoletti,0.26,0.26,50,1.65,0.09,0
118,,Andrea Cistana,0.12,0.06,83.33,0.47,0.06,0
119,,Filippo Scaglia,0,0,50,0.08,0,0
120,,Sauli Väisänen,0.04,0.04,0,0.7,0,0
121,,Matteo Cotali,0,0,45.45,0.26,0,0
122,,Manuel Marras,0.07,0.2,55.77,1.27,0,0
123,,Elio Capradossi,0,0.06,0,0.63,0,0
124,,Fabian Tait,0.09,0,62.5,0.94,0.03,0
125,,Milan Badelj,0.12,0.04,48.15,0.77,0,0
126,,Alessandro Deiola,0.12,0.04,50,1.5,0,0
127,,Santiago Visentin,0,0.08,100,0.92,0,0
128,,Francesco Di Mariano,0.15,0.3,25.93,1.67,0,0
129,,Filip Jagiełło,0.12,0,67.65,0.82,0,0
130,,Pietro Ceccaroni,0.05,0.05,50,0.85,0.05,0
131,,Yordan Osorio,0,0,84.62,0.14,0,0
132,,Tommaso Arrigoni,0.1,0,80,0.63,0,0.48
133,,Valerio Di Cesare,0.09,0,66.67,0.5,0.03,0
134,,Valerio Verre,0.14,0,42.11,1.79,0,0
135,,Alessio Re,0,0,100,0.5,0,0
136,,Romano Perticone,0,0,80,0.17,0,0
137,,Mirko Pigliacelli,0,0,0,0,0,0
138,,Matteo Rover,0.14,0.08,47.37,1.5,0,0
139,,Nicola Pavan,0,0.03,42.86,0.54,0,0
140,,Luca Strizzolo,0.25,0.03,50,1.25,0.09,0
141,,Ivan Marconi,0.1,0.1,83.33,0.55,0.07,0
142,,Alessio Vita,0.03,0.03,36,1.03,0,0
143,,Luca Garritano,0.09,0.15,44.83,1.12,0,0
144,,Fabrizio Caligara,0.06,0,46.43,1.76,0,0
145,,Nahitan Nández,0,0.06,45.45,0.94,0,0
146,,Nícolas,0,0,0,0,0,0
147,,Lautaro Valenti,0.04,0.04,50,0.75,0,0
148,,Edoardo Goldaniga,0,0,50,0.44,0,0
149,,Gastón Pereiro,0.11,0,71.43,0.89,0,0
150,,Adrian Šemper,0,0,0,0,0,0
151,,Matteo Solini,0,0,0,0.63,0,0
152,,Dennis Man,0.21,0.21,52.94,1.46,0,0
153,,Christian Dalle Mura,0,0,66.67,0.22,0,0
154,,Amato Ciciretti,0.15,0,66.67,1.69,0,0
155,,Lorenco Šimić,0.08,0.08,55.56,0.58,0.04,0
156,,Tanner Tessmann,0.09,0,46.81,1.31,0,0.63
157,,Jayden Oosterwolde,0.06,0.06,51.61,0.44,0,0
158,,Patrick Cutrone,0.26,0.09,48.48,1.91,0,0
