#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Salvatore Esposito,0.29,0,52.94,69.47,3.71,1.18
2,,Nicolò Manfredini,0,0,80,71.43,0.13,0
3,,Luca Matarese,0,0,66.67,42.86,1,2
4,,Giovanni Zaro,0.17,0,69.3,62.93,0.67,1.06
5,,Joel Pohjanpalo,0.05,0,50.94,49.51,0.57,0.73
6,,Eric Botteghin,0.16,0,72.15,65.16,0.22,1.16
7,,Antonio Palumbo,0.2,0,15.79,42.12,1.31,0.97
8,,Marco Mancosu,0.04,0,40.43,43.79,0.71,0.63
9,,Anthony Oyono,0.08,0,62.96,69.84,1.31,0.46
10,,Alberto Dossena,0.26,0,68.5,64.76,1.22,1.13
11,,Biagio Meccariello,0.29,0.03,75.84,63.68,1.2,1.86
12,,Franco Vázquez,0.19,0,52.21,50,4.03,1.86
13,,Kevin Strootman,0.17,0,54.69,53.25,0.73,1.17
14,,Tiago Casasola,0.23,0.03,45.87,53.08,0.63,0.89
15,,Domenico Criscito,0.06,0,59.26,74.03,0.88,0.19
16,,Luca Ravanelli,0.17,0,59.76,62.5,0.71,0.67
17,,Adrián Bernabé,0.21,0,45.16,58.25,1.76,0.93
18,,Luca Mazzitelli,0.32,0,57.73,53.79,1.32,1.52
19,,Raffaele Maiello,0.21,0.04,50,69.2,1.82,0.86
20,,Walid Cheddira,0.06,0.03,41.03,44.82,1.77,1.32
21,,Giacomo Poluzzi,0.08,0,90.91,93.55,0.37,0
22,,Alessandro Micai,0.11,0,100,100,0.16,0
23,,Luca Tremolada,0.08,0,36.36,32.54,0.22,0.53
24,,Roberto Insigne,0.13,0,36.84,43.42,0.63,0.5
25,,Fabio Lucioni,0.23,0,65.83,63.35,0.87,0.94
26,,Elia Caprile,0.05,0,88.24,90.48,0.19,0
27,,Andrea Masiello,0.26,0,53.85,59.12,0.48,0.74
28,,Gianluca Lapadula,0.11,0.03,44.3,42.32,1.44,1.97
29,,Nicola Falasco,0.3,0.07,50,53.37,1.59,1.11
30,,Alessandro Livieri,0.09,0,100,100,0.18,0
31,,Alberto Cerri,0.24,0,55.25,49.72,2.24,2.74
32,,Daniel Boloca,0.39,0,38.3,51.84,0.23,1.39
33,,Albert Guðmundsson,0.11,0.03,23.53,43.8,1.72,1.17
34,,Giorgio Cittadini,0.56,0,69.41,63.98,0.89,1.44
35,,Federico Viviani,0.2,0,54.55,62.64,1.27,0.93
36,,Andrea Carboni,0.25,0,54.35,60,0.63,1
37,,Boris Radunović,0.03,0,90,87.5,0.13,0.03
