#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Salvatore Esposito,0,0.41,0,0,1,0.12
2,,Nicolò Manfredini,5,0.13,0.13,0,0.88,0.25
3,,Luca Matarese,0,1,0,0,0,0
4,,Giovanni Zaro,0,0.42,0,0,0.67,0.17
5,,Joel Pohjanpalo,0,0,0,0,0.86,0.16
6,,Eric Botteghin,0,0.24,0,0,1.19,0.03
7,,Antonio Palumbo,0,0.06,0,0,0.86,0.2
8,,Marco Mancosu,0,0.13,0,0,0.5,0.04
9,,Anthony Oyono,0,0.54,0,0,0.23,0.08
10,,Alberto Dossena,0,0.35,0,0,0.52,0
11,,Biagio Meccariello,0,0.2,0,0,1.11,0.17
12,,Franco Vázquez,0,0.22,0,0,0.83,0.08
13,,Kevin Strootman,0,0.3,0,0,0.4,0.1
14,,Tiago Casasola,0,0.31,0,0,1,0.26
15,,Domenico Criscito,0,0.31,0,0,0.38,0
16,,Luca Ravanelli,0,0.63,0,0,0.42,0.04
17,,Adrián Bernabé,0,0.1,0,0,0.83,0.1
18,,Luca Mazzitelli,0,0.32,0,0,0.44,0.16
19,,Raffaele Maiello,0,0.14,0,0,0.61,0.14
20,,Walid Cheddira,0,0.23,0,0,0.52,0.19
21,,Giacomo Poluzzi,2.87,0.39,0.13,0.03,0.71,0.18
22,,Alessandro Micai,3.21,0.42,0.16,0.05,0.95,0.16
23,,Luca Tremolada,0,0,0,0,0.94,0.14
24,,Roberto Insigne,0,0,0,0,0.38,0.13
25,,Fabio Lucioni,0,0.55,0,0,0.55,0.13
26,,Elia Caprile,2.97,0.38,0.14,0.05,0.7,0.19
27,,Andrea Masiello,0,0.42,0,0,0.55,0.16
28,,Gianluca Lapadula,0,0.25,0,0,0.69,0.06
29,,Nicola Falasco,0,0.22,0,0,0.7,0.04
30,,Alessandro Livieri,2.64,0.55,0,0,0.45,0.18
31,,Alberto Cerri,0,0.06,0,0,0.71,0.15
32,,Daniel Boloca,0,0.42,0,0,0.58,0.16
33,,Albert Guðmundsson,0,0.19,0,0,0.53,0.11
34,,Giorgio Cittadini,0,0.17,0,0,1,0.22
35,,Federico Viviani,0,0,0,0,0.87,0.2
36,,Andrea Carboni,0,0.19,0,0,0.94,0.13
37,,Boris Radunović,2.71,0.37,0.24,0.03,0.84,0.05
38,,Enrico Baldini,0,0.17,0,0,0.67,0
39,,Giorgio Altare,0,0.31,0,0,0.77,0
40,,Mattia Bani,0,0.39,0,0,0.42,0.03
41,,Marko Pajač,0,0.4,0,0,0.4,0.1
42,,Frederik Sørensen,0,0.35,0,0,0.94,0.18
43,,Camillo Ciano,0,0,0,0,0.89,0.11
44,,Gennaro Acampora,0,0.03,0,0,0.69,0.1
45,,Josep Martínez,2.07,0.57,0.07,0,0.57,0.17
46,,Michael Folorunsho,0,0.15,0,0,0.59,0.19
47,,Nicola Valente,0,0,0,0,0.72,0.16
48,,Francesco Vicari,0,0.36,0,0,0.61,0.21
49,,Alfred Gomis,2.71,0.35,0.12,0.06,0.82,0.18
50,,Radu Drăguşin,0,0.5,0,0,0.61,0.13
51,,Rubén Botta,0,0.04,0,0,0.4,0.16
52,,Gregorio Morachioli,0,0,0,0,0.11,0
53,,Nicolas Viola,0,0,0,0,0.56,0
54,,Luis Binks,0,0.24,0,0,0.88,0.27
55,,Filippo Palazzino,0,0,0,0,1,0
56,,Andrea Seculin,4,0,0,0,0,1
57,,Nicola Leali,2.76,0.24,0.32,0.16,1.16,0.04
58,,Raphael Odogwu,0,0.19,0,0,0.54,0.14
59,,Francesco Di Tacchio,0,0.34,0,0,0.86,0.23
60,,Valerio Mantovani,0,0.37,0,0,0.9,0.13
61,,Massimo Coda,0,0.13,0,0,0.48,0.06
62,,Riccardo Capellini,0,0.26,0,0,0.89,0.16
63,,Andrea Favilli,0,0.08,0,0,0.92,0.23
64,,Federico Barba,0,0.36,0,0,0.79,0.09
65,,Dimitri Bisoli,0.03,0.13,0,0,1.22,0.09
66,,Diego Farias,0,0.05,0,0,0.81,0.14
67,,Stefano Turati,2.03,0.54,0.11,0.03,0.51,0.14
68,,Gianluca Di Chiara,0,0.16,0,0,0.81,0.13
69,,Sergio Kalaj,0,0,0,0,0.89,0.44
70,,Leonardo Marson,3.89,0.11,0.11,0.11,1.56,0.22
71,,Elhan Kastrati,2.78,0.31,0.06,0.03,1.08,0.08
72,,Hernani Jr.,0,0.17,0,0,0.7,0.2
73,,Luca Vignali,0,0.15,0,0,0.97,0.18
74,,Matteo Brunori,0,0.11,0,0,0.97,0.17
75,,Andrea Meroni,0,0.26,0,0,0.91,0.09
76,,Przemysław Szymiński,0,0.47,0,0,0.4,0.07
77,,Radja Nainggolan,0,0,0,0,1,0.2
78,,Simone Branca,0,0.16,0,0,0.97,0.09
79,,Gabriele Moncini,0,0.09,0,0,0.91,0.13
80,,Enrico Del Prato,0,0.29,0,0,0.85,0.12
81,,Fabio Gerli,0,0.23,0,0,1.11,0.17
82,,Miloš Vulić,0,0.13,0,0,1.25,0
83,,Giovanni Crociata,0,0.05,0,0,0.71,0.05
84,,Gaetano Letizia,0,0.11,0,0,0.85,0.15
85,,Hans Nicolussi Caviglia,0,0.12,0,0,0.94,0.29
86,,Sebastiano Esposito,0,0,0,0,0.45,0.18
87,,Michael Svoboda,0,0.1,0,0,1,0.1
88,,Aljaž Tavčar,0,0.5,0,0,1,0
89,,Alessandro Vogliacco,0,0.28,0,0,0.44,0.16
90,,Antony Iannarilli,3.11,0.34,0.21,0.08,1.13,0.24
91,,Michele Collocolo,0,0.22,0,0,1.14,0.03
92,,Marco Varnier,0,0.13,0,0,0.6,0
93,,Enrico Alfonso,2.94,0.26,0.14,0.03,1.09,0.14
94,,Federico Ricci,0,0,0,0,0.36,0
95,,Cas Odenthal,0,0.37,0,0,0.93,0.23
96,,Mato Jajalo,0,0,0,0,0.71,0
97,,Cristian Dell'Orco,0,0.29,0,0,1.05,0.14
98,,Ettore Gliozzi,0,0.03,0,0,0.69,0.06
99,,Fabio Maistro,0,0,0,0,0.66,0.09
100,,Mattia Maita,0,0.25,0,0,0.53,0.16
101,,Manolo Portanova,0,0,0,0,0.42,0
102,,Leo Štulac,0,0,0,0,0.73,0.09
103,,Morten Frendrup,0,0.35,0,0,0.59,0.08
104,,Olimpiu Moruțan,0,0.06,0,0,0.57,0.06
105,,Antonio Pergreffi,0,0.26,0,0,1.23,0.16
106,,Giacomo Calò,0,0.08,0,0,0.71,0.04
107,,Gabriele Angella,0,0.18,0,0,0.88,0.18
108,,Paolo Bartolomei,0,0.09,0,0,0.69,0.09
109,,Pasquale Schiattarella,0,0.07,0,0,0.79,0.18
110,,Filippo Falco,0,0,0,0,0.71,0.07
111,,Luca Ceppitelli,0,0.05,0,0,0.95,0.23
112,,Raffaele Pucino,0,0.26,0,0,0.59,0.21
113,,Stefano Gori,3.06,0.34,0.09,0.03,1.03,0.22
114,,Riccardo Gagno,3.27,0.24,0.22,0.03,1.27,0.14
115,,Riccardo Gagliolo,0,0.3,0,0,0.87,0.13
116,,Žan Majer,0,0.19,0,0,0.81,0.16
117,,Leonardo Pavoletti,0,0,0,0,0.52,0.04
118,,Andrea Cistana,0,0.18,0,0,0.88,0.12
119,,Filippo Scaglia,0,0.27,0,0,0.85,0.27
120,,Sauli Väisänen,0,0.22,0,0,1.26,0.15
121,,Matteo Cotali,0,0.3,0,0,0.52,0.11
122,,Manuel Marras,0,0.27,0,0,0.8,0.2
123,,Elio Capradossi,0,0.06,0,0,1,0.13
124,,Fabian Tait,0,0.38,0,0,0.56,0.15
125,,Milan Badelj,0,0.35,0,0,0.5,0.19
126,,Alessandro Deiola,0,0.12,0,0,0.73,0.04
127,,Santiago Visentin,0,0.46,0,0,0.69,0.23
128,,Francesco Di Mariano,0,0,0,0,0.85,0.11
129,,Filip Jagiełło,0,0,0,0,0.24,0.12
130,,Pietro Ceccaroni,0,0.1,0,0,1.15,0.15
131,,Yordan Osorio,0,0.36,0,0,0.75,0.07
132,,Tommaso Arrigoni,0,0.1,0,0,0.6,0.1
133,,Valerio Di Cesare,0,0.32,0,0,0.59,0.18
134,,Valerio Verre,0,0,0,0,1.21,0.14
135,,Alessio Re,0,0,0,0,0,0
136,,Romano Perticone,0,0.35,0,0,0.87,0.04
137,,Mirko Pigliacelli,2.97,0.26,0.11,0,1.11,0.18
138,,Matteo Rover,0,0,0,0,0.5,0.17
139,,Nicola Pavan,0,0.2,0,0,0.74,0.06
140,,Luca Strizzolo,0,0,0,0,0.75,0.03
141,,Ivan Marconi,0,0.21,0,0,0.79,0.14
142,,Alessio Vita,0,0.17,0,0,0.83,0.06
143,,Luca Garritano,0,0,0,0,0.38,0
144,,Fabrizio Caligara,0,0.09,0,0,0.97,0
145,,Nahitan Nández,0,0.18,0,0,0.7,0.06
146,,Nícolas,2.61,0.21,0.39,0.11,1.14,0.11
147,,Lautaro Valenti,0,0.29,0,0,0.96,0.08
148,,Edoardo Goldaniga,0,0.28,0,0,0.67,0
149,,Gastón Pereiro,0,0,0,0,0.33,0
150,,Adrian Šemper,1.88,0.38,0.25,0.13,0.75,0
151,,Matteo Solini,0,0.25,0,0,1.25,0
152,,Dennis Man,0,0,0,0,0.68,0.07
153,,Christian Dalle Mura,0,0.15,0,0,0.81,0.19
154,,Amato Ciciretti,0,0,0,0,0.54,0
155,,Lorenco Šimić,0,0.15,0,0,1.08,0.04
156,,Tanner Tessmann,0,0.13,0,0,0.84,0.13
157,,Jayden Oosterwolde,0,0.22,0,0,1.11,0.11
158,,Patrick Cutrone,0,0.03,0,0,0.86,0.14
159,,Niccolò Pierozzi,0,0.24,0,0,0.91,0.18
160,,Simone Santoro,0,0.18,0,0,0.76,0.26
161,,Mario Sampirisi,0,0.46,0,0,0.43,0.14
162,,Adam Obert,0,0.17,0,0,0.72,0.07
163,,Kamil Glik,0,0.22,0,0,0.83,0.17
164,,Przemysław Wiśniewski,0,0.11,0,0,1.11,0.26
165,,Lucas Da Cunha,0,0,0,0,0.5,0.07
166,,Arturo Calabresi,0,0.23,0,0,0.69,0.12
167,,Samuele Mulattieri,0,0.03,0,0,0.28,0.1
168,,Gabriele Zappa,0,0.34,0,0,0.66,0.03
169,,Leonardo Benedetti,0,0.06,0,0,0.48,0.16
170,,Pietro Beruatto,0,0.24,0,0,0.88,0.12
171,,Federico Melchiorri,0,0,0,0,0.33,0
172,,Gianluca Frabotta,0,0.18,0,0,0.32,0.05
173,,Jacopo Furlan,3,0.17,0.17,0,1,0.17
174,,Jaime Báez,0,0.06,0,0,0.06,0.12
175,,Jérémy Ménez,0,0,0,0,0.79,0.09
176,,Salvatore Elia,0,0.1,0,0,1,0.3
177,,Michele Rigione,0,0.26,0,0,1.3,0.19
178,,Salim Diakite,0,0.22,0,0,0.94,0.09
179,,Francesco Renzetti,0,0,0,0,0.5,0.06
180,,Cesc Fàbregas,0,0,0,0,0.76,0.12
181,,Alessio Iovine,0,0,0,0,0.61,0.17
182,,Nicholas Ioannou,0,0.16,0,0,0.84,0.22
183,,Stefano Sabelli,0,0.33,0,0,0.63,0.1
184,,Marcel Büchel,0,0.04,0,0,0.89,0
185,,Magnus Kofod Andersen,0,0.04,0,0,0.5,0.08
186,,Giuseppe Caso,0,0.03,0,0,0.34,0.09
187,,Aleš Matějů,0,0.24,0,0,1.09,0.18
188,,Thiago Cionek,0,0.23,0,0,0.74,0.13
189,,Denis Cheryshev,0,0,0,0,0.7,0.09
