#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Salvatore Esposito,2.59,0.35,0,1.18,0,0.71
2,,Nicolò Manfredini,0,0,0,0.63,0,0.13
3,,Luca Matarese,3,3,0,4,0,3
4,,Giovanni Zaro,2.17,1.53,0.03,5.44,0,0.86
5,,Joel Pohjanpalo,0.24,0.08,0,0.84,0,0.11
6,,Eric Botteghin,1.78,2.38,0.08,4.03,0.03,0.43
7,,Antonio Palumbo,1.26,0.49,0,0.37,0,1.06
8,,Marco Mancosu,0.83,0.29,0,0.29,0,0.58
9,,Anthony Oyono,2.54,0.54,0,1.31,0,0.54
10,,Alberto Dossena,1.43,1.3,0,4.39,0,0.48
11,,Biagio Meccariello,2.29,2.37,0.03,4.46,0,0.69
12,,Franco Vázquez,1.44,0.83,0,0.75,0,0.64
13,,Kevin Strootman,2.2,1.03,0,1,0,0.77
14,,Tiago Casasola,2.77,1.03,0.03,1.91,0,1.06
15,,Domenico Criscito,1.69,1.69,0,1.25,0,0.19
16,,Luca Ravanelli,1.88,1.13,0,3.79,0,0.33
17,,Adrián Bernabé,2,0.38,0.03,0.45,0,0.79
18,,Luca Mazzitelli,1.6,1.16,0.04,1.56,0,0.8
19,,Raffaele Maiello,2.68,1.71,0.07,1.79,0,0.54
20,,Walid Cheddira,0.77,0,0,0.68,0,0.52
21,,Giacomo Poluzzi,0.03,0,0,0.97,0,0
22,,Alessandro Micai,0,0,0,0.95,0,0
23,,Luca Tremolada,0.42,0.08,0,0.08,0,0.36
24,,Roberto Insigne,0.69,0.44,0,0.06,0,0.56
25,,Fabio Lucioni,1.03,0.97,0.03,4.23,0,0.23
26,,Elia Caprile,0,0.03,0,0.78,0,0
27,,Andrea Masiello,1.16,1.42,0.06,4.48,0,0.19
28,,Gianluca Lapadula,0.47,0.06,0,0.5,0,0.25
29,,Nicola Falasco,0.85,0.7,0,1.26,0,0.48
30,,Alessandro Livieri,0,0,0,1,0.09,0
31,,Alberto Cerri,0.32,0.21,0,1.18,0,0.21
32,,Daniel Boloca,1.87,1.06,0,0.81,0,0.77
33,,Albert Guðmundsson,0.53,0.39,0,0.08,0,0.94
34,,Giorgio Cittadini,2.44,2.61,0,4.56,0,0.83
35,,Federico Viviani,1.4,1.33,0,0.73,0,0.33
36,,Andrea Carboni,2.56,1.31,0,3.31,0,0.69
37,,Boris Radunović,0,0.05,0.03,0.71,0,0
38,,Enrico Baldini,0.33,0.33,0,0.17,0,0.17
39,,Giorgio Altare,1.38,1.31,0,3.46,0.04,0.15
40,,Mattia Bani,1.03,1.36,0,2.97,0,0.24
41,,Marko Pajač,1.6,0.8,0,1.4,0,0.5
42,,Frederik Sørensen,1.5,1.85,0,5.65,0,0.41
43,,Camillo Ciano,1.21,0.21,0,0.26,0,0.58
44,,Gennaro Acampora,1.9,0.66,0,0.55,0,0.93
45,,Josep Martínez,0,0,0,0.87,0,0.03
46,,Michael Folorunsho,1.52,0.63,0.04,1.11,0.04,0.59
47,,Nicola Valente,0.66,0.34,0,0.41,0,0.38
48,,Francesco Vicari,0.7,0.7,0,4.15,0,0.3
49,,Alfred Gomis,0,0,0.06,0.76,0.06,0.06
50,,Radu Drăguşin,0.92,1.26,0.03,3.03,0,0.26
51,,Rubén Botta,1.28,0.12,0,0.08,0,0.64
52,,Gregorio Morachioli,1,0.22,0,0,0,0.44
53,,Nicolas Viola,0.63,0.69,0,0.56,0,0.31
54,,Luis Binks,1.27,1.24,0.03,4.36,0,0.15
55,,Filippo Palazzino,0,0,0,0,0,0
56,,Andrea Seculin,0,0,0,0,0,0
57,,Nicola Leali,0.08,0.04,0.04,0.68,0.12,0.04
58,,Raphael Odogwu,0.22,0.14,0,0.59,0,0.11
59,,Francesco Di Tacchio,2.11,1.71,0.06,1.71,0,0.69
