#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Salvatore Esposito,0.18,0.12,68.12,87.13,13.18,66.44
2,,Nicolò Manfredini,0,0,21.75,55.17,1,35.34
3,,Luca Matarese,1,0,51,56.86,10,14.29
4,,Giovanni Zaro,0.03,0,34.25,74.29,2.58,43.49
5,,Joel Pohjanpalo,0.16,0.19,17.16,69.45,4.32,51.61
6,,Eric Botteghin,0.03,0.03,49.11,79.91,4.03,55.08
7,,Antonio Palumbo,0.46,0.23,37.51,76.92,12.11,59.69
8,,Marco Mancosu,0.38,0.13,28.71,77.07,10.04,58.14
9,,Anthony Oyono,0.08,0.15,36.54,81.89,7.92,39.22
10,,Alberto Dossena,0,0,38.91,83.91,1.96,60.42
11,,Biagio Meccariello,0,0,60.31,87.97,4.29,61.75
12,,Franco Vázquez,0.22,0.19,41.83,78.55,14.94,68.18
13,,Kevin Strootman,0.1,0,61.47,84.87,15.07,51.02
14,,Tiago Casasola,0.2,0.11,29.97,56.34,7.57,36.4
15,,Domenico Criscito,0.13,0,29.5,81.57,5.38,54.39
16,,Luca Ravanelli,0,0,52.63,84.96,3.25,39.23
17,,Adrián Bernabé,0.03,0.1,43.41,86.34,12.55,68.18
18,,Luca Mazzitelli,0.28,0.2,52.2,75.71,11.8,48.74
19,,Raffaele Maiello,0,0.04,53.18,86.84,6.71,60.94
20,,Walid Cheddira,0.13,0.16,16.52,71.48,5.1,77.78
21,,Giacomo Poluzzi,0,0,29.34,57.85,2.16,47.61
22,,Alessandro Micai,0,0,26.42,53.78,1.16,33.14
23,,Luca Tremolada,0.42,0.33,26.86,71.15,9.36,38.71
24,,Roberto Insigne,0.28,0.06,27.28,84.77,9.03,69.88
25,,Fabio Lucioni,0.03,0.03,50.71,77.74,4,44.33
26,,Elia Caprile,0,0,23.3,60.21,0.92,38.03
27,,Andrea Masiello,0,0.03,33.71,83.64,2.42,55.41
28,,Gianluca Lapadula,0.06,0.11,11.03,68.26,3.39,50
29,,Nicola Falasco,0.26,0.07,34,68.19,6.7,42.61
30,,Alessandro Livieri,0,0,26.55,72.6,0.91,53.05
31,,Alberto Cerri,0.18,0.09,19.15,56.53,3.94,50.88
32,,Daniel Boloca,0,0,51.94,89.5,12,77.4
33,,Albert Guðmundsson,0.14,0.11,27.44,82.69,11.28,55.56
34,,Giorgio Cittadini,0,0,34.72,81.28,2.06,45.88
35,,Federico Viviani,0,0,35.73,83.77,6.67,70.65
36,,Andrea Carboni,0.06,0.06,48.69,77.02,6.94,36.59
37,,Boris Radunović,0,0,23.74,69.96,1.34,47.52
38,,Enrico Baldini,0.17,0,18.17,72.48,6.17,80
39,,Giorgio Altare,0.04,0,48.12,79.7,4.23,53.36
40,,Mattia Bani,0.03,0.06,53.64,83.39,4.91,48.52
41,,Marko Pajač,0.1,0,38.4,76.56,9,45.31
42,,Frederik Sørensen,0.06,0,36.82,76.44,2.59,47.69
43,,Camillo Ciano,0.21,0.16,17.16,66.87,7.16,33.33
44,,Gennaro Acampora,0.03,0.03,30.52,79.32,8.03,58.39
45,,Josep Martínez,0.03,0,31.8,77.04,0.8,44.18
46,,Michael Folorunsho,0.15,0.04,25.41,71.43,6.15,55.07
47,,Nicola Valente,0.22,0.19,14.25,76.97,4.34,31.58
48,,Francesco Vicari,0,0,49.18,88.29,1.36,67.46
49,,Alfred Gomis,0,0,25.18,68.93,0.88,48.05
50,,Radu Drăguşin,0,0,51.32,84.15,2.79,40.1
51,,Rubén Botta,0.2,0.12,30.08,81.65,10.84,61.43
52,,Gregorio Morachioli,0.33,0.33,20.11,80.66,7,25
53,,Nicolas Viola,0.19,0,32.88,80.8,7.56,60.42
54,,Luis Binks,0.03,0.03,43.12,76.67,4.73,48.85
55,,Filippo Palazzino,0,0,15,80,6,0
56,,Andrea Seculin,0,0,38,52.63,0,28
57,,Nicola Leali,0,0,28.2,62.7,1.36,41.89
58,,Raphael Odogwu,0.05,0.08,15.7,63.34,4.86,71.43
59,,Francesco Di Tacchio,0,0,40.51,79.27,6.74,48.19
60,,Valerio Mantovani,0.07,0.03,40.43,77.82,3.53,42.44
61,,Massimo Coda,0.32,0.19,18.16,66.25,7.45,47.73
62,,Riccardo Capellini,0,0,43.68,84.1,2.47,57.48
63,,Andrea Favilli,0.12,0.12,14.69,62.3,3.58,61.11
64,,Federico Barba,0,0,47.39,81.27,3.73,48.38
65,,Dimitri Bisoli,0.22,0.13,44.69,73.22,11.31,29.13
66,,Diego Farias,0.19,0.19,19.14,80.85,6.43,76.19
67,,Stefano Turati,0.03,0,26.11,60.25,1.08,32.98
68,,Gianluca Di Chiara,0.19,0.09,40.25,74.15,10.16,37.92
69,,Sergio Kalaj,0,0.11,51.44,79.91,3.44,40.28
70,,Leonardo Marson,0,0,23,69.08,0.22,47.5
71,,Elhan Kastrati,0,0,25.86,61.22,1.64,41.57
72,,Hernani Jr.,0.13,0.13,32.73,73.52,9.1,65.35
73,,Luca Vignali,0.18,0.03,32.67,70.69,6.42,40.8
74,,Matteo Brunori,0.14,0.11,12.39,61.88,3.97,34.38
75,,Andrea Meroni,0.04,0,38.61,78.6,1.78,39.67
76,,Przemysław Szymiński,0,0,36.73,82.03,3.2,48.15
77,,Radja Nainggolan,0.3,0.2,31.9,78.06,10.4,70.18
78,,Simone Branca,0.09,0.09,43.88,79.27,11.59,43.68
79,,Gabriele Moncini,0.16,0.19,13.03,67.63,3.53,54.17
80,,Enrico Del Prato,0.15,0,44.29,83.93,9.91,45.39
