#,Team,Name
1,,Jun Ichimori
2,,Yuki Saneto
3,,Ken Iwao
4,,Akihiro Ienaga
5,,Sho Sasaki
6,,Masaaki Higashiguchi
7,,Alexander Scholz
8,,Kyung-won Kwon
9,,Kota Mizunuma
10,,Naoto Kamifukumoto
11,,Hiroaki Okuno
12,,Yuya Osako
13,,Élber
14,,Yuki Kobayashi
15,,Shogo Taniguchi
16,,Andrés Iniesta
17,,Douglas
18,,Sho Inagaki
19,,Masato Morishige
20,,Adailton
21,,Shintaro Kurumaya
22,,Kengo Kitazume
23,,Gotoku Sakai
24,,Diego Pituca
25,,Daiki Tomii
26,,Shuichi Gonda
27,,Valdo
28,,Gen Shoji
29,,Yoshifumi Kashiwa
30,,Seung-gyu Kim
31,,Hiroshi Kiyotake
32,,Takanori Sugeno
33,,Teruhito Nakagawa
34,,Park Il-Kyu
35,,Ryuki Miura
36,,Hotaru Yamaguchi
37,,Takashi Usami
38,,Arthur Caíke
39,,Akito Fukuta
40,,Juanma Delgado
41,,Yuichi Maruyama
42,,Yoshinori Suzuki
43,,Makito Ito
44,,Ataru Esaka
45,,Tomoaki Makino
46,,Yasuhito Endo
47,,Riku Matsuda
48,,Yusuke Maruhashi
49,,Tiago Pagnussat
50,,Nassim Ben Khalifa
51,,Peter Utaka
52,,Naoyuki Fujita
53,,Kensuke Nagai
54,,Leo Silva
55,,Takashi Inui
56,,Genki Omae
57,,Hiroki Ilkura
58,,Tsukasa Shiotani
59,,Yu Kobayashi
60,,Shusaku Nishikawa
61,,Yuki Muto
62,,Kazuya Yamamura
63,,Jin Hyeon Kim
64,,Shuto Yamamoto
65,,Akito Fukumori
66,,Hiroki Yamada
67,,Toshio Shimakawa
68,,Mitchell Langerak
69,,Matej Jonjić
70,,Douglas Grolli
71,,Yuki Horigome
72,,Jakub Słowik
73,,Patric
74,,Seok Ho Hwang
75,,Douglas Vieira
76,,Kazuaki Mawatari
77,,Diego Oliveira
78,,Keigo Higashi
79,,Eiichi Katayama
80,,Yoshiaki Komai
81,,Leandro Pereira
82,,Leo Osaki
83,,Tarik Elyounoussi
84,,Yuki Nogami
85,,Sun Tae Kwoun
86,,Kei Ishikawa
87,,Yoshinori Muto
88,,Yuji Ono
89,,Takuji Yonemoto
90,,Leandro Damião
91,,Ryo Takeuchi
92,,Hiroki Sakai
93,,Shinzo Koroki
94,,Hiroki Miyazawa
95,,Ryota Nagaki
96,,Kosuke Yamamoto
97,,Kazuki Oiwa
98,,Kenyu Sugimoto
99,,Ryo Miyaichi
100,,Akimi Barada
101,,Naoki Yamada
102,,Kazuki Nagasawa
103,,Yuki Otsu
104,,Toshihiro Aoyama
105,,Kosuke Taketomi
106,,Yusuke Chajima
107,,Wellington
108,,Kentaro Oi
109,,Kotaro Omori
110,,Everaldo
111,,Takumi Miyayoshi
112,,Takuto Hayashi
113,,Hiroyuki Abe
114,,Masaaki Murakami
115,,Ryogo Yamasaki
116,,Takuya Aoki
117,,Takahiro Ogihara
118,,Shu Kurata
119,,Stefan Mugoša
120,,Bojan Krkic
121,,Shoma Doi
122,,Sung-Ryong Jung
123,,Tatsuya Tanaka
124,,Kentaro Moriya
125,,Lukian
126,,Hidekazu Otani
127,,Hayato Nakama
128,,Sotan Tanabe
129,,Yoichiro Kakitani
130,,Hirotaka Mita
131,,Fabián González
132,,Takuya Okamoto
133,,Quenten Martinus
134,,Yojiro Takahagi
135,,Noriyoshi Sakai
136,,Kazunari Ono
137,,Kosei Shibasaki
138,,Yuto Nagatomo
139,,Shota Kobayashi
140,,Shinji Ono
141,,Manabu Saito
142,,Yuji Kajikawa
143,,Keisuke Shimizu
144,,Hisashi Jogo
145,,Yago Pikachu
146,,Kyohei Noborizato
147,,Yuki Honda
148,,Alex Schalk
149,,Benjamin Kololli
150,,Yutaka Yoshida
151,,Daiki Ogawa
152,,Daigo Nishi
153,,Ryo Nagai
154,,Noriaki Fujimoto
155,,Masatoshi Mihara
156,,Naldo
157,,Bryan Linssen
158,,Yohei Takeda
159,,Hiroki Fujiharu
160,,Kenta Tanno
161,,Mu Kanazaki
162,,Se-jong Ju
163,,Naoki Wako
164,,Yuta Someya
165,,Goro Kawanami
166,,Akira Ibayashi
167,,Koki Otani
168,,Takuo Okubo
169,,Joan Oumari
