#,Team,Name
1,,Jun Ichimori
2,,Tomoya Wakahara
3,,Hiroki Mawatari
4,,Masaaki Higashiguchi
5,,Naoto Kamifukumoto
6,,Tomoki Hayakawa
7,,Go Hatano
8,,Kenta Matsumoto
9,,Daiki Tomii
10,,Shuichi Gonda
11,,Yohei Takaoka
12,,Seung-gyu Kim
13,,Takanori Sugeno
14,,Keisuke Osako
15,,Park Il-Kyu
16,,Ryuki Miura
17,,Daiya Maekawa
18,,Hiroki Ilkura
19,,Shusaku Nishikawa
20,,Jin Hyeon Kim
21,,Mitchell Langerak
22,,Jakub Słowik
23,,Kosei Tani
24,,Takumi Nagaishi
25,,Sun Tae Kwoun
26,,Kei Ishikawa
27,,Masato Sasaki
28,,Takuto Hayashi
29,,Masaaki Murakami
30,,Alexei Koşelev
31,,Sung-Ryong Jung
32,,Yuji Kajikawa
33,,Keisuke Shimizu
34,,Yuya Oki
35,,Yohei Takeda
36,,Kenta Tanno
37,,Zion Suzuki
38,,Yuya Tsuboi
39,,Goro Kawanami
40,,Taichi Kato
41,,Koki Otani
42,,Kojiro Nakano
43,,Takuo Okubo
