#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Jun Ichimori,0,0,0,0,0,0
2,,Gakuto Notsuda,0.11,0.04,77.78,1.07,0,0.45
3,,Kojiro Yasuda,0,0,100,2,0,0
4,,Yuki Saneto,0.2,0,75,0.6,0,0
5,,Tomoya Wakahara,0,0,0,0,0,0
6,,Hiroki Mawatari,0,0,0,0,0,0
7,,Yasuto Wakizaka,0.16,0.13,62.79,1.44,0,0.31
8,,Makoto Mitsuta,0.31,0.14,45.28,2.55,0,0.69
9,,Mateus Castro,0.27,0.1,54.1,2.8,0,0.19
10,,Ken Iwao,0.03,0,70,0.48,0,0
11,,Eduardo,0.04,0,85.71,0.83,0.04,0
12,,Akihiro Ienaga,0.35,0.12,57.41,1.41,0.03,0
13,,Yuma Suzuki,0.22,0.13,50,1.72,0.06,0
14,,Sho Sasaki,0.09,0,58.82,0.65,0.09,0
15,,Thiago Santana,0.52,0.3,44.62,2.63,0.19,0
16,,Masaaki Higashiguchi,0,0,0,0,0,0
17,,Asahi Sasaki,0.05,0.05,40,0.62,0,0
18,,Lucas Fernandes,0.11,0.07,50.47,1.64,0,0
19,,Thuler,0,0.14,100,0.29,0,0
20,,Ryuho Kikuchi,0.17,0.04,75,1.13,0.08,0
21,,Katsuya Nagato,0,0,48,0.85,0,0
22,,Shuto Machino,0.43,0.13,73.91,2.07,0.1,0
23,,Tsukasa Morishima,0.26,0.03,58.33,1.48,0.03,0
24,,Anderson Lopes,0.39,0.32,48.98,2.61,0.11,0
25,,Alexander Scholz,0.19,0.03,78.95,0.53,0.03,0
26,,Kyung-won Kwon,0.13,0.06,0,0.69,0.13,0
27,,Kota Mizunuma,0.23,0.26,53.57,1.74,0.03,0
28,,Hayato Araki,0.06,0.03,66.67,0.87,0.03,0
29,,Naoto Kamifukumoto,0,0,0,0,0,0
30,,Ayase Ueda,0.56,0.39,55.56,2.78,0.06,0
31,,Hinata Kida,0,0,0,0,0,0
32,,Tomoki Hayakawa,0,0,0,0,0,0
33,,Jordy Croux,0.13,0.03,37.93,0.97,0,0
34,,Hiroaki Okuno,0.1,0.06,32,0.81,0.03,0
35,,Yuta Higuchi,0.06,0.06,51.85,1.09,0,0
36,,Yuya Osako,0.27,0.46,46.67,2.69,0.04,0
37,,Genta Miura,0,0.03,50,0.45,0,0
38,,Takuya Iwanami,0.1,0,0,0.48,0.06,0
39,,Élber,0.28,0.14,59.65,1.52,0.1,0
40,,Yuki Kobayashi,0.33,0,44.44,1.11,0.11,2.78
41,,Shogo Taniguchi,0.09,0.03,100,0.33,0.09,0
42,,Andrés Iniesta,0.08,0.04,56.9,0.96,0,0
43,,Daiki Sugioka,0,0,60.61,0.62,0,0
44,,Douglas,0.4,0.2,40,2.4,0.1,0
45,,Keigo Tsunemoto,0,0,50,0.5,0,0
46,,Yasuki Kimoto,0.06,0.06,69.23,0.39,0.03,0
47,,Sho Inagaki,0.06,0.03,33.33,1.29,0,0
48,,Masato Morishige,0.07,0.04,76.92,0.57,0.04,0
49,,Adailton,0.39,0.26,45.59,2.65,0.06,0
50,,Kento Misao,0.06,0,55.56,0.42,0.03,0
51,,Ryuta Koike,0.12,0,51.72,0.81,0,0
52,,Haruya Fujii,0,0,75,0.32,0,0
53,,Matheus Sávio,0.19,0,48.31,1.88,0.03,0
54,,Yuki Soma,0.06,0.06,53.66,1.18,0,0
55,,Ken Matsubara,0.05,0,71.43,0.9,0,0
56,,Marcinho,0.4,0.37,48.1,1.6,0.07,0
57,,Shintaro Kurumaya,0.05,0,70,0.32,0.05,0
58,,Ryoya Ogawa,0.13,0,53.33,0.53,0.07,0
59,,Kento Tachibanada,0.06,0.03,45.16,0.63,0,0
60,,Sergi Samper,0,0,66.67,0.5,0,0
61,,Kengo Kitazume,0,0,75,0.5,0,0
62,,Ryotaro Tsunoda,0,0,80,0.44,0,0
63,,Sota Kawasaki,0.04,0,40,0.96,0.04,0
64,,Tomoki Takamine,0.04,0,64.86,0.77,0.04,0
65,,Atsuki Ito,0.14,0.11,64.29,1.14,0.04,0
66,,Yuto Suzuki,0.2,0.17,40.82,1.13,0.03,0
67,,Reon Yamahara,0.06,0,66.67,0.91,0,0
68,,Miki Yamane,0.09,0.06,60.61,0.5,0,0
69,,Gotoku Sakai,0.03,0,50,0.32,0,0
70,,Diego Pituca,0.04,0,55.88,1.21,0,0
71,,Go Hatano,0,0,0,0,0,0
72,,Kenta Matsumoto,0,0,0,0,0,0
73,,Daiki Tomii,0,0,0,0,0,0
74,,Shuichi Gonda,0,0,0,0,0,0
75,,Valdo,0.13,0,66.67,0.5,0.13,0
76,,Ryoma Watanabe,0.2,0,57.5,1.23,0.03,0
77,,Yohei Takaoka,0,0,0,0,0,0
78,,Yuya Yamagishi,0.29,0.15,43.48,1.62,0.03,0
79,,Rikiya Uehara,0.04,0,43.75,0.64,0,0
