#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Jun Ichimori,0,0,0,1.67,0,0.22
2,,Gakuto Notsuda,2.68,1.54,0,0.64,0,0.96
3,,Kojiro Yasuda,3,1,0,0,0,0
4,,Yuki Saneto,0.4,3,0,5.8,0,0
5,,Tomoya Wakahara,0.5,0,0,3,0,0.25
6,,Hiroki Mawatari,0,0,0,0,0,0
7,,Yasuto Wakizaka,0.97,0.94,0,0.25,0,0.47
8,,Makoto Mitsuta,1.83,0.66,0,0.17,0,1.14
9,,Mateus Castro,0.67,0.37,0,0.27,0,0.57
10,,Ken Iwao,1.03,1.59,0,1.66,0.03,0.79
11,,Eduardo,1,2.52,0,4.3,0.04,0.43
12,,Akihiro Ienaga,0.71,0.18,0,1.15,0,0.35
13,,Yuma Suzuki,0.63,0.25,0,1.16,0,0.34
14,,Sho Sasaki,1.68,2.53,0,1.85,0.06,0.26
15,,Thiago Santana,0.41,0.15,0,0.85,0,0.22
16,,Masaaki Higashiguchi,0,0,0.05,0.74,0,0.05
17,,Asahi Sasaki,2,1.81,0.05,1.43,0,0.43
18,,Lucas Fernandes,2.61,1.25,0,0.71,0,1.36
19,,Thuler,0.71,2.29,0,2.86,0,0.29
20,,Ryuho Kikuchi,1.63,1.63,0.04,4.04,0.04,0.42
21,,Katsuya Nagato,1.42,1.23,0,1.5,0,0.54
22,,Shuto Machino,0.3,0.3,0,0.5,0,0.2
23,,Tsukasa Morishima,0.94,0.32,0,0.29,0,0.29
24,,Anderson Lopes,0.61,0.21,0,0.61,0,0.39
25,,Alexander Scholz,0.91,1.25,0,3.06,0,0.25
26,,Kyung-won Kwon,0.63,1.25,0.06,4.38,0,0.31
27,,Kota Mizunuma,0.42,0.55,0,0.23,0,0.48
28,,Hayato Araki,1.45,3.03,0,4.26,0,0.32
29,,Naoto Kamifukumoto,0.06,0.03,0,1.68,0,0
30,,Ayase Ueda,0.44,0.17,0,0.61,0,0.11
31,,Hinata Kida,3,1,0,2,0,0
32,,Tomoki Hayakawa,0,0.2,0,0.4,0,0.2
33,,Jordy Croux,0.77,0.58,0.03,0.42,0,0.58
34,,Hiroaki Okuno,2.23,2.32,0,1.13,0,0.94
35,,Yuta Higuchi,1.56,0.94,0,0.91,0,0.88
36,,Yuya Osako,0.38,0.19,0,0.58,0,0.15
37,,Genta Miura,1.15,2.21,0.03,4.58,0,0.09
38,,Takuya Iwanami,0.68,1.19,0,3.58,0,0.39
39,,Élber,0.41,0.45,0,0.28,0,0.48
40,,Yuki Kobayashi,0.78,0.44,0,0.33,0,0.89
41,,Shogo Taniguchi,0.91,1.58,0,3.64,0.03,0.21
42,,Andrés Iniesta,0.75,0.71,0,0.21,0,0.71
43,,Daiki Sugioka,1.62,1.55,0.03,1.83,0,0.45
44,,Douglas,0.6,0.3,0,0.7,0,0.2
45,,Keigo Tsunemoto,2.21,2.32,0,1.96,0,0.75
46,,Yasuki Kimoto,1.06,1.09,0.03,3.3,0,0.21
47,,Sho Inagaki,2.09,2.94,0,1.65,0,0.82
48,,Masato Morishige,0.96,0.89,0,2.93,0.04,0.18
49,,Adailton,0.74,0.32,0,0.65,0,0.35
50,,Kento Misao,2.3,1.88,0.03,2.58,0,0.79
51,,Ryuta Koike,1.38,1.42,0,1.54,0,0.54
52,,Haruya Fujii,1.94,1.97,0.03,3.19,0,0.48
53,,Matheus Sávio,1.06,0.75,0,0.38,0,0.84
54,,Yuki Soma,1.21,0.65,0,1.18,0,0.44
55,,Ken Matsubara,1.67,1.29,0,1.43,0.05,0.57
56,,Marcinho,0.8,0.17,0,0.23,0,0.2
57,,Shintaro Kurumaya,1.63,0.74,0,1.95,0,0.11
58,,Ryoya Ogawa,0.87,1.07,0,2.2,0,0.13
59,,Kento Tachibanada,1.94,2.28,0,0.69,0,0.81
60,,Sergi Samper,2.67,1.67,0,0.33,0,1
61,,Kengo Kitazume,1.5,1.25,0.13,0.75,0,0.13
62,,Ryotaro Tsunoda,1.39,1.89,0,2.5,0,0.33
63,,Sota Kawasaki,2.54,2.11,0,1.29,0,0.93
64,,Tomoki Takamine,1.58,0.96,0,1,0,0.42
65,,Atsuki Ito,1.86,1.5,0,1,0,0.75
66,,Yuto Suzuki,2.33,0.93,0,1.43,0,1.03
67,,Reon Yamahara,0.79,0.82,0,1.21,0,0.3
68,,Miki Yamane,1.69,1.47,0,2.25,0,0.75
69,,Gotoku Sakai,1.82,2,0,1.82,0,1.29
