#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Jun Ichimori,0,0,87.5,70,0.11,0
2,,Gakuto Notsuda,0.18,0,50,56.58,1.04,1.39
3,,Kojiro Yasuda,0,0,0,100,0,0
4,,Yuki Saneto,0.2,0,69.23,69.57,1.8,0.8
5,,Tomoya Wakahara,0,0,0,75,0.25,0
6,,Hiroki Mawatari,1,0,0,100,2,0
7,,Yasuto Wakizaka,0.03,0,21.43,49.15,0.81,0.81
8,,Makoto Mitsuta,0,0,30.43,42.91,1.24,1.17
9,,Mateus Castro,0.13,0,26.19,44.83,1.97,1.1
10,,Ken Iwao,0,0.03,61.54,53.3,0.72,0.72
11,,Eduardo,0.17,0,73.53,63.91,0.17,1
12,,Akihiro Ienaga,0.09,0,48.08,49.36,1.03,0.79
13,,Yuma Suzuki,0.16,0,43.2,45.39,2,1.28
14,,Sho Sasaki,0.06,0,69.4,67.19,1.62,1.12
15,,Thiago Santana,0.11,0,34.97,40.06,1.41,1.07
16,,Masaaki Higashiguchi,0.11,0,100,81.25,0.42,0.11
17,,Asahi Sasaki,0.14,0,61.67,57.47,0.57,1
18,,Lucas Fernandes,0.07,0,48.53,50.13,1,1.14
19,,Thuler,0.14,0,65,64.71,0.29,0.29
20,,Ryuho Kikuchi,0.13,0.04,63.39,68.2,1.17,0.5
21,,Katsuya Nagato,0.12,0,42.5,49.78,1.15,0.69
22,,Shuto Machino,0.03,0,48.76,49.32,0.8,0.53
23,,Tsukasa Morishima,0,0,39.53,47.62,1.1,0.77
24,,Anderson Lopes,0,0.04,48.91,46.69,1.07,1.07
25,,Alexander Scholz,0,0,63.29,71.27,1.09,0.19
26,,Kyung-won Kwon,0.25,0.06,82.35,66.67,0.81,1.13
27,,Kota Mizunuma,0.06,0,35,40.32,0.48,0.61
28,,Hayato Araki,0.13,0,67.76,67.08,0.77,0.84
29,,Naoto Kamifukumoto,0,0.03,100,94.44,0.13,0.03
30,,Ayase Ueda,0,0,40.63,41.12,1,0.94
31,,Hinata Kida,0,0,100,100,1,0
32,,Tomoki Hayakawa,0,0,100,75,0.4,0
33,,Jordy Croux,0.1,0,43.75,46.62,0.94,0.81
34,,Hiroaki Okuno,0.03,0,50.65,58.94,2,0.65
35,,Yuta Higuchi,0.16,0,34.38,46.75,1.03,1.34
36,,Yuya Osako,0.04,0,46.6,45.91,1.27,0.81
37,,Genta Miura,0.06,0,65.29,66.8,0.73,0.58
38,,Takuya Iwanami,0.1,0,64.71,60,0.45,0.58
39,,Élber,0.03,0,48.48,51.91,1.14,0.31
40,,Yuki Kobayashi,0,0,41.67,46.77,1.44,0.67
41,,Shogo Taniguchi,0.09,0.03,69.67,68.23,0.45,0.52
42,,Andrés Iniesta,0.04,0,33.33,50,1,0.83
43,,Daiki Sugioka,0.07,0.03,52.04,52.51,0.62,1.21
44,,Douglas,0,0,54.69,54.72,1.3,0.4
45,,Keigo Tsunemoto,0,0,61.9,60.82,0.93,0.71
46,,Yasuki Kimoto,0.09,0,62.81,64.16,0.76,0.64
47,,Sho Inagaki,0.06,0,54.32,54.81,1.53,1.26
48,,Masato Morishige,0.14,0,67.71,67.57,0.86,0.57
49,,Adailton,0,0,43.48,47.84,1.23,0.58
50,,Kento Misao,0.12,0,63.93,63.33,0.94,0.91
51,,Ryuta Koike,0.04,0,19.57,47.59,0.73,0.5
52,,Haruya Fujii,0.13,0,66.45,64.97,0.84,0.94
53,,Matheus Sávio,0.09,0,20,42.31,1.06,0.53
54,,Yuki Soma,0.09,0,46.27,56.76,2.24,1.06
55,,Ken Matsubara,0.1,0,46.81,54.36,0.67,0.86
56,,Marcinho,0.03,0,37.21,48.1,1.23,0.7
57,,Shintaro Kurumaya,0.11,0,50,64.22,0.53,0.47
58,,Ryoya Ogawa,0.07,0,49.06,51.72,0.87,0.53
59,,Kento Tachibanada,0.06,0.03,34.09,57.49,1.59,0.63
60,,Sergi Samper,0.17,0,40,55.32,0.33,0.83
61,,Kengo Kitazume,0,0,60,67.44,0.38,0.38
62,,Ryotaro Tsunoda,0.11,0,74.58,72.13,0.89,0.72
63,,Sota Kawasaki,0.07,0,52.54,49.63,0.75,1.86
64,,Tomoki Takamine,0.15,0,42.22,57.92,1.69,1.38
65,,Atsuki Ito,0.07,0.04,46.15,46.77,0.29,1.14
66,,Yuto Suzuki,0,0,48.48,48.64,1.37,1.03
67,,Reon Yamahara,0.03,0,29.41,55.7,0.67,0.18
68,,Miki Yamane,0.13,0,50.7,51.8,0.16,0.56
69,,Gotoku Sakai,0.06,0,43.42,51.37,0.94,0.41
70,,Diego Pituca,0.25,0.04,51.02,53.82,1.57,1.25
71,,Go Hatano,0,0,0,100,1,0
72,,Kenta Matsumoto,0,0,100,100,0,0
73,,Daiki Tomii,0,0,0,0,0,0
74,,Shuichi Gonda,0,0,93.33,88.46,0.36,0.03
75,,Valdo,0,0,51.35,55.56,0.38,0.88
76,,Ryoma Watanabe,0.03,0,57.89,52.8,0.83,0.9
77,,Yohei Takaoka,0,0,66.67,77.78,0.12,0
78,,Yuya Yamagishi,0.06,0,41.74,42.96,1.44,1.26
79,,Rikiya Uehara,0.14,0,45.95,50.25,0.89,1.29
80,,Gen Shoji,0,0,52.73,61.81,0.6,0.76
81,,Tomoki Iwata,0.06,0.03,56.96,49.52,0.47,1.25
82,,Shogo Asada,0.03,0.03,65.97,65.33,0.38,0.5
83,,Yoshifumi Kashiwa,0.04,0,42.11,57.46,1,0.56
84,,Takuma Nishimura,0.04,0,42.03,39.41,1.3,1.52
85,,Tokuma Suzuki,0.04,0,57.69,51.68,1,1.12
86,,Ikuma Sekigawa,0.06,0,62.5,64.9,0.88,0.34
87,,Seung-gyu Kim,0,0,100,100,0.15,0
88,,Kenta Nishizawa,0,0,50,44.74,0.3,0.2
89,,Diego,0.16,0,59.84,56.66,1.13,1.09
90,,Kuryu Matsuki,0.1,0.03,31.48,50.21,1.23,1.1
91,,Daihachi Okamura,0.08,0,62.79,63.89,1.27,0.81
92,,Riki Harakawa,0.06,0,38.89,43.31,0.33,1.11
93,,Hiroshi Kiyotake,0,0,46.15,54,1.5,0.42
94,,Tsuyoshi Ogashiwa,0,0,23.53,45.45,0.85,0.46
95,,João Schmidt,0.23,0,62.3,54.36,0.41,1.05
96,,Takanori Sugeno,0.07,0.04,100,80,0.19,0.07
97,,Shinnosuke Nakatani,0.09,0,59.41,57.51,0.91,0.64
98,,Teruhito Nakagawa,0.03,0,26.67,47.49,1.42,0.77
99,,Keisuke Osako,0,0,100,88.89,0.21,0
100,,Daiki Miya,0.19,0.04,61.03,58.8,1,1.22
101,,Kakeru Funaki,0.07,0,44.12,53.33,0.21,0.07
102,,Park Il-Kyu,0.03,0,69.23,68.18,0.12,0.03
103,,Ryuki Miura,0,0,87.5,83.33,0.21,0
104,,Hiroyuki Mae,0.06,0,33.33,52.77,1.41,1.24
105,,Takumi Kamijima,0.17,0.04,70.3,62.31,0.42,1.67
106,,Kei Koizumi,0.17,0,33.33,54.04,1.67,1.67
107,,Taisei Miyashiro,0.09,0,32,40.91,0.73,1.27
108,,Dawhan,0.22,0,73.02,56.77,0.81,1.15
109,,Hotaru Yamaguchi,0,0,62.96,53.29,0.64,0.42
110,,Masaya Tashiro,0.19,0,59.79,58.38,0.81,1.05
111,,Takashi Usami,0,0,28.57,47.06,1.14,0.29
112,,Arthur Caíke,0.07,0,49.4,47.62,0.97,0.83
113,,Akito Fukuta,0.06,0,40.85,48.85,1.03,0.61
114,,Ronaldo,0.11,0,54.55,59.06,1.05,1.37
115,,Koji Toriumi,0.21,0,57.53,59.13,0.58,0.79
116,,Léo Ceará,0.03,0,28.13,33.15,0.87,0.9
117,,Juanma Delgado,0.23,0,56.91,49.29,1.32,2.03
118,,Yuki Yamamoto,0.06,0,36.36,50,0.38,0.75
