#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Jun Ichimori,0,0,34.67,66.99,1.67,39.64
2,,Gakuto Notsuda,0.14,0.29,60.5,86.6,14.36,44.81
3,,Kojiro Yasuda,0,0,7,100,0,0
4,,Yuki Saneto,0,0,51.4,84.05,6.2,52.38
5,,Tomoya Wakahara,0,0,29.75,34.45,1.25,11.49
6,,Hiroki Mawatari,0,0,25,24,2,20.83
7,,Yasuto Wakizaka,0.44,0.31,41.59,86.55,13.84,66.23
8,,Makoto Mitsuta,0.28,0.28,30.76,77.13,9.62,44.44
9,,Mateus Castro,0.33,0.13,22.93,76.31,8.13,72.15
10,,Ken Iwao,0.24,0.21,59.72,86.32,10.31,60.39
11,,Eduardo,0.04,0.04,67.57,84.23,5.87,54.79
12,,Akihiro Ienaga,0.21,0.15,55.65,89.9,20.59,70.31
13,,Yuma Suzuki,0.31,0.31,29,69.94,9.25,67.35
14,,Sho Sasaki,0.06,0.06,59.65,82.15,9.5,44.29
15,,Thiago Santana,0.37,0.22,14.85,72.82,4.56,91.3
16,,Masaaki Higashiguchi,0,0.05,33.21,64.98,1.68,42.47
17,,Asahi Sasaki,0.14,0.1,51.86,81.45,11.29,48
18,,Lucas Fernandes,0.21,0.14,31.75,68.5,9.64,56.9
19,,Thuler,0,0,34.43,87.14,2.57,68.97
20,,Ryuho Kikuchi,0,0,45.5,83.61,2.63,45.39
21,,Katsuya Nagato,0.35,0.15,49.77,79.68,12.23,54.87
22,,Shuto Machino,0.07,0,19.07,69.41,5.67,60
23,,Tsukasa Morishima,0.19,0.06,36.65,78.52,14.1,65.82
24,,Anderson Lopes,0.14,0.21,14.57,75.25,4.36,40
25,,Alexander Scholz,0,0,63,88.39,4.84,56.07
26,,Kyung-won Kwon,0.06,0,42.06,81.28,3.31,40.17
27,,Kota Mizunuma,0.35,0.19,28.35,77.36,10.48,41.89
28,,Hayato Araki,0.03,0,48.9,81.33,1.81,36.47
29,,Naoto Kamifukumoto,0,0,34.81,57.18,2.1,35.14
30,,Ayase Ueda,0.11,0.11,13.33,68.33,3.44,50
31,,Hinata Kida,0,0,65,87.69,11,60
32,,Tomoki Hayakawa,0,0,36.8,69.02,1.4,37.21
33,,Jordy Croux,0.26,0.13,17.23,75.09,5.29,54.39
34,,Hiroaki Okuno,0.16,0.1,35.16,82.11,6.48,52.27
35,,Yuta Higuchi,0.16,0.25,36.13,82.7,8.75,48.65
36,,Yuya Osako,0.23,0.08,19.77,72.57,7.5,52.94
37,,Genta Miura,0.03,0.03,45.94,80.67,3.33,43.65
38,,Takuya Iwanami,0.1,0.03,62.74,86.38,4.58,52.91
39,,Élber,0.28,0.17,29.79,76.27,11.31,63.27
40,,Yuki Kobayashi,0.33,0,38.22,84.88,12.67,68.75
41,,Shogo Taniguchi,0.09,0.09,67.58,87.76,5.52,55.4
42,,Andrés Iniesta,0.33,0.13,37.42,79.29,11,41.43
43,,Daiki Sugioka,0.17,0.1,45.86,76.02,8.86,44.13
44,,Douglas,0.1,0.1,12.6,58.73,4.4,66.67
45,,Keigo Tsunemoto,0.07,0.04,35.07,73.63,8.14,37.01
46,,Yasuki Kimoto,0.09,0,64.27,86.99,3.67,52.15
47,,Sho Inagaki,0,0,36.53,81.56,6.44,47.97
48,,Masato Morishige,0,0,67.79,84.46,5.04,57.69
49,,Adailton,0.06,0.06,19.32,66.11,5.35,41.07
50,,Kento Misao,0,0,47.45,78.48,5.48,51.15
51,,Ryuta Koike,0.19,0.08,61.88,86.2,16.77,52.63
52,,Haruya Fujii,0.06,0,46,80.22,2.94,39.68
53,,Matheus Sávio,0.31,0.16,31.97,78.89,11.53,58.95
54,,Yuki Soma,0.21,0.03,24.71,72.74,5.74,49.15
