#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Jun Ichimori,4.11,0.33,0.11,0.11,1,0
2,,Gakuto Notsuda,0,0.21,0,0,0.93,0.07
3,,Kojiro Yasuda,0,0,0,0,0,0
4,,Yuki Saneto,0,0.4,0,0,0.4,0
5,,Tomoya Wakahara,5.25,0,0,0,1.5,0.25
6,,Hiroki Mawatari,2,1,0,0,0,0
7,,Yasuto Wakizaka,0,0,0,0,0.84,0.13
8,,Makoto Mitsuta,0,0.07,0,0,0.9,0.1
9,,Mateus Castro,0,0.1,0,0,0.83,0.13
10,,Ken Iwao,0,0.24,0,0,0.83,0.1
11,,Eduardo,0,0.3,0,0,0.96,0.04
12,,Akihiro Ienaga,0,0.18,0,0,0.97,0.18
13,,Yuma Suzuki,0,0.16,0,0,0.97,0.19
14,,Sho Sasaki,0,0.35,0,0,1.06,0.12
15,,Thiago Santana,0,0.15,0,0,1.3,0.26
16,,Masaaki Higashiguchi,4.05,0.42,0.16,0,1.21,0.05
17,,Asahi Sasaki,0,0.43,0,0,0.57,0.14
18,,Lucas Fernandes,0,0.21,0,0,1.11,0.25
19,,Thuler,0,0.29,0,0,0.71,0.14
20,,Ryuho Kikuchi,0,0.29,0,0,0.88,0.13
21,,Katsuya Nagato,0,0.27,0,0,0.81,0.04
22,,Shuto Machino,0,0,0,0,0.57,0.1
23,,Tsukasa Morishima,0,0.1,0,0,0.9,0.1
24,,Anderson Lopes,0,0,0,0,0.54,0
25,,Alexander Scholz,0,0.28,0,0,0.94,0.13
26,,Kyung-won Kwon,0,0.31,0,0,0.88,0
27,,Kota Mizunuma,0,0,0,0,0.52,0.03
28,,Hayato Araki,0,0.35,0,0,1,0.1
29,,Naoto Kamifukumoto,3.19,0.26,0.1,0.03,0.74,0.26
30,,Ayase Ueda,0,0.17,0,0,1,0.17
31,,Hinata Kida,0,0,0,0,2,0
32,,Tomoki Hayakawa,3.2,0.4,0.2,0,0.8,0.2
33,,Jordy Croux,0,0.03,0,0,0.52,0.1
34,,Hiroaki Okuno,0,0.19,0,0,0.9,0.13
35,,Yuta Higuchi,0,0.06,0,0,0.88,0.19
36,,Yuya Osako,0,0.12,0,0,0.77,0.08
37,,Genta Miura,0,0.27,0,0,1.15,0.09
38,,Takuya Iwanami,0,0.29,0,0,1,0.13
