#,Team,Name
1,,Jokin Ezkieta
2,,José Antonio Caro
3,,Dani Cárdenas
4,,Nicolas Ratti
5,,Alex Domínguez
6,,Jorge Chanza
7,,Aarón Escandell
8,,Andrés Fernández
9,,Álvaro Valles
10,,Filip Jörgensen
11,,Quentin Braat
12,,Cristian Álvarez
13,,Óscar Whalley
14,,Amir Abedzadeh
15,,Rubén Yáñez
16,,Raúl Fernández
17,,Yoel Rodríguez
18,,German Parreño Boix
19,,Iván Cuéllar
20,,Daniel Fuzato
21,,Raúl Lizoain
22,,Antonio Sivera
23,,Luca Zidane
24,,Giorgi Makaridze
25,,Tomeu Nadal
26,,Daniel Rebollo
27,,Asier Riesgo
28,,Patrick Sequeira
29,,Joan Femenías
30,,Diego Altube
31,,André Ferreira
32,,Bernabé Barragán
33,,Gianni Cassaro
34,,Jesús Owono
35,,Juan Soriano
36,,Miquel Parera
37,,Ramón Juan
38,,Miguel San Román
39,,Alfonso Herrero
40,,Marc Vidal
41,,Iker Álvarez
42,,Álvaro Ratón
43,,Manolo Reina
44,,Diego Mariño
45,,Dani Jiménez
46,,Adri López
47,,Dani Barrio
48,,Žiga Frelih
49,,Marc Martínez
50,,Guillermo De Amores
