#,Team,Name,Appearances
1,,Josep Chavarría,2
2,,Andy Rodríguez,2
3,,Mario Garcia,3
4,,Jonathan Viera,32
5,,Pablo De Blasis,41
6,,Jokin Ezkieta,6
7,,Manuel Fuster,40
8,,Pepelu,39
9,,Kelechi Nwakali,36
10,,José Antonio Caro,41
11,,Dani Cárdenas,34
12,,Nicolas Ratti,20
13,,Joni Montiel,39
14,,Alex Domínguez,8
15,,Mika Mármol,37
16,,Miguel Rubio,32
17,,Kirian Rodríguez,5
18,,Jorge Chanza,1
19,,Eric Curbelo,34
20,,Rubén Duarte,37
21,,Pedro Díaz,33
22,,Roberto López,40
23,,Raúl García,39
24,,Aarón Escandell,36
25,,Sandro Ramírez,21
26,,Myrto Uzuni,38
27,,Nacho Martínez,36
28,,José Callejón,42
29,,José Ángel,33
30,,Enzo Loiodice,39
31,,Andrés Fernández,42
32,,Sergio Lozano,28
33,,Álvaro Valles,34
34,,Imanol García de Albéniz,27
35,,Álex Muñoz,34
36,,Carlos Izquierdoz,34
37,,Haitam Abaida,4
38,,Jair Amador,36
39,,Filip Jörgensen,11
40,,Anaitz Arbilla,35
41,,Francisco Villalba,34
42,,Rúben Vezo,27
43,,Luis Rioja,38
44,,David Costas,22
45,,Quentin Braat,26
46,,Cristian Álvarez,35
47,,Rubén Pardo,34
48,,Gabriel Fuentes,22
49,,Adria Miquel Bosch Sanchis,1
50,,Ibra,1
51,,Marc Aguado,36
52,,Adrián de la Fuente,35
53,,Matheus Pereira,39
54,,Curro,34
55,,Jonathan Dubasin,39
56,,Álvaro Tejero,35
57,,Sergi Cardona,39
58,,Iñigo Vicente,40
59,,Óscar Whalley,38
60,,Álvaro Rodríguez,35
61,,Pedro Alcalá,32
62,,Zé Ricardo,30
63,,Chris Ramos,24
64,,Enric Gallego,40
65,,Amir Abedzadeh,30
66,,Ignasi Miquel,33
67,,Dani Calvo,36
68,,Unai Elguezabal,39
69,,Marc Mateu,31
70,,Ager Aketxe,21
71,,Luismi,31
72,,Ángel Montoro,28
73,,Rubén Yáñez,29
74,,Raúl Fernández,31
75,,Yoel Rodríguez,11
76,,Alex Suárez,40
77,,Fran García Solsona,28
78,,German Parreño Boix,5
79,,José Gragera,17
80,,Iván Cuéllar,25
81,,Róber Pier,34
82,,Saúl Coco,36
83,,Carlos Nieto,24
84,,Peru Nolaskoain Esnal,32
85,,Bebé,16
86,,Carlos Vigaray,2
87,,Jeremy Mellot,41
88,,Daniel Fuzato,37
89,,Ricard Sánchez,33
90,,Fran Gámez,34
91,,José Ángel Jurado,27
92,,Álex Petxa,13
93,,César Gelabert,25
94,,Raúl Lizoain,16
95,,Alexandru Paşcanu,36
96,,Juanjo Nieto,6
97,,Dani Tasende,38
98,,Iván Gil,27
99,,Antonio Sivera,41
100,,José Campaña,21
101,,Luca Zidane,31
102,,Salva Sevilla,36
103,,Jordi Pola,7
104,,Lander Olaetxea,39
105,,Vicente Iborra,36
106,,Javier Ontiveros,25
107,,Alvaro Mantilla,14
108,,Giorgi Makaridze,7
109,,Alberto del Moral,37
110,,Nikola Šipčić,30
111,,Iker Undabarrena,33
112,,Pêpê,17
113,,Pablo Martínez,27
114,,Álex Gallar,19
115,,Kenneth Omeruo,22
116,,Carlos Neva,27
117,,Juergen Elitim,29
118,,Pejiño,33
119,,Juan Berrocal,33
120,,Tomeu Nadal,17
121,,Mamadou Fall,25
122,,Carlo Adriano García,35
123,,Aitor Sanz,37
124,,Daniel Rebollo,2
125,,Seydouba Cisse,33
126,,Waldo Rubio Marín,31
127,,Miguel Atienza,40
128,,Pol Moreno,33
129,,Ruben Bover Izquierdo,28
130,,Sergio Bermejo,33
131,,Adrià Vilanova,27
132,,Dani Raba,31
133,,Riki Rodríguez,37
134,,Víctor Díaz,29
135,,Andrei Rațiu,38
136,,Sergio Postigo,21
137,,Lluís López,31
138,,Óscar Pinchi,38
139,,Asier Riesgo,33
140,,Lucas Ahijado,40
141,,Alberto Escassi,34
