#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Josep Chavarría,0,0,50,0.5,0,0
2,,Andy Rodríguez,0,0,0,0.5,0,0
3,,Mario Garcia,0.33,0,75,1,0,0
4,,Jonathan Viera,0.22,0.19,52.89,2.44,0,0
5,,Pablo De Blasis,0.05,0.02,50,0.8,0,0
6,,Jokin Ezkieta,0,0,0,0,0,0
7,,Manuel Fuster,0.2,0.18,48.11,1.8,0,0
8,,Pepelu,0.03,0.1,65.52,1.03,0,0
9,,Kelechi Nwakali,0.03,0,83.61,0.89,0,0
10,,José Antonio Caro,0,0,0,0,0,0
11,,Dani Cárdenas,0,0,0,0,0,0
12,,Nicolas Ratti,0,0,0,0,0,0
13,,Joni Montiel,0.18,0.1,58.33,2.21,0,0.14
14,,Alex Domínguez,0,0,0,0,0,0
15,,Mika Mármol,0.03,0.08,73.17,0.41,0,0
16,,Miguel Rubio,0.03,0.03,100,0.41,0,0
17,,Kirian Rodríguez,0,0,75,0.4,0,0
18,,Jorge Chanza,0,0,0,0,0,0
19,,Eric Curbelo,0.03,0.03,83.33,0.38,0,0
20,,Rubén Duarte,0,0,42.86,0.43,0,0
21,,Pedro Díaz,0.12,0,52.24,1.24,0,0.51
22,,Roberto López,0.18,0.08,48.15,2.03,0,0
23,,Raúl García,0.49,0.28,37.5,2.44,0.08,0
24,,Aarón Escandell,0,0,100,0.03,0,0
25,,Sandro Ramírez,0.33,0.19,43.4,2.86,0,2.38
26,,Myrto Uzuni,0.61,0.61,45.83,2.66,0.03,0
27,,Nacho Martínez,0.06,0.06,36.36,0.72,0,0
28,,José Callejón,0.1,0.1,37.5,1.31,0.02,0
29,,José Ángel,0,0,72.22,0.33,0,0
30,,Enzo Loiodice,0.1,0,61.54,1.23,0,0
31,,Andrés Fernández,0,0,0,0,0,0
32,,Sergio Lozano,0.18,0.11,62.5,2.18,0,0.51
33,,Álvaro Valles,0,0,100,0,0,0
