#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Josep Chavarría,3,1.5,0,1.5,0,1
2,,Andy Rodríguez,0.5,0,0,0.5,0,1.5
3,,Mario Garcia,2.33,1,0,1.33,0,1.33
4,,Jonathan Viera,0.94,0.31,0,0.09,0,0.75
5,,Pablo De Blasis,1.37,0.54,0,0.41,0,1.29
6,,Jokin Ezkieta,0,0,0,0.83,0,0
7,,Manuel Fuster,0.93,0.1,0,0.33,0,0.85
8,,Pepelu,2.44,1.13,0,1.31,0,0.67
9,,Kelechi Nwakali,1.81,1.11,0,0.72,0,0.92
10,,José Antonio Caro,0.07,0,0,1.2,0.05,0.05
11,,Dani Cárdenas,0.03,0.03,0,0.88,0,0
12,,Nicolas Ratti,0,0,0,0.75,0.05,0
13,,Joni Montiel,0.77,0.15,0,0.26,0,0.62
14,,Alex Domínguez,0,0,0,0.88,0.13,0
15,,Mika Mármol,1.54,2.05,0,2.35,0,0.49
16,,Miguel Rubio,1.38,1.84,0.03,3.31,0,0.09
17,,Kirian Rodríguez,1.4,0.6,0,0.6,0,1.2
18,,Jorge Chanza,0,0,0,1,0,0
19,,Eric Curbelo,1.03,1.53,0,1.68,0.03,0.15
20,,Rubén Duarte,1.92,1.38,0,1.7,0,0.73
21,,Pedro Díaz,1.64,0.76,0,0.12,0,1.21
22,,Roberto López,1.15,0.45,0,0.2,0,0.55
23,,Raúl García,0.31,0.18,0,0.82,0,0.38
24,,Aarón Escandell,0,0,0,0.89,0.03,0
25,,Sandro Ramírez,0.48,0.14,0,0.14,0,0.14
26,,Myrto Uzuni,0.82,0.39,0,0.21,0,0.74
27,,Nacho Martínez,1.81,1.33,0,0.97,0,1.19
28,,José Callejón,0.48,0.26,0,0.45,0,0.45
29,,José Ángel,1.58,1.03,0,1.58,0,0.58
30,,Enzo Loiodice,2.51,0.74,0,0.21,0,0.87
31,,Andrés Fernández,0.02,0,0,1.33,0,0
32,,Sergio Lozano,1.32,0.32,0,0.18,0,0.79
33,,Álvaro Valles,0,0,0.03,0.62,0,0
34,,Imanol García de Albéniz,1.15,1.15,0,1.37,0,0.41
35,,Álex Muñoz,2.15,1.09,0,2.15,0,0.38
36,,Carlos Izquierdoz,1.62,1.53,0.12,4.18,0,0.53
37,,Haitam Abaida,0.5,0,0,0.25,0,0.25
38,,Jair Amador,0.89,1.11,0,4.94,0,0.08
39,,Filip Jörgensen,0,0.09,0,0.91,0,0
40,,Anaitz Arbilla,1.11,1.66,0,2.46,0,0.51
41,,Francisco Villalba,1.15,0.29,0,0.26,0,0.65
42,,Rúben Vezo,1.41,1.3,0.04,4.22,0,0.41
43,,Luis Rioja,1.05,0.84,0,0.5,0,1
44,,David Costas,0.91,1.55,0.05,4.05,0,0.09
45,,Quentin Braat,0,0,0,1.19,0,0
46,,Cristian Álvarez,0,0.06,0,0.8,0.06,0.03
47,,Rubén Pardo,0.68,0.82,0.03,0.44,0,0.32
48,,Gabriel Fuentes,2.18,0.77,0,1.27,0,0.32
49,,Adria Miquel Bosch Sanchis,3,0,0,5,0,1
50,,Ibra,2,0,0,0,0,0
51,,Marc Aguado,1.75,1.44,0,1.33,0,0.58
52,,Adrián de la Fuente,0.83,1.37,0.03,4.49,0.03,0.31
53,,Matheus Pereira,1.46,0.56,0,0.77,0,0.95
54,,Curro,0.82,0.32,0.03,0.21,0,0.65
55,,Jonathan Dubasin,0.67,0.33,0,0.69,0,0.26
56,,Álvaro Tejero,1.23,0.69,0,1.31,0,0.4
57,,Sergi Cardona,2.97,1.56,0.08,1.92,0.03,0.85
58,,Iñigo Vicente,1.33,0.55,0,0.38,0,1.33
59,,Óscar Whalley,0,0,0,0.47,0.05,0.03
60,,Álvaro Rodríguez,2,0.94,0.03,1.49,0,0.6
