#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Josep Chavarría,0,0,20,50,1.5,1
2,,Andy Rodríguez,0,0,66.67,46.15,0.5,0.5
3,,Mario Garcia,0,0,33.33,46.43,0.33,1.33
4,,Jonathan Viera,0.16,0,50,49.05,1.63,0.72
5,,Pablo De Blasis,0.17,0,46.23,47.03,1.49,0.93
6,,Jokin Ezkieta,0,0,66.67,75,0,0
7,,Manuel Fuster,0.1,0,27.27,48.36,2,0.6
8,,Pepelu,0.23,0.03,60.29,59.2,0.97,1.46
9,,Kelechi Nwakali,0.31,0,40.54,61.04,1.89,1.17
10,,José Antonio Caro,0.02,0.02,92.31,88.46,0.24,0.02
11,,Dani Cárdenas,0.12,0,100,100,0.21,0
12,,Nicolas Ratti,0,0,50,71.43,0.1,0
13,,Joni Montiel,0.28,0,24.24,47.85,1.49,1.1
14,,Alex Domínguez,0.13,0,100,100,0.13,0
15,,Mika Mármol,0.14,0,39.29,50.32,0.97,1.59
16,,Miguel Rubio,0.25,0.03,67.07,65.2,0.5,0.94
17,,Kirian Rodríguez,0,0,14.29,54.35,2.2,0.6
18,,Jorge Chanza,0,0,100,100,0,0
19,,Eric Curbelo,0.24,0,70.31,63.75,0.5,0.88
20,,Rubén Duarte,0.38,0.03,61.32,60,1.38,1.46
21,,Pedro Díaz,0.09,0,36.84,46.33,0.73,0.88
22,,Roberto López,0.1,0,38.46,46.44,0.55,0.35
23,,Raúl García,0.08,0,45.85,43.61,1.38,0.82
24,,Aarón Escandell,0.08,0,90,94.44,0.19,0
25,,Sandro Ramírez,0.19,0,41.18,52.67,1.38,0.48
26,,Myrto Uzuni,0.16,0,33.01,43.49,1.29,0.89
27,,Nacho Martínez,0.33,0.03,40,50.95,1.03,0.78
28,,José Callejón,0.1,0,36.05,45.2,1.19,0.62
29,,José Ángel,0.18,0,61.11,60,0.79,0.76
30,,Enzo Loiodice,0.23,0.03,38.1,51.94,1.62,1.41
31,,Andrés Fernández,0.07,0,80,87.5,0.14,0
32,,Sergio Lozano,0.25,0.04,36.36,51.49,2.43,1.5
33,,Álvaro Valles,0.06,0,71.43,85.71,0.12,0.03
34,,Imanol García de Albéniz,0.04,0,58.18,55.41,0.59,0.67
35,,Álex Muñoz,0.24,0,59.29,59.2,0.82,1.41
36,,Carlos Izquierdoz,0.18,0.03,64.67,62.5,0.41,0.88
37,,Haitam Abaida,0,0,100,70,1.75,0
38,,Jair Amador,0.14,0,67.36,65.42,0.28,0.56
39,,Filip Jörgensen,0.18,0,66.67,66.67,0.09,0
40,,Anaitz Arbilla,0.26,0,61.54,58.7,0.46,0.6
41,,Francisco Villalba,0.21,0,10,50,1.03,0.85
42,,Rúben Vezo,0.3,0,61.45,60,1.04,1.15
43,,Luis Rioja,0.16,0.03,36.36,47.15,1.24,0.63
44,,David Costas,0.23,0,66.67,60,0.41,1.27
45,,Quentin Braat,0.08,0,90.91,93.33,0.12,0
46,,Cristian Álvarez,0.06,0.03,100,87.5,0.06,0.03
47,,Rubén Pardo,0.18,0,54.55,56.19,0.35,0.53
48,,Gabriel Fuentes,0.14,0,60.78,60.89,0.86,1.14
49,,Adria Miquel Bosch Sanchis,0,0,66.67,72.73,1,0
50,,Ibra,1,0,66.67,62.5,2,2
51,,Marc Aguado,0.11,0,66.67,68.16,1.14,0.75
52,,Adrián de la Fuente,0.26,0.03,55.88,60.68,1.29,1
53,,Matheus Pereira,0.38,0,41.94,46.38,1.03,1.23
54,,Curro,0.15,0.03,36.17,48.7,2.15,0.76
55,,Jonathan Dubasin,0.15,0,43.06,47.07,1.36,1.38
56,,Álvaro Tejero,0.09,0,50,58.16,1.29,0.6
57,,Sergi Cardona,0.28,0,58.14,58.73,1.28,1.21
58,,Iñigo Vicente,0.1,0,35.29,45.54,1.15,0.5
59,,Óscar Whalley,0.03,0,100,88.89,0.08,0
60,,Álvaro Rodríguez,0.14,0.03,50,53.29,0.8,1.34
61,,Pedro Alcalá,0.16,0.06,63.16,59.9,0.59,0.97
62,,Zé Ricardo,0.4,0,60.42,54.1,0.63,1.67
63,,Chris Ramos,0.08,0.04,63.36,54.88,1.88,1.67
64,,Enric Gallego,0.23,0,52.2,42.58,0.73,2.63
65,,Amir Abedzadeh,0.17,0,93.33,90.48,0.1,0.07
66,,Ignasi Miquel,0.27,0,60,57.68,0.61,1.27
67,,Dani Calvo,0.17,0,73.78,69.43,0.58,0.72
68,,Unai Elguezabal,0.31,0,60.43,58.64,0.67,0.77
69,,Marc Mateu,0.1,0,56.67,52.6,0.58,0.45
70,,Ager Aketxe,0.19,0,36.84,33.33,0.43,0.33
71,,Luismi,0.52,0.03,55.56,55.72,0.74,1.81
72,,Ángel Montoro,0.29,0,51.43,55.13,1.07,0.93
73,,Rubén Yáñez,0.07,0,100,100,0.03,0
74,,Raúl Fernández,0.06,0.03,100,82.35,0.23,0.06
75,,Yoel Rodríguez,0,0,66.67,80,0.27,0
76,,Alex Suárez,0.23,0,57.14,61.48,0.73,0.73
77,,Fran García Solsona,0.07,0,51.79,56.02,0.57,1.04
78,,German Parreño Boix,0.4,0,100,70,0.2,0
79,,José Gragera,0.06,0,60.49,54.82,0.47,1.88
80,,Iván Cuéllar,0.12,0,66.67,80,0.16,0
81,,Róber Pier,0.09,0,51,51.74,0.32,1
82,,Saúl Coco,0.22,0,65.71,64.76,0.92,0.78
83,,Carlos Nieto,0.13,0.04,56.45,50.91,0.33,1.21
84,,Peru Nolaskoain Esnal,0.28,0,62.5,57.25,0.63,0.88
85,,Bebé,0.19,0,44.44,40.38,0.56,0.56
86,,Carlos Vigaray,0,0,50,80,0,0
87,,Jeremy Mellot,0.07,0,50,58.14,1.12,0.63
88,,Daniel Fuzato,0.11,0,100,100,0.05,0
