#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Josep Chavarría,0.5,0,49,76.53,5.5,35.71
2,,Andy Rodríguez,2,0,24.5,79.59,5.5,66.67
3,,Mario Garcia,0.67,0.33,31.33,77.66,6,33.33
4,,Jonathan Viera,0.25,0.16,76.31,86.98,28.66,63.75
5,,Pablo De Blasis,0.39,0.2,49.76,77.84,12.17,61.61
6,,Jokin Ezkieta,0,0,20.67,45.97,1.5,30.21
7,,Manuel Fuster,0.3,0.15,33.83,74.13,12.23,52.33
8,,Pepelu,0.18,0.05,53.87,86.86,13.28,71.27
9,,Kelechi Nwakali,0.03,0.11,51.08,86.51,9.06,64.07
10,,José Antonio Caro,0,0,32.22,55.03,3.49,40.67
11,,Dani Cárdenas,0,0.03,27.88,70.89,1.85,43.93
12,,Nicolas Ratti,0,0,48.55,89.08,0.35,53.65
13,,Joni Montiel,0.41,0.08,26.85,81.38,10,61.67
14,,Alex Domínguez,0,0,28.88,71.43,0.63,36
15,,Mika Mármol,0.05,0.03,92.49,90.01,10.16,46.64
16,,Miguel Rubio,0.03,0.03,48.91,82.68,3.53,40.43
17,,Kirian Rodríguez,0.4,0.2,65.4,92.35,11.8,73.08
18,,Jorge Chanza,0,0,4,25,0,25
19,,Eric Curbelo,0.03,0.06,68.26,92.12,4.88,63.74
20,,Rubén Duarte,0.24,0.14,31.81,72.73,6.78,41.31
21,,Pedro Díaz,0.27,0.15,38.91,84.5,8.82,63.58
22,,Roberto López,0.28,0.1,29.83,78.54,8.35,59.46
23,,Raúl García,0.1,0.18,18.87,64.4,5.9,62.5
24,,Aarón Escandell,0,0,28.72,74.66,0.97,48.27
25,,Sandro Ramírez,0.24,0.14,19.24,87.13,8.19,85.71
26,,Myrto Uzuni,0.13,0.13,14.92,77.25,4.82,61.29
27,,Nacho Martínez,0.25,0.14,35.86,76.37,8.58,47.66
28,,José Callejón,0.29,0.21,26.9,80,8.93,57.14
