#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Josep Chavarría,0,1,0,0,0,0
2,,Andy Rodríguez,0,0.5,0,0,0,0
3,,Mario Garcia,0,0,0,0,0.67,0
4,,Jonathan Viera,0,0.25,0,0,0.66,0.09
5,,Pablo De Blasis,0,0.22,0,0,0.93,0.07
6,,Jokin Ezkieta,3.17,0.5,0,0,0.67,0.17
7,,Manuel Fuster,0,0.08,0,0,0.95,0.13
8,,Pepelu,0,0.36,0,0,0.59,0.1
9,,Kelechi Nwakali,0,0.14,0,0,0.83,0.14
10,,José Antonio Caro,3,0.46,0.12,0.05,0.61,0.1
11,,Dani Cárdenas,2.56,0.5,0.06,0.06,0.56,0.12
12,,Nicolas Ratti,2.45,0.45,0.15,0,0.75,0.05
13,,Joni Montiel,0,0.03,0,0,0.41,0.13
14,,Alex Domínguez,2.75,0.38,0.38,0.13,0.75,0
15,,Mika Mármol,0,0.3,0,0,0.68,0.05
16,,Miguel Rubio,0,0.5,0,0,0.44,0.13
17,,Kirian Rodríguez,0,0,0,0,0.4,0
18,,Jorge Chanza,1,0,0,0,0,0
19,,Eric Curbelo,0,0.5,0,0,0.5,0.06
20,,Rubén Duarte,0,0.32,0,0,0.59,0.11
21,,Pedro Díaz,0,0.09,0,0,0.97,0.18
22,,Roberto López,0,0,0,0,0.75,0.13
23,,Raúl García,0,0.15,0,0,0.97,0.21
24,,Aarón Escandell,3.03,0.36,0.17,0.03,0.97,0.06
25,,Sandro Ramírez,0,0.05,0,0,0.48,0
26,,Myrto Uzuni,0,0.26,0,0,0.47,0.16
27,,Nacho Martínez,0,0.19,0,0,0.69,0.11
28,,José Callejón,0,0.07,0,0,0.45,0.12
29,,José Ángel,0,0.21,0,0,0.85,0.15
30,,Enzo Loiodice,0,0.31,0,0,0.41,0.05
31,,Andrés Fernández,2.79,0.38,0.26,0.02,0.76,0.1
32,,Sergio Lozano,0,0.14,0,0,0.79,0.14
33,,Álvaro Valles,2.24,0.56,0.06,0,0.59,0.09
34,,Imanol García de Albéniz,0,0.33,0,0,0.52,0.07
35,,Álex Muñoz,0,0.35,0,0,0.44,0.09
36,,Carlos Izquierdoz,0,0.26,0,0,0.74,0.12
37,,Haitam Abaida,0,0,0,0,0.25,0
38,,Jair Amador,0,0.33,0,0,0.72,0.19
39,,Filip Jörgensen,2.73,0.36,0.09,0,0.82,0.18
40,,Anaitz Arbilla,0,0.34,0,0,0.66,0.14
41,,Francisco Villalba,0,0.12,0,0,0.62,0.06
42,,Rúben Vezo,0,0.33,0,0,0.59,0.07
43,,Luis Rioja,0,0.24,0,0,0.55,0.11
44,,David Costas,0,0.41,0,0,0.73,0.14
45,,Quentin Braat,2.38,0.42,0.08,0,0.58,0.12
46,,Cristian Álvarez,2.71,0.37,0.06,0,0.71,0.17
47,,Rubén Pardo,0,0.15,0,0,0.71,0.09
48,,Gabriel Fuentes,0,0.27,0,0,0.64,0.14
49,,Adria Miquel Bosch Sanchis,0,0,0,0,0,1
50,,Ibra,0,0,0,0,0,0
51,,Marc Aguado,0,0.28,0,0,0.56,0.06
52,,Adrián de la Fuente,0,0.26,0,0,1.03,0.2
53,,Matheus Pereira,0,0.33,0,0,0.69,0.08
54,,Curro,0,0.09,0,0,0.82,0.09
55,,Jonathan Dubasin,0,0.05,0,0,0.77,0.05
56,,Álvaro Tejero,0,0.26,0,0,0.63,0.14
57,,Sergi Cardona,0,0.41,0,0,0.51,0.08
58,,Iñigo Vicente,0,0.03,0,0,0.53,0.18
59,,Óscar Whalley,3.34,0.29,0.24,0.05,1.26,0.08
60,,Álvaro Rodríguez,0,0.23,0,0,0.77,0.09
61,,Pedro Alcalá,0,0.22,0,0,0.69,0.03
62,,Zé Ricardo,0,0.13,0,0,1,0.1
63,,Chris Ramos,0,0.13,0,0,1.08,0.13
64,,Enric Gallego,0,0.25,0,0,0.65,0.1
65,,Amir Abedzadeh,3.27,0.3,0.17,0.03,1.1,0.17
66,,Ignasi Miquel,0,0.45,0,0,0.45,0.06
67,,Dani Calvo,0,0.42,0,0,0.67,0.08
68,,Unai Elguezabal,0,0.46,0,0,0.69,0.08
69,,Marc Mateu,0,0.1,0,0,0.42,0.03
70,,Ager Aketxe,0,0,0,0,0.19,0
71,,Luismi,0,0.35,0,0,0.68,0.1
72,,Ángel Montoro,0,0.07,0,0,0.46,0.07
73,,Rubén Yáñez,2.66,0.34,0.03,0,0.79,0.1
74,,Raúl Fernández,2.26,0.48,0.1,0,0.52,0.1
75,,Yoel Rodríguez,2.64,0.36,0,0,0.82,0.18
76,,Alex Suárez,0,0.43,0,0,0.5,0.05
77,,Fran García Solsona,0,0.32,0,0,0.29,0.04
78,,German Parreño Boix,3.4,0.2,0,0,1.2,0.2
79,,José Gragera,0,0.24,0,0,0.47,0.12
80,,Iván Cuéllar,2.48,0.28,0.28,0.04,0.84,0.16
81,,Róber Pier,0,0.38,0,0,0.56,0.12
82,,Saúl Coco,0,0.42,0,0,0.56,0.08
83,,Carlos Nieto,0,0.29,0,0,0.75,0.17
84,,Peru Nolaskoain Esnal,0,0.25,0,0,0.47,0.06
85,,Bebé,0,0.13,0,0,0.69,0.13
86,,Carlos Vigaray,0,0,0,0,0,0
87,,Jeremy Mellot,0,0.22,0,0,0.68,0.1
88,,Daniel Fuzato,3.16,0.22,0.19,0.03,1.46,0.14
89,,Ricard Sánchez,0,0.36,0,0,0.45,0.12
90,,Fran Gámez,0,0.18,0,0,0.68,0.15
91,,José Ángel Jurado,0,0.19,0,0,0.48,0.07
92,,Álex Petxa,0,0.08,0,0,0.62,0.08
93,,César Gelabert,0,0.04,0,0,0.6,0.12
94,,Raúl Lizoain,2.19,0.38,0.19,0,0.75,0.13
95,,Alexandru Paşcanu,0,0.25,0,0,1.08,0.14
96,,Juanjo Nieto,0,0,0,0,0.17,0.17
97,,Dani Tasende,0,0.24,0,0,1,0.16
98,,Iván Gil,0,0.04,0,0,0.67,0
99,,Antonio Sivera,2.07,0.39,0.12,0.05,0.63,0.15
100,,José Campaña,0,0,0,0,0.29,0.14
101,,Luca Zidane,2.29,0.45,0.1,0,0.71,0.1
102,,Salva Sevilla,0,0.03,0,0,0.42,0.08
103,,Jordi Pola,0,0.29,0,0,0.29,0
104,,Lander Olaetxea,0,0.23,0,0,0.87,0.13
105,,Vicente Iborra,0,0.44,0,0,0.39,0.08
106,,Javier Ontiveros,0,0,0,0,0.48,0.12
107,,Alvaro Mantilla,0,0.21,0,0,0.43,0
108,,Giorgi Makaridze,3.29,0.29,0.29,0.14,1,0.29
109,,Alberto del Moral,0,0.32,0,0,1.03,0.16
110,,Nikola Šipčić,0,0.27,0,0,0.53,0.13
111,,Iker Undabarrena,0,0.12,0,0,0.73,0.09
112,,Pêpê,0,0.12,0,0,0.82,0.12
113,,Pablo Martínez,0,0.19,0,0,0.41,0.04
114,,Álex Gallar,0,0,0,0,0.74,0.05
115,,Kenneth Omeruo,0,0.18,0,0,0.82,0.14
116,,Carlos Neva,0,0.33,0,0,0.48,0.11
117,,Juergen Elitim,0,0.1,0,0,0.52,0.03
118,,Pejiño,0,0.03,0,0,0.39,0.06
119,,Juan Berrocal,0,0.45,0,0,0.61,0.06
120,,Tomeu Nadal,2.71,0.29,0.18,0,0.94,0.06
121,,Mamadou Fall,0,0.28,0,0,0.8,0.24
122,,Carlo Adriano García,0,0.2,0,0,0.94,0.17
123,,Aitor Sanz,0,0.08,0,0,0.68,0.14
