#,Team,Name
1,,Chris Brady
2,,David Bingham
3,,Pablo Sisniega
4,,Kendall Mcintosh
5,,Đorđe Petrović
6,,John McCarthy
7,,Andre Blake
8,,Stefan Cleveland
9,,Brad Stuver
10,,Dayne St. Clair
11,,Eloy Room
12,,Maarten Paes
13,,Aljaž Ivačič
14,,Sean Johnson
15,,Bill Hamid
16,,Steve Clark
17,,James Pantemis
18,,Joe Willis
19,,Zac MacMath
20,,Isaac Boehmer
21,,Roman Celentano
22,,Stefan Frei
23,,Drake Callender
24,,Gabriel Słonina
25,,Andrew Tarbell
26,,David Ochoa
27,,Kristijan Kahlina
28,,Alex Bono
29,,Maxime Crépeau
30,,Thomas Hasal
31,,William Yarbrough
32,,Jonathan Bond
33,,James Marcinkowski
34,,Carlos Coronel
35,,Tyler Miller
36,,Brad Guzan
37,,Quentin Westberg
38,,Alec Kann
39,,Matt Bersano
40,,Nick Marsman
41,,John Pulskamp
42,,Pedro Gallese
43,,Rafael Romo
44,,Rocco Rios Novo
45,,Ryan Meara
46,,Jon Kempin
47,,Sebastian Breza
48,,Cody Cropper
49,,Matt Turner
50,,Jimmy Maurer
51,,Timothy Melia
52,,Raúl Gudiño
53,,Mason Stajduhar
54,,Earl Edwards Jr.
55,,Brad Knighton
56,,Bobby Shuttleworth
57,,Spencer Richey
58,,Max Anchor
59,,Clement Diop
60,,Elliot Panicco
61,,George Marks
62,,Abraham Rodriguez
63,,Michael Nelson
