#,Team,Name,Appearances
1,,Lucas Zelarayán,29
2,,Carles Gil,33
3,,Hany Mukhtar,34
4,,Lorenzo Insigne,11
5,,Federico Bernardeschi,13
6,,Cucho Hernández,16
7,,Alex Monis,1
8,,Đorđe Mihailović,29
9,,Kai Wagner,36
10,,Jefferson Savarino,20
11,,Maxi Moralez,32
12,,Thiago Almada,29
13,,Valentin Castellanos,17
14,,Ryan Gauld,28
15,,Carlos Vela,35
16,,Simon Becher,1
17,,Chris Brady,1
18,,Emanuel Reynoso,30
19,,Adam Buksa,10
20,,Luciano Acosta,32
21,,Jesús Ferreira,35
22,,Gastón Brugman,16
23,,Diego Rubio,30
24,,David Bingham,2
25,,Erik Thommy,12
26,,Pablo Sisniega,2
27,,Kendall Mcintosh,2
28,,Alejandro Pozuelo,29
29,,Đorđe Petrović,21
30,,Brooks Lennon,25
31,,Mauricio Pereyra,33
32,,Riqui Puig,12
33,,Nicolás Lodeiro,28
34,,Sebastián Driussi,37
35,,Cecilio Domínguez,4
36,,Hassani Dotson,7
37,,Xherdan Shaqiri,29
38,,John McCarthy,2
39,,Domenico Criscito,15
40,,Gastón Giménez,22
41,,Cristian Espinoza,34
42,,Jonathan Osorio,23
43,,Alan Velasco,28
44,,Luiz Araújo,28
45,,Romell Quioto,31
46,,Denis Bouanga,10
47,,Gustavo Bou,19
48,,Brenner,31
49,,Pablo Ruiz,30
50,,Andre Blake,37
51,,Dániel Gazdag,37
52,,Diego Fagúndez,37
53,,William Agada,12
54,,Matthew Miazga,12
55,,Gonzalo Higuaín,29
56,,Brandon Bye,29
57,,Brandon Vazquez,35
58,,Jack Elliott,35
59,,Taxiarchis Fountas,21
60,,Alexander Callens,30
61,,Marky Delgado,31
62,,Mikael Uhre,30
63,,Teenage Hadebe,22
64,,João Paulo,6
65,,Karol Świderski,30
66,,Lewis Morgan,33
67,,Álvaro Barreal,34
68,,Jakob Glesnes,37
69,,John Tolkin,32
70,,Cristian Arango,37
71,,Walker Zimmerman,31
72,,Felipe Gutiérrez,12
73,,Cristian Roldán,26
74,,Javier Hernández,34
75,,Jeremy Ebobisse,34
76,,Diego Palacios,31
77,,Paul Arriola,34
78,,Darwin Quintero,31
79,,Sebastián Blanco,32
80,,Cristian Cásseres Jr.,27
81,,Claudio Bravo,26
82,,Santiago Rodríguez,35
83,,Rafael Czichos,26
84,,Santiago Moreno,34
85,,Stefan Cleveland,7
86,,Julián Carranza,34
87,,Facundo Torres,34
88,,Jean Mota,34
89,,Alejandro Bedoya,31
90,,Brad Stuver,34
91,,Obinna Nwobodo,26
92,,José Cifuentes,36
93,,Yeimar Gómez Andrade,28
94,,Marcelino Moreno,30
95,,Bryan Acosta,26
96,,Justin Meram,33
97,,Bill Tuiloma,30
98,,Gregore,31
99,,Talles Magno,35
100,,Alex Roldán,32
101,,Randall Leal,29
102,,Juan Sánchez Purata,17
103,,Wyatt Omsberg,14
104,,Alex De John,5
105,,Nathan Harriel,25
106,,Francisco Calvo,13
107,,Luis Amarilla,34
108,,Gabriel Pereira,29
109,,Julio Cascante,35
110,,Raúl Ruidíaz,18
111,,Daniel Lovitz,32
112,,Federico Navarro,30
113,,Jack Price,17
114,,Keaton Parks,21
115,,Frankie Amaya,25
116,,Alan Franco,31
117,,Robin Lod,31
118,,Kellyn Acosta,35
119,,Oskar Ågren,3
120,,Ján Greguš,27
121,,Nathan Cardoso,26
122,,Graham Zusi,21
123,,Jesús Murillo,32
124,,Julian Gressel,30
125,,Déiber Caicedo,16
126,,Alexandre Pato,22
127,,Jonathan Mensah,30
128,,Matt Hedges,30
129,,Aaron Herrera,27
130,,Michael Bradley,34
131,,Robbie Robinson,8
132,,Andrés Cubas,18
133,,Dave Romney,32
134,,Justen Glad,27
135,,Henry Kessler,22
136,,Antônio Carlos,22
137,,Darlington Nagbe,34
138,,Johnny Russell,33
139,,Santiago Sosa,21
140,,Jamiro Monteiro,31
141,,Dayne St. Clair,33
142,,Marcelo Silva,32
143,,Dániel Sallói,29
144,,Pedro Santos,29
145,,Yimmi Chará,34
146,,Eloy Room,34
147,,Shaq Moore,12
148,,Giorgio Chiellini,13
149,,Andrew Brody,35
150,,Olivier Mbaizo,22
151,,Lalas Abubakar,32
152,,Victor Wanyama,34
153,,Jordan Morris,29
154,,João Moutinho,29
155,,Maarten Paes,34
156,,Daniel Steres,18
157,,Daniel Edelman,17
158,,Diego Chará,28
159,,Maxime Chanot,24
160,,Víctor Vázquez,27
161,,Robin Jansson,22
162,,Guzmán Corujo,25
163,,Damion Lowe,29
164,,Adilson Malanda,6
165,,Marlon Hairston,3
166,,Charles Sapong,34
167,,Alistair Johnston,35
168,,Albert Rusnák,32
169,,Aljaž Ivačič,32
170,,Josef Martínez,26
171,,Gabriele Corbo,14
172,,Gyasi Zardes,33
173,,Sean Johnson,37
174,,Daniel Rios,27
175,,Damir Kreilach,5
176,,Sean Zawadzki,5
177,,Douglas Costa,29
178,,Kacper Przybyłko,25
179,,Carlos Teran,22
180,,Kei Kamara,34
181,,Leonardo Campana,26
182,,Jhon Durán,27
183,,Matt Polster,28
184,,Thiago Martins,29
185,,Bill Hamid,10
186,,Steve Clark,33
187,,Rémi Walter,34
188,,Andrew Gutman,25
189,,Facundo Quignon,27
190,,Júnior Moreno,29
191,,José Martínez,33
192,,Lassi Lappalainen,30
193,,Ranko Veselinović,31
194,,Ilie Sánchez,36
195,,Bernard Kamungo,1
196,,Harvey Neville,1
197,,James Pantemis,13
198,,Joe Willis,33
199,,Andreu Fontàs,28
200,,Sean Davis,35
201,,Nicolás Acevedo,34
202,,Steve Birnbaum,32
203,,Mamadou Fall,16
204,,Rayan Raveloson,22
205,,Emiliano Rigoni,10
206,,Zac MacMath,35
207,,Mark-Anthony Kaye,25
208,,Sebastián Ferreira,31
209,,Aimé Mabika,16
210,,Zachary Brault Guillard,19
211,,Dylan Borrero,12
212,,Ismael Tajouri-Shradi,6
213,,Alfredo Morales,24
214,,Sergio Córdova,34
215,,Yuya Kubo,28
216,,Luquinhas,31
217,,Kamal Miller,29
218,,Kervin Arriaga,25
219,,Derrick Etienne Junior,33
220,,Franco Fragapane,31
221,,Adalberto Carrasquilla,31
222,,Fredy Montero,26
223,,Miguel Navarro,25
224,,Tommy McNamara,33
225,,Keegan Rosenberry,34
226,,Fafà Picault,30
227,,Kwadwo Opoku,37
228,,Bryan Oviedo,7
229,,Paxton Pomykal,35
230,,Róger Espinoza,30
231,,Nouhou Tolo,30
232,,Kerwin Calderón Vargas,13
233,,Julian Araujo,35
234,,Jack McGlynn,26
235,,Erik Godoy,6
236,,Washington Corozo,3
237,,Isaac Boehmer,3
238,,Sebastian Berhalter,18
239,,César Araújo,32
240,,Sebastian Lletget,31
241,,Cory Burke,36
242,,Josh Williams,23
243,,D.J. Taylor,27
244,,Lucas Cavallini,24
245,,Zac McGraw,22
246,,Dejan Joveljić,34
247,,Jarosław Niezgoda,30
248,,Zarek Valentin,5
249,,Javain Brown,27
250,,DeJuan Jones,31
251,,Andrew Farrell,32
252,,Jaylin Lindsey,26
253,,Matko Miljevic,22
254,,Roman Celentano,29
255,,José Antonio Martinez,33
256,,Martín Cáceres,8
257,,Stuart Findlay,4
258,,George Campbell,20
259,,Ismael Koné,28
260,,Jesús Jiménez,33
261,,Tom Edwards,20
262,,Cristhian Paredes,27
