#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Lucas Zelarayán,0.34,0.03,55.48,2.93,0,0.31
2,,Carles Gil,0.21,0.24,60.42,2.09,0,0
3,,Hany Mukhtar,0.68,0.41,41.18,3.74,0.09,0.18
4,,Lorenzo Insigne,0.55,0.45,46.15,4.45,0,0
5,,Federico Bernardeschi,0.62,0.15,48.28,3.08,0,0
6,,Cucho Hernández,0.56,0.19,50,5.5,0.19,0
7,,Alex Monis,1,0,0,1,0,0
8,,Đorđe Mihailović,0.38,0.03,61.4,1.59,0.03,0
9,,Kai Wagner,0,0,50,0.42,0,0
10,,Jefferson Savarino,0.35,0.1,64.71,2.9,0.05,0
11,,Maxi Moralez,0.16,0.13,74.07,1.5,0,0
12,,Thiago Almada,0.21,0.1,73.47,2.66,0,0
13,,Valentin Castellanos,0.76,0.71,48.39,4.76,0.06,0
14,,Ryan Gauld,0.29,0.11,61.22,2.68,0,0
15,,Carlos Vela,0.34,0.2,41.94,2.03,0,0
16,,Simon Becher,1,0,0,1,0,0
17,,Chris Brady,0,0,0,0,0,0
18,,Emanuel Reynoso,0.37,0.13,57.14,2.63,0,0
19,,Adam Buksa,0.7,0.1,71.43,3.4,0.4,0
20,,Luciano Acosta,0.34,0.31,49.64,2.09,0,0
21,,Jesús Ferreira,0.51,0.4,56.1,2.57,0.06,1.14
22,,Gastón Brugman,0.19,0,60.87,1.06,0,0
23,,Diego Rubio,0.53,0.23,65.22,3.1,0.1,0.74
24,,David Bingham,0,0,0,0,0,0
25,,Erik Thommy,0.25,0.08,68,3.17,0,0
26,,Pablo Sisniega,0,0,0,0,0,0
27,,Kendall Mcintosh,0,0,0,0,0,0
28,,Alejandro Pozuelo,0.21,0.14,59.2,1.17,0,0
29,,Đorđe Petrović,0,0,0,0,0,0
30,,Brooks Lennon,0.08,0.2,45.83,0.68,0,2
31,,Mauricio Pereyra,0.03,0.03,58.62,1,0,0.61
32,,Riqui Puig,0.25,0.08,54.55,2.58,0,0
33,,Nicolás Lodeiro,0.25,0.07,43.48,1.43,0,0
34,,Sebastián Driussi,0.68,0.3,50,3.05,0.08,0
35,,Cecilio Domínguez,0.5,0.5,42.86,2.25,0,0
36,,Hassani Dotson,0.14,0,68.75,0.43,0,0
37,,Xherdan Shaqiri,0.24,0,53.19,1.76,0,0
38,,John McCarthy,0,0,0,0,0,0
39,,Domenico Criscito,0.07,0,63.64,1.13,0,0
40,,Gastón Giménez,0,0,70,1.32,0,0
41,,Cristian Espinoza,0.21,0.06,45.88,2.15,0,0
42,,Jonathan Osorio,0.39,0.04,56.86,1.09,0,0
43,,Alan Velasco,0.25,0.04,42.99,2.21,0,0.79
44,,Luiz Araújo,0.14,0.21,63.16,3.5,0,0
45,,Romell Quioto,0.48,0.23,55.36,2.45,0.03,0.65
