#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Lucas Zelarayán,1.07,0.52,0,0.03,0,0.52
2,,Carles Gil,0.52,0.27,0,0.12,0,0.73
3,,Hany Mukhtar,0.41,0.18,0,0.12,0,0.59
4,,Lorenzo Insigne,0.82,0.82,0,0,0,0.45
5,,Federico Bernardeschi,1,0,0,0.15,0,0.85
6,,Cucho Hernández,0.75,0.06,0,0.31,0,0.44
7,,Alex Monis,0,0,0,0,0,0
8,,Đorđe Mihailović,1.28,0.41,0,0.34,0,0.66
9,,Kai Wagner,1.39,1.69,0.06,1.64,0,0.67
10,,Jefferson Savarino,0.65,0.3,0,0.1,0,0.2
11,,Maxi Moralez,1.66,0.41,0,0.28,0,0.97
12,,Thiago Almada,0.79,0.45,0,0.07,0,0.69
13,,Valentin Castellanos,0.41,0.35,0,0.94,0,0.76
14,,Ryan Gauld,1.43,0.86,0,0.36,0,0.86
15,,Carlos Vela,0.63,0.23,0,0.26,0,0.46
16,,Simon Becher,0,0,0,0,0,0
17,,Chris Brady,0,0,0,0,0,1
18,,Emanuel Reynoso,1.13,0.43,0,0.07,0,1.43
19,,Adam Buksa,0.5,0,0,1.2,0,0.4
20,,Luciano Acosta,1.56,0.28,0,0.13,0,1.38
21,,Jesús Ferreira,0.74,0.46,0,0.66,0,0.49
22,,Gastón Brugman,2.88,1.25,0,0.75,0,1.31
23,,Diego Rubio,0.8,0.3,0,1,0,0.6
24,,David Bingham,0,0,0,1,0,0
25,,Erik Thommy,1,0.42,0,0.17,0,0.83
26,,Pablo Sisniega,0,0,0,0.5,0,0
27,,Kendall Mcintosh,0,0,0,2,0,0
28,,Alejandro Pozuelo,1.48,0.24,0,0.17,0,0.79
29,,Đorđe Petrović,0.05,0,0,0.86,0.05,0.05
30,,Brooks Lennon,1.36,0.28,0,1.36,0,0.48
31,,Mauricio Pereyra,1.82,0.85,0,0.33,0,1.21
32,,Riqui Puig,0.92,0.75,0,0.08,0,1.33
33,,Nicolás Lodeiro,1.14,0.5,0,0.43,0,1.43
34,,Sebastián Driussi,0.86,0.3,0,0.97,0,0.78
35,,Cecilio Domínguez,1.25,0.25,0,0.75,0,0.5
36,,Hassani Dotson,2,0.86,0.14,2.14,0,0.43
37,,Xherdan Shaqiri,0.62,0.1,0,0.07,0,0.34
38,,John McCarthy,0,0,0,2.5,0,0
