#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Lucas Zelarayán,0.1,0,33.33,52.65,2.69,0.83
2,,Carles Gil,0.09,0,28.57,60.63,2.67,0.33
3,,Hany Mukhtar,0.12,0,36.36,43.21,2.15,0.68
4,,Lorenzo Insigne,0.09,0,50,46.34,0.91,0.45
5,,Federico Bernardeschi,0.38,0,33.33,44.76,1.54,0.92
6,,Cucho Hernández,0.19,0,37.5,44.76,1.5,0.75
7,,Alex Monis,0,0,0,0,0,0
8,,Đorđe Mihailović,0.24,0,26.92,51.24,1.55,0.79
9,,Kai Wagner,0.14,0.03,71.67,58.85,0.83,1.08
10,,Jefferson Savarino,0.1,0,13.33,49.18,0.6,0.25
11,,Maxi Moralez,0.16,0,28,59,2.31,1.03
12,,Thiago Almada,0.14,0.03,20,50.79,1.07,0.62
13,,Valentin Castellanos,0.53,0,49.48,41.1,1.18,1.82
14,,Ryan Gauld,0.21,0,41.67,51.49,1.32,0.93
15,,Carlos Vela,0.11,0,34,43.12,1.54,1
16,,Simon Becher,0,0,0,0,0,0
17,,Chris Brady,0,0,0,0,0,0
18,,Emanuel Reynoso,0.33,0,29.79,46.18,2.73,1.67
19,,Adam Buksa,0.1,0.1,54.93,47.55,1.4,1.8
20,,Luciano Acosta,0.22,0.03,14.29,43.56,2.06,1.75
21,,Jesús Ferreira,0.14,0,8.57,37.87,0.34,0.6
22,,Gastón Brugman,0.25,0,75,57.64,1.06,1.31
23,,Diego Rubio,0.27,0.03,55.88,56.16,2.53,1.17
24,,David Bingham,0,0,100,100,0,0
25,,Erik Thommy,0.08,0,37.5,49.07,1.75,0.83
26,,Pablo Sisniega,0,0,100,100,1,0
27,,Kendall Mcintosh,0,0,100,100,0,0
28,,Alejandro Pozuelo,0.17,0.03,17.39,50.89,1.72,0.93
29,,Đorđe Petrović,0,0,100,87.5,0.05,0
30,,Brooks Lennon,0.04,0,38,49.02,0.44,0.56
31,,Mauricio Pereyra,0.18,0,35.29,50.84,1.94,1.27
32,,Riqui Puig,0.17,0,28.57,54.7,2.75,0.58
33,,Nicolás Lodeiro,0.21,0,42.42,46.67,2.39,1
34,,Sebastián Driussi,0.19,0,42.11,45.34,1.62,1.16
