#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Lucas Zelarayán,0.41,0.24,39.66,78.87,16.83,66.19
2,,Carles Gil,0.48,0.27,61.15,82.46,21.48,65.18
3,,Hany Mukhtar,0.26,0.21,27.38,79.48,8.74,56.86
4,,Lorenzo Insigne,0.45,0.18,53,80.96,18,71.93
5,,Federico Bernardeschi,0.31,0.15,27.69,72.5,11.23,60.47
6,,Cucho Hernández,0.06,0.13,29.75,72.06,11.06,66.67
7,,Alex Monis,0,0,0,0,0,0
8,,Đorđe Mihailović,0.24,0.17,33.07,82.59,10,65.33
9,,Kai Wagner,0.39,0.25,37.06,74.44,6.78,52.44
10,,Jefferson Savarino,0.35,0.25,24.5,82.86,9.4,67.57
11,,Maxi Moralez,0.28,0.19,55.09,82.08,17.13,63.45
12,,Thiago Almada,0.31,0.24,53.93,85.93,18.31,72.41
13,,Valentin Castellanos,0.35,0.12,24.18,64.23,8.47,31.58
14,,Ryan Gauld,0.25,0.18,30.54,79.3,11.71,49.23
15,,Carlos Vela,0.34,0.34,29.29,78.54,11.89,73.4
16,,Simon Becher,0,0,1,100,0,0
17,,Chris Brady,0,0,31,54.84,1,27.78
18,,Emanuel Reynoso,0.43,0.2,44.63,76.33,18.53,66.88
19,,Adam Buksa,0.2,0.2,16.4,71.95,4.6,83.33
20,,Luciano Acosta,0.59,0.41,40.72,73.6,15.25,49.11
21,,Jesús Ferreira,0.29,0.17,24.46,76.05,7.29,48.98
22,,Gastón Brugman,0.19,0.06,68.75,87.91,12.94,71.95
23,,Diego Rubio,0.27,0.17,27.23,72.09,9.03,57.89
24,,David Bingham,0,0,32.5,38.46,1,23.53
25,,Erik Thommy,0,0.08,34.92,88.31,11.5,84.78
26,,Pablo Sisniega,0,0,32,62.5,1.5,47.83
27,,Kendall Mcintosh,0,0,15,76.67,0.5,41.67
28,,Alejandro Pozuelo,0.55,0.28,51.52,84.67,18.07,49.28
29,,Đorđe Petrović,0,0,25.33,63.53,0.43,28.89
30,,Brooks Lennon,0.36,0.24,38.28,85.89,9.44,42.62
31,,Mauricio Pereyra,0.27,0.24,47.3,82.83,17.09,67.5
32,,Riqui Puig,0.17,0.17,69.92,91.18,22.33,85
33,,Nicolás Lodeiro,0.36,0.25,62.39,84.66,20.68,58.33
34,,Sebastián Driussi,0.27,0.14,37.24,78.81,10.89,59.68
35,,Cecilio Domínguez,0.25,0,21.75,83.91,6.5,50
36,,Hassani Dotson,0.14,0.29,42,75.85,7.29,53.13
37,,Xherdan Shaqiri,0.38,0.21,38,77.59,14.31,60
38,,John McCarthy,0,0,12.5,64,0.5,25
39,,Domenico Criscito,0.07,0,49.53,83.04,11.33,53.85
40,,Gastón Giménez,0.09,0.09,40.73,83.82,7.64,65.85
41,,Cristian Espinoza,0.38,0.26,29.59,84.69,11.06,70.15
42,,Jonathan Osorio,0.04,0.17,49.04,90.69,14.78,72.34
43,,Alan Velasco,0.25,0.18,26.04,78.46,8.39,73.68
44,,Luiz Araújo,0.18,0.18,29.14,78.06,10.86,66.28
45,,Romell Quioto,0.39,0.16,15.65,73.81,5.1,66.67
46,,Denis Bouanga,0.3,0,23.7,72.57,7.5,73.33
47,,Gustavo Bou,0.16,0.11,23.53,70.47,8.68,61.4
48,,Brenner,0.1,0.19,22,84.02,7.74,77.27
49,,Pablo Ruiz,0.3,0.13,44.83,85.13,10.3,66.4
50,,Andre Blake,0,0,24.11,59.53,0.68,38.28
51,,Dániel Gazdag,0.3,0.16,31.62,74.36,11.16,39.24
52,,Diego Fagúndez,0.38,0.35,29.51,83.88,12.35,50.82
53,,William Agada,0,0.17,12.17,78.08,3.58,62.5
54,,Matthew Miazga,0.17,0,38.25,78.43,2.67,54.43
55,,Gonzalo Higuaín,0.28,0.1,16.38,78.11,4.52,66.04
56,,Brandon Bye,0.21,0.24,40.34,78.12,7.31,38.16
57,,Brandon Vazquez,0.2,0.23,18.51,66.98,5.17,68.63
58,,Jack Elliott,0.03,0.03,38.77,75.83,2.51,42.01
59,,Taxiarchis Fountas,0.14,0.05,15.48,72.62,4.76,50
60,,Alexander Callens,0.03,0.03,57.37,88.09,5.1,44.12
61,,Marky Delgado,0.06,0.06,66.87,88.57,17.71,74.15
62,,Mikael Uhre,0.2,0.13,10.8,61.73,4.07,62.5
63,,Teenage Hadebe,0.05,0,51.73,88.66,2.82,42.64
64,,João Paulo,0.17,0,57.83,81.84,10.83,52.83
65,,Karol Świderski,0.17,0.13,19.47,73.12,5.47,50
66,,Lewis Morgan,0.21,0.09,21.33,67.47,7.33,35.53
67,,Álvaro Barreal,0.21,0.15,30,77.25,7.85,42.47
68,,Jakob Glesnes,0.11,0.08,35.7,81.83,3.41,52.29
69,,John Tolkin,0.06,0.09,31.72,70.34,7.09,35.56
70,,Cristian Arango,0.22,0.11,13.68,67,4.51,50
71,,Walker Zimmerman,0.1,0.03,48.55,83.12,3.71,54.08
72,,Felipe Gutiérrez,0.08,0.17,41,84.35,9,67.07
73,,Cristian Roldán,0.19,0.15,41.62,81.89,12.81,62.11
74,,Javier Hernández,0.09,0.06,18.85,76.76,6.38,70
75,,Jeremy Ebobisse,0.09,0.06,19.71,82.24,6.47,70.21
76,,Diego Palacios,0.26,0.16,47.65,84.43,12.39,61.03
77,,Paul Arriola,0.41,0.15,24.35,74.15,8.79,40.91
78,,Darwin Quintero,0.35,0.1,26.61,74.55,11.26,60.22
79,,Sebastián Blanco,0.31,0.22,27.63,73.64,9.5,49.02
80,,Cristian Cásseres Jr.,0.15,0.15,34.19,72.48,8.67,48.1
81,,Claudio Bravo,0.15,0.08,45,77.86,10.12,42.86
82,,Santiago Rodríguez,0.54,0.4,36.03,83.35,13.77,79.66
83,,Rafael Czichos,0.04,0,47.58,82.46,3.5,47.67
84,,Santiago Moreno,0.38,0.18,31.32,80.19,10.26,62.82
85,,Stefan Cleveland,0,0,27.71,72.68,0.29,37.8
86,,Julián Carranza,0.15,0.21,19.56,73.68,6,53.33
87,,Facundo Torres,0.24,0.24,35.97,83.65,14.79,40.54
88,,Jean Mota,0.15,0.06,51.44,85.93,10.85,68.72
89,,Alejandro Bedoya,0.26,0.19,34.97,74.72,10.97,47.92
90,,Brad Stuver,0,0,32.71,73.2,0.79,39.2
91,,Obinna Nwobodo,0.08,0.08,45.88,84.66,9.46,57.89
92,,José Cifuentes,0.31,0.17,34.72,80.4,11.44,56
93,,Yeimar Gómez Andrade,0,0,48.36,84.42,3.21,50.3
94,,Marcelino Moreno,0.33,0.17,28.2,81.32,11.53,55
95,,Bryan Acosta,0.19,0.08,33.12,85.02,5.46,66.67
96,,Justin Meram,0.36,0.18,27.55,83.83,9.52,70.31
97,,Bill Tuiloma,0.07,0.07,37.67,83.54,3.93,49.5
98,,Gregore,0.03,0.06,55.45,87.14,12.06,69.41
99,,Talles Magno,0.23,0.23,27.34,80.98,10.4,50
100,,Alex Roldán,0.19,0.13,47.66,85.25,10.94,55.56
101,,Randall Leal,0.28,0.17,27.9,78,8.48,58.57
102,,Juan Sánchez Purata,0,0,47.47,83.27,2.35,40.22
103,,Wyatt Omsberg,0.07,0,43.43,72.86,2.36,30.87
104,,Alex De John,0,0,56.4,87.23,4.2,59.09
105,,Nathan Harriel,0,0,23.32,67.58,4.76,21.88
106,,Francisco Calvo,0.08,0,71.77,83.49,5.92,48.91
107,,Luis Amarilla,0.15,0.12,18.44,73.05,5.47,64.29
108,,Gabriel Pereira,0.14,0.1,18.17,80.27,6.31,55.56
109,,Julio Cascante,0.03,0.06,57.23,84.67,6.46,56.99
110,,Raúl Ruidíaz,0.17,0.06,18.61,79.4,4.89,75
111,,Daniel Lovitz,0.03,0.13,37.69,76.95,7.63,49.32
112,,Federico Navarro,0.03,0.07,40.7,85.67,7.63,63.03
113,,Jack Price,0.18,0.06,42.24,89.55,8.41,70.13
114,,Keaton Parks,0.1,0,34.1,88.69,7.67,80.7
115,,Frankie Amaya,0.04,0.12,31.64,78.26,8.52,44.33
116,,Alan Franco,0.03,0.06,61.74,89.66,4.16,60.71
117,,Robin Lod,0.06,0.06,31.39,86.13,10.13,78.72
118,,Kellyn Acosta,0.2,0.11,39.49,85.17,12.03,56.32
119,,Oskar Ågren,0,0,57,91.81,2.67,62.5
