#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Lucas Zelarayán,0,0.14,0,0,1,0.14
2,,Carles Gil,0,0.27,0,0,1.27,0.18
3,,Hany Mukhtar,0,0.15,0,0,0.94,0.21
4,,Lorenzo Insigne,0,0.09,0,0,1.18,0.45
5,,Federico Bernardeschi,0,0.08,0,0,1.62,0.46
6,,Cucho Hernández,0,0.19,0,0,0.88,0.25
7,,Alex Monis,0,0,0,0,0,0
8,,Đorđe Mihailović,0,0.03,0,0,1.1,0.1
9,,Kai Wagner,0,0.42,0,0,0.64,0.14
10,,Jefferson Savarino,0,0.1,0,0,0.95,0.1
11,,Maxi Moralez,0,0.09,0,0,0.88,0.16
12,,Thiago Almada,0,0.1,0,0,1.28,0.14
13,,Valentin Castellanos,0,0.29,0,0,0.82,0.06
14,,Ryan Gauld,0,0.14,0,0,1.18,0.25
15,,Carlos Vela,0,0.03,0,0,0.83,0.09
16,,Simon Becher,0,0,0,0,0,0
17,,Chris Brady,4,0,0,0,1,0
18,,Emanuel Reynoso,0,0.03,0,0,1,0.27
19,,Adam Buksa,0,0.1,0,0,1.1,0.2
20,,Luciano Acosta,0,0.06,0,0,1.25,0.28
21,,Jesús Ferreira,0,0.06,0,0,0.71,0.17
22,,Gastón Brugman,0,0.06,0,0,1.31,0
23,,Diego Rubio,0,0.1,0,0,1.27,0.13
24,,David Bingham,5,0,0,0,1,0.5
25,,Erik Thommy,0,0,0,0,0.67,0.17
26,,Pablo Sisniega,4,0.5,0,0,0.5,0.5
27,,Kendall Mcintosh,4,0.5,0,0,0.5,0.5
28,,Alejandro Pozuelo,0,0.03,0,0,1.52,0.24
29,,Đorđe Petrović,4.05,0.33,0.57,0.19,1.14,0.14
30,,Brooks Lennon,0,0.16,0,0,1.28,0.12
31,,Mauricio Pereyra,0,0.03,0,0,1.12,0.24
32,,Riqui Puig,0,0.08,0,0,1.33,0.08
33,,Nicolás Lodeiro,0,0.14,0,0,1,0.21
34,,Sebastián Driussi,0,0.11,0,0,1.24,0.14
35,,Cecilio Domínguez,0,0,0,0,0.75,0
36,,Hassani Dotson,0,0.29,0,0,0.71,0.14
37,,Xherdan Shaqiri,0,0.21,0,0,1.1,0.17
38,,John McCarthy,2.5,0,1,0,1.5,0
39,,Domenico Criscito,0,0.13,0,0,1,0.33
40,,Gastón Giménez,0,0.23,0,0,1.09,0.05
41,,Cristian Espinoza,0,0.09,0,0,1.47,0.32
42,,Jonathan Osorio,0,0.09,0,0,1.26,0.17
43,,Alan Velasco,0,0,0,0,0.57,0.18
44,,Luiz Araújo,0,0,0,0,1.25,0.18
45,,Romell Quioto,0,0.06,0,0,0.84,0.23
46,,Denis Bouanga,0,0.1,0,0,1,0.2
47,,Gustavo Bou,0,0.16,0,0,1.05,0.11
48,,Brenner,0,0.03,0,0,0.84,0.26
49,,Pablo Ruiz,0,0.2,0,0,1.1,0.17
50,,Andre Blake,3.05,0.43,0.14,0.03,0.68,0.14
51,,Dániel Gazdag,0,0.24,0,0,0.68,0.11
52,,Diego Fagúndez,0,0.11,0,0,1.08,0.11
53,,William Agada,0,0.25,0,0,0.67,0.25
54,,Matthew Miazga,0,0.08,0,0,0.75,0.42
55,,Gonzalo Higuaín,0,0.03,0,0,1.24,0.1
56,,Brandon Bye,0,0.24,0,0,1.24,0.17
57,,Brandon Vazquez,0,0.06,0,0,1.2,0.29
58,,Jack Elliott,0,0.43,0,0,0.66,0.11
59,,Taxiarchis Fountas,0,0,0,0,1.48,0.33
60,,Alexander Callens,0,0.43,0,0,0.87,0.13
61,,Marky Delgado,0,0.23,0,0,1.26,0.13
62,,Mikael Uhre,0,0,0,0,0.37,0.07
63,,Teenage Hadebe,0,0.18,0,0,1.27,0.09
64,,João Paulo,0,0,0,0,0.83,0.33
65,,Karol Świderski,0,0.03,0,0,1.13,0.23
66,,Lewis Morgan,0,0.09,0,0,0.85,0.15
67,,Álvaro Barreal,0,0.03,0,0,0.85,0.26
68,,Jakob Glesnes,0,0.43,0,0,0.68,0.14
69,,John Tolkin,0,0.19,0,0,0.94,0.19
70,,Cristian Arango,0,0.11,0,0,0.76,0.11
71,,Walker Zimmerman,0,0.16,0,0,1,0.16
72,,Felipe Gutiérrez,0,0.08,0,0,1.25,0.17
73,,Cristian Roldán,0,0.12,0,0,1.08,0.19
74,,Javier Hernández,0,0.09,0,0,1.06,0.09
75,,Jeremy Ebobisse,0,0.09,0,0,1.44,0.29
76,,Diego Palacios,0,0.26,0,0,1,0.16
77,,Paul Arriola,0,0.09,0,0,0.79,0.24
78,,Darwin Quintero,0,0,0,0,0.94,0.03
79,,Sebastián Blanco,0,0,0,0,0.91,0.06
80,,Cristian Cásseres Jr.,0,0.15,0,0,0.89,0.19
81,,Claudio Bravo,0,0.19,0,0,1.12,0.27
82,,Santiago Rodríguez,0,0.17,0,0,0.86,0.14
83,,Rafael Czichos,0,0.38,0,0,1.15,0.19
84,,Santiago Moreno,0,0.09,0,0,0.91,0.26
85,,Stefan Cleveland,4,0.14,0,0,1,0.14
86,,Julián Carranza,0,0.09,0,0,0.62,0.12
87,,Facundo Torres,0,0.03,0,0,1.06,0.21
88,,Jean Mota,0,0.06,0,0,1.38,0.15
89,,Alejandro Bedoya,0,0.19,0,0,0.58,0.06
90,,Brad Stuver,3.32,0.24,0.24,0.06,1.35,0.06
91,,Obinna Nwobodo,0,0.15,0,0,1.08,0.35
92,,José Cifuentes,0,0.11,0,0,0.83,0.11
93,,Yeimar Gómez Andrade,0,0.11,0,0,1.14,0.25
94,,Marcelino Moreno,0,0.1,0,0,1,0.13
95,,Bryan Acosta,0,0.15,0,0,1.15,0.12
96,,Justin Meram,0,0.06,0,0,0.97,0.09
97,,Bill Tuiloma,0,0.17,0,0,0.97,0.27
98,,Gregore,0,0.19,0,0,1.65,0.1
99,,Talles Magno,0,0.14,0,0,0.86,0.14
100,,Alex Roldán,0,0.16,0,0,1,0.22
101,,Randall Leal,0,0,0,0,0.79,0.07
102,,Juan Sánchez Purata,0,0.18,0,0,1.18,0.24
103,,Wyatt Omsberg,0,0.36,0,0,1.21,0
104,,Alex De John,0,0,0,0,1.6,0
105,,Nathan Harriel,0,0.28,0,0,0.68,0
106,,Francisco Calvo,0,0.08,0,0,1.92,0.31
107,,Luis Amarilla,0,0.03,0,0,1,0.21
108,,Gabriel Pereira,0,0.03,0,0,0.62,0.14
109,,Julio Cascante,0,0.11,0,0,1.31,0.14
110,,Raúl Ruidíaz,0,0,0,0,0.94,0.22
111,,Daniel Lovitz,0,0.22,0,0,0.97,0.22
112,,Federico Navarro,0,0.27,0,0,1.2,0.13
113,,Jack Price,0,0.06,0,0,1.06,0.18
114,,Keaton Parks,0,0.14,0,0,0.67,0
115,,Frankie Amaya,0,0.16,0,0,0.8,0.08
116,,Alan Franco,0,0.16,0,0,1.45,0.19
117,,Robin Lod,0,0.1,0,0,1,0.23
118,,Kellyn Acosta,0,0.17,0,0,0.91,0.14
119,,Oskar Ågren,0,0,0,0,0.67,0.33
120,,Ján Greguš,0,0.07,0,0,1.11,0.22
121,,Nathan Cardoso,0,0.15,0,0,1.58,0.31
122,,Graham Zusi,0,0.19,0,0,1.24,0.14
123,,Jesús Murillo,0,0.22,0,0,0.84,0.16
124,,Julian Gressel,0,0.07,0,0,1.43,0.33
125,,Déiber Caicedo,0,0,0,0,0.88,0.06
126,,Alexandre Pato,0,0.05,0,0,0.82,0.23
127,,Jonathan Mensah,0,0.27,0,0,0.97,0.13
128,,Matt Hedges,0,0.23,0,0,0.73,0.17
129,,Aaron Herrera,0,0.26,0,0,1.22,0.15
130,,Michael Bradley,0,0.09,0,0,1.62,0.32
131,,Robbie Robinson,0,0.13,0,0,0.88,0
132,,Andrés Cubas,0,0.17,0,0,0.83,0.28
133,,Dave Romney,0,0.22,0,0,1,0.22
134,,Justen Glad,0,0.33,0,0,0.96,0.07
135,,Henry Kessler,0,0.32,0,0,1.05,0.09
136,,Antônio Carlos,0,0.23,0,0,1.18,0.14
137,,Darlington Nagbe,0,0.21,0,0,1,0.18
138,,Johnny Russell,0,0.09,0,0,1.18,0.15
139,,Santiago Sosa,0,0.14,0,0,0.86,0.19
140,,Jamiro Monteiro,0,0.1,0,0,1.45,0.26
141,,Dayne St. Clair,3.55,0.15,0.15,0.06,1.21,0.27
142,,Marcelo Silva,0,0.31,0,0,1.09,0.16
143,,Dániel Sallói,0,0.21,0,0,1.38,0.14
144,,Pedro Santos,0,0.21,0,0,0.97,0.14
145,,Yimmi Chará,0,0.06,0,0,1.09,0.24
146,,Eloy Room,3.09,0.26,0.12,0,1.03,0.18
147,,Shaq Moore,0,0.17,0,0,0.92,0.17
148,,Giorgio Chiellini,0,0.08,0,0,0.46,0.15
149,,Andrew Brody,0,0.26,0,0,1.09,0.14
150,,Olivier Mbaizo,0,0.23,0,0,0.36,0.23
151,,Lalas Abubakar,0,0.22,0,0,1.09,0.19
152,,Victor Wanyama,0,0.24,0,0,1.12,0.21
153,,Jordan Morris,0,0.03,0,0,1,0.21
154,,João Moutinho,0,0.28,0,0,1.31,0.21
155,,Maarten Paes,2.85,0.24,0.18,0.06,0.88,0.21
156,,Daniel Steres,0,0.06,0,0,1.44,0.06
157,,Daniel Edelman,0,0.12,0,0,0.88,0.18
158,,Diego Chará,0,0.14,0,0,1.25,0.21
159,,Maxime Chanot,0,0.21,0,0,0.83,0.13
160,,Víctor Vázquez,0,0,0,0,0.78,0.15
161,,Robin Jansson,0,0.27,0,0,1.18,0.23
162,,Guzmán Corujo,0,0.24,0,0,1.04,0.2
163,,Damion Lowe,0,0.21,0,0,1.31,0.17
164,,Adilson Malanda,0,0.33,0,0,1,0.33
165,,Marlon Hairston,0,0,0,0,0,0
166,,Charles Sapong,0,0.06,0,0,0.76,0.18
167,,Alistair Johnston,0,0.17,0,0,1.11,0.23
168,,Albert Rusnák,0,0.03,0,0,1.09,0.16
169,,Aljaž Ivačič,3.5,0.19,0.06,0.03,1.28,0.28
170,,Josef Martínez,0,0.08,0,0,0.88,0.08
171,,Gabriele Corbo,0,0.29,0,0,1,0.07
172,,Gyasi Zardes,0,0.03,0,0,1.3,0.12
173,,Sean Johnson,2.59,0.41,0.03,0,1.05,0.16
