Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Asmir Begović,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,64,0,35.71,4,1,0,0,0,0,0,0,100,100,0,0,1
Stefan Ortega,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,50.33,85.43,0.33,55,4.67,0.67,0,0,0,0.33,0,0,100,100,0,0,3
Kevin De Bruyne,0.22,0.09,62.75,2.03,0,0.45,0.88,0.28,0,0.31,0,0.78,0.97,0.5,42.41,80.84,16.41,68.64,0,0.09,0,0,0.56,0.16,0.03,0,50,49.04,0.91,0.63,32
Kieran Trippier,0.03,0,61.29,0.37,0,0.22,1.87,1.13,0.03,1.97,0.03,1.16,0.63,0.18,54.32,75.97,14.89,45.54,0,0.37,0,0,0.74,0.08,0.13,0,58.33,53.5,0.76,1.26,38
Bruno Fernandes,0.22,0.16,53.33,2.49,0,0,1.84,0.68,0,0.97,0,1.14,0.86,0.22,50.14,77.74,17.57,57.71,0,0.43,0,0,0.89,0.16,0.16,0,30.65,44.6,1.05,1.14,37
Harry Kane,0.79,0.32,43.01,3.42,0.26,0,0.39,0.05,0,0.47,0,0.37,0.37,0.08,22.39,72.03,7.66,62.83,0,0.21,0,0,1.42,0.21,0.16,0,44.9,43.17,1.47,0.82,38
Martin Dúbravka,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,20,87.5,0.5,58.33,5,0,0,0,0.5,0,0,0,0,0,0,0,2
Daniel Bentley,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,33,72.73,0,43.75,5.5,0,0,0,1.5,0,0,0,0,66.67,0.5,0,2
Erling Haaland,1.03,0.8,37.93,3.51,0.2,0,0.09,0.09,0,0.4,0,0.11,0.31,0.23,13.71,74.79,4.26,66.67,0,0.17,0,0,0.6,0.14,0.14,0,50,40.55,0.69,0.89,35
Martin Ødegaard,0.41,0.11,62.82,2.51,0,0,0.97,0.16,0,0.32,0.03,0.89,0.38,0.19,45.65,83.96,17.97,65.88,0,0.14,0,0,0.84,0.19,0.11,0,41.18,44.13,0.7,0.81,37
Jack Grealish,0.18,0.07,61.64,1.46,0.04,0,0.89,0.25,0,0.25,0,0.32,0.43,0.25,35.32,87.46,14.93,73.33,0,0.21,0,0,0.5,0.07,0.14,0,45.16,60,2.79,0.96,28
James Maddison,0.33,0.2,54.12,2.83,0,0.51,1.7,0.43,0,0.13,0.03,1.03,0.4,0.3,33.77,79.47,11.03,54.74,0,0.1,0,0,1.33,0.47,0.33,0,28.57,56.07,2.63,1.03,30
Rodri,0.06,0.11,75.76,1.39,0.03,0,1.86,0.92,0,1.17,0.03,0.72,0.25,0.17,82.67,91.26,16.89,74.24,0,0.14,0,0,0.61,0.11,0.14,0,68.57,58.6,0.56,1.31,36
Trent Alexander-Arnold,0.05,0.03,69.77,1.08,0,0.54,1.54,1.16,0,0.97,0,1.03,0.68,0.24,62.41,78.69,12.81,48.74,0,0.19,0,0,1.11,0.08,0.14,0,60.61,51.6,0.16,0.59,37
Bukayo Saka,0.37,0.08,48.12,2.34,0,0,1.66,0.37,0,0.37,0,0.63,0.21,0.29,32.5,80.89,15.39,64.15,0,0.13,0,0,0.92,0.18,0.16,0,29.63,47.82,1.71,1.13,38
Solly March,0.21,0.33,62.37,2.24,0,0,1.61,0.73,0,0.88,0,0.61,0.52,0.21,33.36,78.56,12.94,66.35,0,0.09,0,0,1.06,0.15,0.06,0,44.12,51.14,1.18,1.39,33
Thiago Silva,0,0.04,100,0.56,0,0,1.52,1.26,0,4.04,0,0.37,0.04,0.07,75.22,91.29,5.37,56.04,0,0.22,0,0,1.11,0.07,0.07,0,72.94,73.29,0.48,0.37,27
N'Golo Kanté,0,0,75,1.14,0,0,2.29,0.86,0,0.29,0,0.57,0.57,0.14,46.43,82.46,15.71,50,0,0.14,0,0,0.86,0.14,0.14,0,33.33,59.26,0.29,0.71,7
