#,Team,Name
1,,Asmir Begović
2,,Stefan Ortega
3,,Martin Dúbravka
4,,Daniel Bentley
5,,David Raya
6,,Bernd Leno
7,,Alisson
8,,Kepa Arrizabalaga
9,,Neto
10,,Emiliano Martínez
11,,Sam Johnstone
12,,Vicente Guaita
13,,David De Gea
14,,Nick Pope
15,,Jordan Pickford
16,,Wayne Hennessey
17,,Dean Henderson
18,,Łukasz Fabiański
19,,Aaron Ramsdale
20,,Jason Steele
21,,José Sá
22,,Hugo Lloris
23,,Danny Ward
24,,Ederson
25,,Caoimhin Kelleher
26,,Robert Sánchez
27,,Fraser Forster
28,,Keylor Navas
29,,Daniel Iversen
30,,Illan Meslier
31,,Marek Rodák
32,,Gavin Bazunu
33,,Edouard Mendy
34,,Mark Travers
35,,Robin Olsen
36,,Joel Robles
37,,Alphonse Aréola
38,,Joe Whitworth
39,,Alex McCarthy
