#,Team,Name,Appearances
1,,Asmir Begović,1
2,,Stefan Ortega,3
3,,Kevin De Bruyne,32
4,,Kieran Trippier,38
5,,Bruno Fernandes,37
6,,Harry Kane,38
7,,Martin Dúbravka,2
8,,Daniel Bentley,2
9,,Erling Haaland,35
10,,Martin Ødegaard,37
11,,Jack Grealish,28
12,,James Maddison,30
13,,Rodri,36
14,,Trent Alexander-Arnold,37
15,,Bukayo Saka,38
16,,Solly March,33
17,,Thiago Silva,27
18,,N'Golo Kanté,7
19,,Pascal Groß,37
20,,Ivan Toney,33
21,,Rúben Neves,35
22,,James Ward-Prowse,38
23,,Riyad Mahrez,30
24,,Phil Foden,32
25,,Casemiro,28
26,,Alexis Mac Allister,35
27,,Rodrigo Bentancur,18
28,,Yerry Mina,7
29,,James Tarkowski,38
30,,Declan Rice,37
31,,Reece James,16
32,,David Raya,38
33,,Bernd Leno,36
34,,Enzo Fernández,18
35,,Gabriel Martinelli,36
36,,Bruno Guimarães,32
37,,Ethan Pinnock,30
38,,Mohamed Salah,38
39,,İlkay Gündoğan,31
40,,Fabian Schär,36
41,,Michael Olise,37
42,,Lisandro Martínez,27
43,,Eberechi Eze,38
44,,Pierre-Emile Højbjerg,35
45,,Thomas Partey,33
46,,Benoît Badiashile,11
47,,Roberto Firmino,25
48,,Virgil van Dijk,32
49,,Douglas Luiz,37
50,,Luke Shaw,31
51,,Ben Mee,37
52,,Alisson,37
53,,Leandro Trossard,36
54,,Kenny Tete,31
55,,Bryan Mbeumo,38
56,,Kepa Arrizabalaga,29
57,,Moisés Caicedo,37
58,,Aleksandar Mitrović,24
59,,Heung-min Son,36
60,,Willian,27
61,,Kalidou Koulibaly,23
62,,Gabriel Jesus,26
63,,Reiss Nelson,11
64,,Thiago Alcântara,18
65,,Dwight McNeil,36
66,,Mason Mount,24
67,,Mathias Jensen,37
68,,Diogo Dalot,26
69,,Cody Gakpo,21
70,,Granit Xhaka,37
71,,Youri Tielemans,31
72,,Mohammed Salisu,22
73,,Joelinton,32
74,,John Stones,23
75,,Pedro Porro,15
76,,Allan Saint-Maximin,25
77,,Alexander Isak,22
78,,Gabriel Magalhães,38
79,,Lewis Hall,9
80,,Callum Wilson,31
81,,Nathan Aké,26
82,,Miguel Almirón,34
83,,João Palhinha,35
84,,Darko Gyabi,1
85,,Shea Charles,1
86,,Neto,27
87,,Sven Botman,36
88,,Emiliano Martínez,36
89,,Morgan Gibbs-White,37
90,,Felipe,16
91,,John McGinn,34
92,,Aaron Wan-Bissaka,19
93,,Rúben Dias,26
94,,Tyler Adams,24
95,,Sam Johnstone,9
96,,Cheick Doucouré,34
97,,Cristian Romero,27
98,,Alex Iwobi,38
99,,Joachim Andersen,32
100,,William Saliba,27
101,,Vicente Guaita,27
102,,Harry Maguire,16
103,,Rodrigo,31
104,,Lucas Paquetá,28
105,,Christian Eriksen,28
106,,Christian Nørgaard,22
107,,Andrew Robertson,34
108,,Aymeric Laporte,12
109,,Wout Faes,31
110,,Danilo,13
111,,Marc Guéhi,37
112,,David De Gea,38
113,,Jacob Ramsey,35
114,,Jan Bednarek,23
115,,Luis Díaz,17
116,,Çağlar Söyüncü,7
117,,Oleksandr Zinchenko,27
118,,Armel Bella-Kotchap,24
119,,Serge Aurier,24
120,,Nick Pope,37
121,,João Cancelo,17
122,,Ivan Perišić,34
123,,Nayef Aguerd,18
124,,Amadou Onana,33
125,,Tyrone Mings,35
126,,Hamed Junior Traorè,7
127,,Lewis Dunk,36
128,,Marc Cucurella,24
129,,Philip Billing,36
130,,Julio Enciso,20
131,,Noni Madueke,12
132,,Jefferson Lerma,37
133,,Benjamin White,38
134,,Antony,25
135,,Darwin Núñez,29
136,,Julián Álvarez,31
137,,João Moutinho,31
138,,Idrissa Gueye,33
139,,Tomáš Souček,36
140,,Duje Ćaleta-Car,13
141,,Matt Doherty,12
142,,Jordan Pickford,37
143,,Joe Gomez,21
144,,Matthew Craig,1
145,,Valentino Livramento,2
146,,Wayne Hennessey,4
147,,Danny Welbeck,31
148,,Pervis Estupiñán,35
149,,Bernardo Silva,34
150,,Tosin Adarabioyo,25
151,,Marcus Rashford,35
152,,Craig Dawson,25
153,,Ezri Konsa,38
154,,Ollie Watkins,37
155,,Jordan Henderson,35
156,,Jorginho,32
157,,Victor Lindelöf,20
158,,Aaron Cresswell,28
159,,Dean Henderson,18
160,,Joe Willock,35
161,,Tim Ream,33
162,,Vitaly Janelt,35
163,,Fabinho,36
164,,Hakim Ziyech,18
165,,Jarrod Bowen,38
166,,Evan Ferguson,19
167,,Adam Webster,27
168,,Kurt Zouma,25
169,,Eric Dier,33
170,,Raheem Sterling,28
171,,Emerson Royal,26
172,,Kiernan Dewsbury-Hall,31
173,,Andreas Pereira,33
174,,Saïd Benrahma,35
175,,Kaoru Mitoma,33
176,,Łukasz Fabiański,36
177,,Aaron Ramsdale,38
178,,Ashley Young,29
179,,Daniel Amartey,20
180,,Jason Steele,15
181,,Marcus Tavernier,23
182,,Raphaël Varane,24
183,,Manuel Akanji,29
184,,Max Kilman,37
185,,Ibrahima Konaté,18
186,,Nathaniel Phillips,2
187,,Toti Gomes,17
188,,Jadon Sancho,26
189,,Gonçalo Guedes,13
190,,Ben Chilwell,23
191,,Maximilian Wöber,16
192,,James Justin,14
193,,Issa Diop,25
194,,Vladimír Coufal,27
195,,Kai Havertz,35
196,,Demarai Gray,33
197,,Dejan Kulusevski,30
198,,David Datro Fofana,3
199,,Pontus Jansson,12
200,,Matheus Cunha,17
201,,Antonee Robinson,35
202,,Rico Lewis,14
203,,Dominic Solanke,33
204,,Joe Worrall,30
205,,Willy Boly,11
206,,Wilfried Zaha,27
207,,Marcel Sabitzer,11
208,,Marc Albrighton,6
209,,Lyanco,21
210,,Ben Davies,31
211,,Joël Veltman,31
212,,Wesley Fofana,17
213,,Chris Mepham,26
214,,José Sá,36
215,,Konstantinos Tsimikas,20
216,,César Azpilicueta,25
217,,Nathan Collins,26
218,,Harvey Elliott,32
219,,Marc Roca,32
220,,Lloyd Kelly,23
221,,Roméo Lavia,29
222,,Curtis Jones,18
223,,Michael Keane,12
224,,Harry Souttar,12
225,,Jonny Evans,13
226,,Lewis Miley,1
227,,Oriol Romeu,1
228,,Samuel Amo-Ameyaw,1
229,,Hugo Lloris,25
230,,Tyrell Malacia,22
231,,Emiliano Buendía,38
232,,Conor Coady,24
233,,Diogo Jota,22
234,,Anthony Martial,21
235,,Yoane Wissa,38
236,,Boubacar Kamara,24
237,,Jack Stephens,17
238,,Che Adams,28
239,,Fred,35
240,,Manor Solomon,19
241,,Dan Burn,38
242,,João Gomes,11
243,,Adam Lallana,16
244,,Cristiano Ronaldo,10
245,,Pablo Fornals,32
246,,Tom Cairney,33
247,,Gianluca Scamacca,16
248,,Patson Daka,30
249,,Joel Ward,28
250,,Matheus Nunes,34
251,,Kelechi Iheanacho,28
252,,Vitaliy Mykolenko,34
253,,Timothy Castagne,37
254,,Matty Cash,26
255,,Levi Colwill,17
256,,Danny Ward,26
257,,Dango Ouattara,19
258,,Jan Paul van Hecke,8
259,,Daniel Podence,32
260,,Mateo Kovačić,27
261,,Davinson Sánchez,18
262,,Cole Palmer,14
263,,Pascal Struijk,29
264,,Marcos Senesi,31
265,,Trevoh Chalobah,25
