#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Asmir Begović,0,0,0,0,0,0
2,,Stefan Ortega,0,0,0,0,0,0
3,,Kevin De Bruyne,0.22,0.09,62.75,2.03,0,0.45
4,,Kieran Trippier,0.03,0,61.29,0.37,0,0.22
5,,Bruno Fernandes,0.22,0.16,53.33,2.49,0,0
6,,Harry Kane,0.79,0.32,43.01,3.42,0.26,0
7,,Martin Dúbravka,0,0,0,0,0,0
8,,Daniel Bentley,0,0,0,0,0,0
9,,Erling Haaland,1.03,0.8,37.93,3.51,0.2,0
10,,Martin Ødegaard,0.41,0.11,62.82,2.51,0,0
11,,Jack Grealish,0.18,0.07,61.64,1.46,0.04,0
12,,James Maddison,0.33,0.2,54.12,2.83,0,0.51
13,,Rodri,0.06,0.11,75.76,1.39,0.03,0
14,,Trent Alexander-Arnold,0.05,0.03,69.77,1.08,0,0.54
15,,Bukayo Saka,0.37,0.08,48.12,2.34,0,0
16,,Solly March,0.21,0.33,62.37,2.24,0,0
17,,Thiago Silva,0,0.04,100,0.56,0,0
18,,N'Golo Kanté,0,0,75,1.14,0,0
19,,Pascal Groß,0.24,0.08,56.67,1.05,0,0
20,,Ivan Toney,0.61,0.48,35.56,2.85,0.06,0.67
21,,Rúben Neves,0.17,0,67.86,1.89,0,0
22,,James Ward-Prowse,0.24,0.05,42.11,1.16,0.03,0.46
23,,Riyad Mahrez,0.17,0.13,48.08,1.43,0,0
24,,Phil Foden,0.34,0.09,57.14,1.44,0,0
25,,Casemiro,0.14,0.07,52.94,1.21,0.07,0
26,,Alexis Mac Allister,0.29,0.14,66.67,2.46,0.03,0.36
27,,Rodrigo Bentancur,0.28,0.06,65.63,0.83,0,0
28,,Yerry Mina,0.29,0.14,100,1.14,0.14,0
29,,James Tarkowski,0.03,0.08,90,0.84,0.03,0
30,,Declan Rice,0.11,0.03,61.4,0.97,0,0
31,,Reece James,0.06,0,68.75,1,0,0
32,,David Raya,0,0,100,0.03,0,0
33,,Bernd Leno,0,0,0,0,0,0
34,,Enzo Fernández,0,0,56.67,1.11,0,0
35,,Gabriel Martinelli,0.42,0.17,51.75,2.19,0.08,0
36,,Bruno Guimarães,0.13,0.09,63.38,0.88,0.03,0
37,,Ethan Pinnock,0.1,0.1,66.67,0.5,0,0
38,,Mohamed Salah,0.5,0.53,40.98,3.29,0.03,0
39,,İlkay Gündoğan,0.26,0.29,45.71,1.74,0,0.65
40,,Fabian Schär,0.03,0.25,36.36,1.56,0,0
41,,Michael Olise,0.05,0.03,47.79,1.38,0,0.39
42,,Lisandro Martínez,0.04,0.04,100,0.37,0.04,0
43,,Eberechi Eze,0.26,0.03,63.39,1.87,0.05,0
44,,Pierre-Emile Højbjerg,0.11,0,72.09,0.94,0,0
45,,Thomas Partey,0.09,0.03,81.4,0.85,0,0
46,,Benoît Badiashile,0.09,0.09,33.33,0.55,0,0
47,,Roberto Firmino,0.44,0.24,56.52,1.56,0.08,0
48,,Virgil van Dijk,0.09,0.13,100,0.94,0.06,0
