#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Asmir Begović,0,0,0,3,0,0
2,,Stefan Ortega,0,0,0,0.33,0,0
3,,Kevin De Bruyne,0.88,0.28,0,0.31,0,0.78
4,,Kieran Trippier,1.87,1.13,0.03,1.97,0.03,1.16
5,,Bruno Fernandes,1.84,0.68,0,0.97,0,1.14
6,,Harry Kane,0.39,0.05,0,0.47,0,0.37
7,,Martin Dúbravka,0,0,0,0.5,0,0.5
8,,Daniel Bentley,0.5,0,0,0.5,0,0
9,,Erling Haaland,0.09,0.09,0,0.4,0,0.11
10,,Martin Ødegaard,0.97,0.16,0,0.32,0.03,0.89
11,,Jack Grealish,0.89,0.25,0,0.25,0,0.32
12,,James Maddison,1.7,0.43,0,0.13,0.03,1.03
13,,Rodri,1.86,0.92,0,1.17,0.03,0.72
14,,Trent Alexander-Arnold,1.54,1.16,0,0.97,0,1.03
15,,Bukayo Saka,1.66,0.37,0,0.37,0,0.63
16,,Solly March,1.61,0.73,0,0.88,0,0.61
17,,Thiago Silva,1.52,1.26,0,4.04,0,0.37
18,,N'Golo Kanté,2.29,0.86,0,0.29,0,0.57
19,,Pascal Groß,1.59,0.35,0.03,0.49,0,0.81
20,,Ivan Toney,0.7,0.42,0,1.06,0,0.48
21,,Rúben Neves,2.26,1.43,0.03,2.34,0,1.2
22,,James Ward-Prowse,1.71,1.45,0,1.18,0,1.03
23,,Riyad Mahrez,1,0.3,0,0.07,0,0.83
24,,Phil Foden,0.5,0.16,0,0.34,0,0.34
25,,Casemiro,3.18,1.21,0.04,2.14,0,1.57
26,,Alexis Mac Allister,2,0.63,0,0.29,0.03,1.03
27,,Rodrigo Bentancur,2.5,1.11,0,1.17,0,0.67
28,,Yerry Mina,2.14,0.86,0,4,0,0.29
29,,James Tarkowski,1.34,1.34,0.03,5.16,0,0.47
30,,Declan Rice,2.14,1.7,0,1.49,0,0.51
31,,Reece James,1.94,0.75,0,1.25,0,0.25
32,,David Raya,0,0.03,0,0.53,0.03,0.05
33,,Bernd Leno,0,0,0.03,0.72,0,0.06
34,,Enzo Fernández,2.5,0.89,0,0.61,0,1.94
35,,Gabriel Martinelli,0.86,0.25,0,0.25,0,0.36
36,,Bruno Guimarães,2.44,1.13,0,0.59,0,0.84
37,,Ethan Pinnock,1.73,1.17,0,7.13,0.07,0.2
38,,Mohamed Salah,0.55,0.16,0,0.11,0,0.42
39,,İlkay Gündoğan,0.97,0.65,0,0.39,0,0.68
40,,Fabian Schär,1.31,1.44,0,3.81,0,0.42
41,,Michael Olise,1.57,0.7,0.03,0.35,0,0.95
42,,Lisandro Martínez,2,1.22,0,3.59,0,0.48
43,,Eberechi Eze,1.11,0.34,0,0.21,0,0.53
44,,Pierre-Emile Højbjerg,1.6,1.4,0,1.66,0,1.17
45,,Thomas Partey,2.12,0.85,0,1.18,0,0.82
46,,Benoît Badiashile,1.27,1.45,0,3,0,0.45
47,,Roberto Firmino,0.68,0.28,0,0.08,0,0.72
48,,Virgil van Dijk,0.84,0.97,0.03,4.22,0.03,0.34
49,,Douglas Luiz,1.97,1.08,0,0.57,0.03,0.89
50,,Luke Shaw,1.77,1.16,0.03,1.71,0,0.45
51,,Ben Mee,1.22,1.3,0,3.14,0,0.46
52,,Alisson,0,0,0,1,0,0.08
53,,Leandro Trossard,0.61,0.33,0,0.06,0.03,0.53
54,,Kenny Tete,2.68,1.68,0,2.35,0,0.39
55,,Bryan Mbeumo,0.68,0.34,0,0.45,0,0.89
56,,Kepa Arrizabalaga,0.07,0.03,0,1.07,0,0.03
57,,Moisés Caicedo,2.7,1.51,0,0.68,0.03,0.76
58,,Aleksandar Mitrović,0.58,0.13,0,0.83,0,0.29
59,,Heung-min Son,0.67,0.36,0,0.11,0,0.58
60,,Willian,0.48,0.33,0,0.3,0,0.67
61,,Kalidou Koulibaly,1.96,1.26,0,3.13,0,0.61
62,,Gabriel Jesus,1.27,0.42,0,0.5,0,0.65
63,,Reiss Nelson,0.36,0,0,0.36,0,0.18
64,,Thiago Alcântara,2.39,1.17,0.06,0.67,0,0.5
65,,Dwight McNeil,1.78,0.86,0,0.89,0,0.97
66,,Mason Mount,1.38,0.33,0,0.25,0,0.58
67,,Mathias Jensen,1.89,0.86,0,0.62,0,1.7
68,,Diogo Dalot,2.08,1.42,0,2,0,0.46
69,,Cody Gakpo,1.24,0.19,0,0.1,0,1.19
70,,Granit Xhaka,0.92,0.41,0,1.11,0,0.68
71,,Youri Tielemans,2.13,0.9,0,0.77,0.03,1.23
72,,Mohammed Salisu,2.32,1.41,0,5.41,0,0.45
73,,Joelinton,2.19,1.5,0.03,1.19,0,1.13
74,,John Stones,1,0.39,0,1.65,0,0.13
75,,Pedro Porro,1.67,1,0,1.33,0.07,1.67
76,,Allan Saint-Maximin,0.4,0.2,0,0,0,0.36
77,,Alexander Isak,0.82,0.18,0.05,0.36,0,0.82
78,,Gabriel Magalhães,1.26,0.84,0.05,3.16,0.03,0.24
79,,Lewis Hall,2.56,1.22,0,1.11,0,0.78
80,,Callum Wilson,0.29,0.03,0,0.16,0,0.1
81,,Nathan Aké,1,0.77,0,1.81,0,0.15
82,,Miguel Almirón,1.35,0.29,0,0.38,0,0.71
83,,João Palhinha,4.17,1.31,0.03,1.69,0,1.8
84,,Darko Gyabi,2,0,0,0,0,0
85,,Shea Charles,4,1,0,2,0,0
86,,Neto,0.11,0,0,0.93,0,0
87,,Sven Botman,1.06,0.94,0.03,3.33,0.03,0.17
88,,Emiliano Martínez,0,0.03,0.03,0.81,0.03,0.06
89,,Morgan Gibbs-White,0.78,0.41,0,0.3,0,0.59
90,,Felipe,2.63,2.25,0,5.56,0,1.06
91,,John McGinn,1.94,0.71,0,0.44,0,1.12
92,,Aaron Wan-Bissaka,2.11,1.16,0,1.84,0,0.11
93,,Rúben Dias,0.81,0.69,0,2.08,0,0.27
94,,Tyler Adams,3.71,1.46,0,1.04,0,1.21
95,,Sam Johnstone,0,0,0.11,1.33,0,0
96,,Cheick Doucouré,2.26,1.65,0,1.38,0,0.68
97,,Cristian Romero,2.52,1.63,0.04,3.59,0.04,0.63
98,,Alex Iwobi,1.82,0.66,0,0.74,0,0.84
99,,Joachim Andersen,1.31,0.75,0,5.84,0,0.5
100,,William Saliba,1.26,0.7,0.07,3.04,0.04,0.11
101,,Vicente Guaita,0,0,0,0.96,0,0
102,,Harry Maguire,0.5,0.81,0,2.56,0,0.06
103,,Rodrigo,0.77,0.19,0,0.68,0,0.39
104,,Lucas Paquetá,2.54,0.57,0,1.11,0,1.43
105,,Christian Eriksen,0.79,0.39,0,0.71,0.04,0.79
106,,Christian Nørgaard,2.36,1.55,0,1.82,0,1.36
107,,Andrew Robertson,1.12,0.53,0,1.26,0,0.59
108,,Aymeric Laporte,0.92,0.25,0,2.5,0,0.33
109,,Wout Faes,1.81,1.32,0,3.58,0,0.52
110,,Danilo,1.38,0.69,0,1.38,0,1.46
111,,Marc Guéhi,1.41,1.22,0,3.57,0.03,0.43
112,,David De Gea,0,0.03,0,0.71,0.05,0.03
113,,Jacob Ramsey,1.97,0.66,0.03,0.83,0,1.06
114,,Jan Bednarek,1.3,2.22,0,3.96,0,0.17
115,,Luis Díaz,1,0.35,0,0.06,0,0.41
116,,Çağlar Söyüncü,2,1,0,4.14,0,0.43
117,,Oleksandr Zinchenko,1.48,0.81,0,1.15,0,0.67
118,,Armel Bella-Kotchap,1.54,1.83,0,4.5,0,0.21
119,,Serge Aurier,2.67,1.21,0,2.71,0,0.42
120,,Nick Pope,0.03,0,0,1.24,0.03,0.05
121,,João Cancelo,1.71,1.12,0.12,0.35,0.06,0.41
122,,Ivan Perišić,1.21,0.65,0,1.24,0,0.62
123,,Nayef Aguerd,1.5,1,0.06,4.33,0.06,0.39
124,,Amadou Onana,2.18,1.12,0,1.12,0,0.36
125,,Tyrone Mings,0.43,1.54,0,4.51,0.06,0.34
126,,Hamed Junior Traorè,2.43,0.29,0,0.14,0,1.71
127,,Lewis Dunk,0.83,0.94,0.11,2.25,0,0.64
128,,Marc Cucurella,2.75,0.67,0,1.54,0.04,1.25
129,,Philip Billing,1.75,0.86,0,1.39,0.03,0.81
130,,Julio Enciso,0.65,0.2,0,0.05,0,0.25
131,,Noni Madueke,1,0.33,0,0.58,0,0.58
132,,Jefferson Lerma,1.35,1.27,0.05,2.38,0,0.68
133,,Benjamin White,1.58,0.58,0,1.97,0,0.74
134,,Antony,0.88,0.44,0,0.08,0,0.8
135,,Darwin Núñez,0.38,0.1,0,0.41,0,0.45
136,,Julián Álvarez,0.84,0.06,0,0.16,0,0.65
137,,João Moutinho,1.65,0.58,0,0.58,0,0.87
