#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Asmir Begović,0,0,100,100,0,0
2,,Stefan Ortega,0,0,100,100,0,0
3,,Kevin De Bruyne,0.03,0,50,49.04,0.91,0.63
4,,Kieran Trippier,0.13,0,58.33,53.5,0.76,1.26
5,,Bruno Fernandes,0.16,0,30.65,44.6,1.05,1.14
6,,Harry Kane,0.16,0,44.9,43.17,1.47,0.82
7,,Martin Dúbravka,0,0,0,0,0,0
8,,Daniel Bentley,0,0,0,66.67,0.5,0
9,,Erling Haaland,0.14,0,50,40.55,0.69,0.89
10,,Martin Ødegaard,0.11,0,41.18,44.13,0.7,0.81
11,,Jack Grealish,0.14,0,45.16,60,2.79,0.96
12,,James Maddison,0.33,0,28.57,56.07,2.63,1.03
13,,Rodri,0.14,0,68.57,58.6,0.56,1.31
14,,Trent Alexander-Arnold,0.14,0,60.61,51.6,0.16,0.59
15,,Bukayo Saka,0.16,0,29.63,47.82,1.71,1.13
16,,Solly March,0.06,0,44.12,51.14,1.18,1.39
17,,Thiago Silva,0.07,0,72.94,73.29,0.48,0.37
18,,N'Golo Kanté,0.14,0,33.33,59.26,0.29,0.71
19,,Pascal Groß,0.19,0,21.74,44.26,0.49,0.95
20,,Ivan Toney,0.27,0,48.02,46.06,2.24,1.58
21,,Rúben Neves,0.34,0,50,52.81,0.51,1.09
22,,James Ward-Prowse,0.16,0,45.83,46.42,0.5,0.89
23,,Riyad Mahrez,0.07,0,39.13,49.53,1.4,0.53
24,,Phil Foden,0.03,0,42.22,49.76,0.91,0.31
25,,Casemiro,0.25,0.07,65.12,55.28,0.86,1.71
26,,Alexis Mac Allister,0.23,0,60.98,57.57,1.63,1
27,,Rodrigo Bentancur,0.44,0,48.39,52.66,0.44,1.33
28,,Yerry Mina,0.29,0,55.88,66.18,1.43,0.86
29,,James Tarkowski,0.16,0,71.01,64.86,0.61,1.05
30,,Declan Rice,0.14,0,58.73,58.06,0.3,0.62
31,,Reece James,0.25,0,58.97,63.95,1.13,0.56
32,,David Raya,0.03,0,86.67,82.61,0.16,0
33,,Bernd Leno,0.08,0,100,82.35,0.08,0.03
