#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Asmir Begović,0,0,25,64,0,35.71
2,,Stefan Ortega,0,0,50.33,85.43,0.33,55
3,,Kevin De Bruyne,0.97,0.5,42.41,80.84,16.41,68.64
4,,Kieran Trippier,0.63,0.18,54.32,75.97,14.89,45.54
5,,Bruno Fernandes,0.86,0.22,50.14,77.74,17.57,57.71
6,,Harry Kane,0.37,0.08,22.39,72.03,7.66,62.83
7,,Martin Dúbravka,0,0,20,87.5,0.5,58.33
8,,Daniel Bentley,0,0,33,72.73,0,43.75
9,,Erling Haaland,0.31,0.23,13.71,74.79,4.26,66.67
10,,Martin Ødegaard,0.38,0.19,45.65,83.96,17.97,65.88
11,,Jack Grealish,0.43,0.25,35.32,87.46,14.93,73.33
12,,James Maddison,0.4,0.3,33.77,79.47,11.03,54.74
13,,Rodri,0.25,0.17,82.67,91.26,16.89,74.24
14,,Trent Alexander-Arnold,0.68,0.24,62.41,78.69,12.81,48.74
15,,Bukayo Saka,0.21,0.29,32.5,80.89,15.39,64.15
16,,Solly March,0.52,0.21,33.36,78.56,12.94,66.35
17,,Thiago Silva,0.04,0.07,75.22,91.29,5.37,56.04
18,,N'Golo Kanté,0.57,0.14,46.43,82.46,15.71,50
19,,Pascal Groß,0.43,0.22,54.78,86.04,15.05,50
20,,Ivan Toney,0.36,0.12,22.3,61.96,6.03,42.42
21,,Rúben Neves,0.03,0.03,58.11,83.97,10.6,58.68
22,,James Ward-Prowse,0.24,0.11,50.5,85.36,11.97,46.81
23,,Riyad Mahrez,0.3,0.33,34.43,86.83,12.97,73.47
24,,Phil Foden,0.22,0.16,31.34,86.14,12.47,58.54
25,,Casemiro,0.25,0.11,50.43,78.54,9.71,55.88
26,,Alexis Mac Allister,0.11,0.06,51.51,87.24,12.97,67.71
27,,Rodrigo Bentancur,0,0.11,47.61,85.18,7.28,56.1
28,,Yerry Mina,0,0,45.86,88.47,4,52.17
29,,James Tarkowski,0.16,0.03,42.63,81.23,3.24,47.29
30,,Declan Rice,0.08,0.05,56.27,88.04,13.24,67.57
31,,Reece James,0.19,0.06,53.25,90.73,14.38,73.58
32,,David Raya,0,0,38.82,60.75,3.11,42.09
33,,Bernd Leno,0,0,33.42,76.31,1,36.36
34,,Enzo Fernández,0.17,0.11,78.94,89.09,17.78,74.72
35,,Gabriel Martinelli,0.31,0.14,27.17,82.31,12.39,72
36,,Bruno Guimarães,0.06,0.16,51,84.56,14.91,59.76
37,,Ethan Pinnock,0,0,36.4,80.22,2.6,37.8
38,,Mohamed Salah,0.39,0.32,29.47,78.13,11.55,57.5
39,,İlkay Gündoğan,0.19,0.13,49.68,88.25,13.97,75
40,,Fabian Schär,0.08,0.08,50.42,77.74,5.89,45.09
41,,Michael Olise,0.3,0.3,31.3,78.41,10.19,56.98
42,,Lisandro Martínez,0,0,56.22,87.29,4.56,41.21
43,,Eberechi Eze,0.16,0.11,28.5,82.36,9.53,47.89
44,,Pierre-Emile Højbjerg,0.14,0.14,64.46,88.56,12.37,66.95
45,,Thomas Partey,0.06,0,58.97,87.98,14.94,67.3
46,,Benoît Badiashile,0.09,0,77.73,89.71,4.82,58.21
47,,Roberto Firmino,0.16,0.16,21.84,79.85,6.96,53.85
48,,Virgil van Dijk,0.03,0.03,80.66,90.51,6.25,59.36
49,,Douglas Luiz,0.19,0.16,45.86,86.45,8.68,57.86
50,,Luke Shaw,0.23,0.06,58.23,85.98,12.45,49.19
51,,Ben Mee,0.08,0.05,44.81,77.08,3.62,42.58
52,,Alisson,0.03,0.03,33.49,83.37,0.51,45.58
53,,Leandro Trossard,0.25,0.33,23.92,78.86,9.11,64.62
54,,Kenny Tete,0.1,0.16,35.97,76.05,7.16,45.63
55,,Bryan Mbeumo,0.37,0.21,21.29,73.67,8.08,58.82
56,,Kepa Arrizabalaga,0,0,30.86,80.67,0.38,42.05
57,,Moisés Caicedo,0.08,0.03,59.7,88.77,13.41,67.97
58,,Aleksandar Mitrović,0.21,0.04,20.38,60.53,4.54,60.53
59,,Heung-min Son,0.22,0.17,21.81,82.04,8.33,65.22
60,,Willian,0.3,0.19,31.33,82.27,12.78,67.95
61,,Kalidou Koulibaly,0,0.04,63.04,87.1,4.7,44.3
62,,Gabriel Jesus,0.23,0.23,25.88,81.58,8.96,55.56
63,,Reiss Nelson,0.09,0.18,9.82,90.74,5.64,66.67
64,,Thiago Alcântara,0.06,0,60.28,86.54,10.78,75
65,,Dwight McNeil,0.31,0.08,20.97,76.42,5.86,42.86
66,,Mason Mount,0.13,0.08,29.38,80.14,10.33,63.16
67,,Mathias Jensen,0.11,0.16,32.89,75.68,8.68,51.87
68,,Diogo Dalot,0.04,0.08,45.73,80.49,9.08,51.47
69,,Cody Gakpo,0.19,0.1,17.67,78.44,6.52,63.64
70,,Granit Xhaka,0.16,0.19,42.43,86.5,13.49,71.88
71,,Youri Tielemans,0.32,0.06,50.19,82.13,10.32,48.18
72,,Mohammed Salisu,0.05,0.05,49.55,76.79,4.73,36.87
73,,Joelinton,0.13,0.03,38.44,82.28,10.38,68.63
74,,John Stones,0.09,0.09,65.7,93.25,9.57,77.11
75,,Pedro Porro,0.27,0.2,31.87,75.31,6.6,34.09
76,,Allan Saint-Maximin,0.32,0.2,16.2,75.06,6.84,90.48
77,,Alexander Isak,0.09,0.05,16,77.84,7.18,88.24
78,,Gabriel Magalhães,0,0,63.03,89.69,7.42,45.95
79,,Lewis Hall,0.56,0,39.56,83.71,8.67,61.54
80,,Callum Wilson,0.16,0.16,7.58,67.66,2.45,37.5
81,,Nathan Aké,0.08,0,65.58,91.14,11.46,47.22
82,,Miguel Almirón,0.09,0.06,27.41,84.55,13.21,59.09
83,,João Palhinha,0,0,36.17,82.94,6.23,63.31
84,,Darko Gyabi,0,0,4,100,2,0
85,,Shea Charles,0,0,24,91.67,3,100
86,,Neto,0,0,25.78,56.03,1,36.81
87,,Sven Botman,0.03,0,48.72,86.77,2.61,54.26
88,,Emiliano Martínez,0,0,34.67,71.55,1.25,40.92
89,,Morgan Gibbs-White,0.24,0.22,26.54,70.26,8.86,46.67
90,,Felipe,0.13,0.06,34.75,73.02,2.19,31.87
91,,John McGinn,0.18,0.09,28.53,81.55,7.74,64
92,,Aaron Wan-Bissaka,0.05,0,37.11,83.55,10,53.13
93,,Rúben Dias,0.04,0,79.65,92.71,6.88,52.31
94,,Tyler Adams,0.04,0,55.21,82.42,10.08,44.57
95,,Sam Johnstone,0,0,26.44,69.75,0.56,36.04
