#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Asmir Begović,4,1,0,0,0,0
2,,Stefan Ortega,4.67,0.67,0,0,0,0.33
3,,Kevin De Bruyne,0,0.09,0,0,0.56,0.16
4,,Kieran Trippier,0,0.37,0,0,0.74,0.08
5,,Bruno Fernandes,0,0.43,0,0,0.89,0.16
6,,Harry Kane,0,0.21,0,0,1.42,0.21
7,,Martin Dúbravka,5,0,0,0,0.5,0
8,,Daniel Bentley,5.5,0,0,0,1.5,0
9,,Erling Haaland,0,0.17,0,0,0.6,0.14
10,,Martin Ødegaard,0,0.14,0,0,0.84,0.19
11,,Jack Grealish,0,0.21,0,0,0.5,0.07
12,,James Maddison,0,0.1,0,0,1.33,0.47
13,,Rodri,0,0.14,0,0,0.61,0.11
14,,Trent Alexander-Arnold,0,0.19,0,0,1.11,0.08
15,,Bukayo Saka,0,0.13,0,0,0.92,0.18
16,,Solly March,0,0.09,0,0,1.06,0.15
17,,Thiago Silva,0,0.22,0,0,1.11,0.07
18,,N'Golo Kanté,0,0.14,0,0,0.86,0.14
19,,Pascal Groß,0,0.27,0,0,1.24,0.14
20,,Ivan Toney,0,0.21,0,0,1.03,0.24
21,,Rúben Neves,0,0.26,0,0,1.17,0.2
22,,James Ward-Prowse,0,0.11,0,0,1.74,0.16
23,,Riyad Mahrez,0,0.1,0,0,0.7,0.07
24,,Phil Foden,0,0.09,0,0,0.38,0.13
25,,Casemiro,0,0.32,0,0,0.57,0.18
26,,Alexis Mac Allister,0,0.2,0,0,1.14,0.14
27,,Rodrigo Bentancur,0,0.22,0,0,1.17,0.17
28,,Yerry Mina,0,0.14,0,0,1.14,0.14
29,,James Tarkowski,0,0.24,0,0,1.34,0.16
30,,Declan Rice,0,0.24,0,0,1.16,0.19
31,,Reece James,0,0.13,0,0,0.75,0.31
32,,David Raya,4.05,0.32,0.05,0,0.95,0.26
33,,Bernd Leno,4,0.22,0.22,0.03,1.28,0.14
34,,Enzo Fernández,0,0.11,0,0,1.11,0.28
35,,Gabriel Martinelli,0,0.17,0,0,0.72,0.19
36,,Bruno Guimarães,0,0.28,0,0,0.72,0.06
37,,Ethan Pinnock,0,0.33,0,0,0.93,0.2
38,,Mohamed Salah,0,0.24,0,0,1.11,0.08
39,,İlkay Gündoğan,0,0.19,0,0,0.52,0.13
40,,Fabian Schär,0,0.33,0,0,0.69,0.08
41,,Michael Olise,0,0.11,0,0,0.97,0.05
42,,Lisandro Martínez,0,0.3,0,0,1,0.22
43,,Eberechi Eze,0,0.11,0,0,0.84,0.08
44,,Pierre-Emile Højbjerg,0,0.29,0,0,1.43,0.2
45,,Thomas Partey,0,0.3,0,0,0.76,0.09
46,,Benoît Badiashile,0,0.36,0,0,0.64,0.18
47,,Roberto Firmino,0,0,0,0,0.64,0.04
48,,Virgil van Dijk,0,0.34,0,0,1.06,0.06
49,,Douglas Luiz,0,0.22,0,0,0.81,0.08
50,,Luke Shaw,0,0.35,0,0,0.9,0.23
51,,Ben Mee,0,0.32,0,0,0.81,0.27
52,,Alisson,2.92,0.38,0.11,0.03,1.11,0.05
53,,Leandro Trossard,0,0.03,0,0,0.97,0.08
54,,Kenny Tete,0,0.16,0,0,1,0.16
55,,Bryan Mbeumo,0,0.03,0,0,0.79,0.24
56,,Kepa Arrizabalaga,3.14,0.31,0.03,0,0.93,0.21
57,,Moisés Caicedo,0,0.24,0,0,1.14,0.14
58,,Aleksandar Mitrović,0,0.13,0,0,1.17,0.08
59,,Heung-min Son,0,0.06,0,0,1.33,0.19
60,,Willian,0,0.07,0,0,0.7,0.11
61,,Kalidou Koulibaly,0,0.22,0,0,0.65,0.3
62,,Gabriel Jesus,0,0.23,0,0,0.73,0.15
63,,Reiss Nelson,0,0,0,0,0.27,0
64,,Thiago Alcântara,0,0.11,0,0,1.28,0
65,,Dwight McNeil,0,0.14,0,0,1.17,0.11
66,,Mason Mount,0,0.13,0,0,0.75,0.13
67,,Mathias Jensen,0,0.08,0,0,0.84,0.24
68,,Diogo Dalot,0,0.35,0,0,1.15,0.15
69,,Cody Gakpo,0,0.1,0,0,0.81,0.1
70,,Granit Xhaka,0,0.24,0,0,0.78,0.16
71,,Youri Tielemans,0,0.1,0,0,1.19,0.39
72,,Mohammed Salisu,0,0.05,0,0,1.68,0.18
73,,Joelinton,0,0.34,0,0,0.72,0.09
74,,John Stones,0,0.22,0,0,0.65,0.09
75,,Pedro Porro,0,0.07,0,0,1.53,0.2
76,,Allan Saint-Maximin,0,0,0,0,0.52,0.04
77,,Alexander Isak,0,0.05,0,0,0.82,0.09
78,,Gabriel Magalhães,0,0.37,0,0,0.95,0.18
79,,Lewis Hall,0,0,0,0,1.22,0
