Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ronie Carrillo,0.6,0.27,53.33,4.0,0.0,0.0,0.33,0.13,0.0,0.47,0.0,0.07,0.2,0.27,16.07,67.22,4.87,40.0,0.0,0.0,0.0,0.0,1.2,0.07,0.07,0.0,43.88,41.95,1.13,1.67,15,2,4,Ecuador Serie A,3
Brian Heras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,23.71,54.52,1.71,43.08,4.21,0.5,0.21,0.0,0.57,0.14,0.14,0.07,66.67,85.71,0.29,0.0,14,2,1,Ecuador Serie A,3
Joaquín Vergés,0.37,0.17,43.59,2.83,0.0,0.51,1.53,0.6,0.0,0.37,0.0,0.43,0.17,0.17,27.17,72.15,6.37,46.9,0.0,0.03,0.0,0.0,1.5,0.17,0.2,0.0,37.04,50.0,1.03,1.0,30,3,3,Ecuador Serie A,3
Mauro Díaz,0.29,0.0,68.42,1.29,0.0,0.0,0.86,0.57,0.0,0.1,0.0,0.48,0.43,0.14,37.05,83.8,12.05,68.0,0.0,0.05,0.0,0.0,0.95,0.05,0.29,0.0,50.0,62.26,2.38,0.95,21,3,3,Ecuador Serie A,3
Alexander Domínguez,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.26,0.0,0.0,0.0,0.0,23.0,77.13,0.96,53.85,3.41,0.52,0.15,0.07,0.52,0.07,0.07,0.0,100.0,100.0,0.04,0.0,27,3,1,Ecuador Serie A,3
Alexander Alvarado,0.32,0.06,56.1,1.9,0.0,0.27,0.9,0.19,0.0,0.1,0.0,0.19,0.1,0.16,31.29,85.46,12.87,79.63,0.0,0.0,0.0,0.0,0.42,0.06,0.23,0.0,60.0,52.13,1.23,1.1,31,1,3,Ecuador Serie A,3
Rafael Romo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.09,0.0,0.0,24.65,74.6,0.78,43.93,4.04,0.43,0.13,0.0,1.09,0.04,0.09,0.0,75.0,75.0,0.26,0.0,23,3,1,Ecuador Serie A,3
Rómulo Otero,0.08,0.0,62.5,2.12,0.0,0.16,0.72,0.16,0.0,0.2,0.0,0.32,0.2,0.12,21.44,83.96,6.96,72.53,0.0,0.12,0.0,0.0,0.68,0.16,0.08,0.0,53.33,65.79,3.36,0.56,25,3,3,Ecuador Serie A,3
Alex Mendoza,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2,4,Ecuador Serie A,3
Hernán Galíndez,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.74,0.0,0.04,0.0,0.0,24.91,57.59,1.61,35.85,4.04,0.43,0.13,0.0,1.0,0.17,0.04,0.0,50.0,60.0,0.04,0.0,23,3,1,Ecuador Serie A,3
Michael Hoyos,0.5,0.17,30.77,2.79,0.17,0.0,0.33,0.25,0.0,0.21,0.0,0.42,0.25,0.17,16.17,79.12,6.04,55.17,0.0,0.08,0.0,0.0,0.75,0.04,0.04,0.0,54.05,44.83,1.38,1.0,24,3,4,Ecuador Serie A,3
Sergio López,0.27,0.0,47.62,3.13,0.07,0.95,0.47,0.27,0.0,0.2,0.0,0.33,0.13,0.07,33.53,75.75,9.93,55.17,0.0,0.07,0.0,0.0,0.67,0.13,0.2,0.13,37.5,46.53,1.2,0.8,15,3,3,Ecuador Serie A,3
Damián Díaz,0.42,0.04,50.0,1.54,0.04,0.0,0.63,0.38,0.0,0.17,0.0,0.38,0.25,0.25,30.0,77.08,9.79,63.64,0.0,0.04,0.0,0.0,0.75,0.04,0.29,0.04,33.33,49.18,1.13,0.42,24,3,3,Ecuador Serie A,3
Facundo Martinez,0.04,0.04,58.62,0.96,0.0,0.0,1.68,0.71,0.0,1.0,0.0,0.54,0.07,0.14,61.86,86.78,15.79,70.26,0.0,0.18,0.0,0.0,0.93,0.07,0.29,0.04,61.76,54.75,1.29,1.43,28,3,3,Ecuador Serie A,3
Lucas Mancinelli,0.12,0.08,41.67,1.96,0.0,0.0,0.46,0.23,0.0,0.08,0.0,0.65,0.38,0.31,24.46,75.79,6.42,54.76,0.0,0.15,0.0,0.0,0.65,0.19,0.08,0.0,17.39,48.84,2.04,0.69,26,3,3,Ecuador Serie A,3
Jean Carlos Blanco,0.65,0.25,63.64,2.0,0.25,0.0,0.35,0.1,0.0,0.45,0.0,0.35,0.05,0.1,16.55,71.9,4.6,42.86,0.0,0.1,0.0,0.0,0.75,0.05,0.25,0.0,41.77,40.54,0.65,0.9,20,3,4,Ecuador Serie A,3
José Quintero,0.22,0.04,57.89,0.91,0.04,0.0,1.22,0.83,0.0,1.61,0.0,0.35,0.22,0.13,29.43,77.4,6.7,54.72,0.0,0.22,0.0,0.0,0.43,0.13,0.0,0.09,84.0,63.08,0.96,1.0,23,3,2,Ecuador Serie A,3
Pedro Ortiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.03,0.0,0.0,21.0,68.89,0.9,41.46,3.37,0.47,0.27,0.03,0.8,0.13,0.03,0.0,100.0,85.71,0.1,0.03,30,3,1,Ecuador Serie A,3
Damián Frascarelli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,25.29,71.19,1.71,46.81,4.29,0.29,0.43,0.0,0.86,0.0,0.29,0.14,50.0,50.0,0.0,0.0,7,3,1,Ecuador Serie A,3
Braian Oyola,0.27,0.1,65.0,1.43,0.0,0.0,0.73,0.27,0.0,0.33,0.0,0.47,0.23,0.13,25.03,67.11,8.37,45.88,0.0,0.1,0.0,0.0,0.83,0.17,0.07,0.0,10.0,54.7,1.77,1.03,30,2,3,Ecuador Serie A,3
Junior Sornoza,0.12,0.19,50.0,2.0,0.0,0.0,0.38,0.12,0.0,0.08,0.0,0.15,0.12,0.12,34.15,85.36,12.73,71.95,0.0,0.12,0.04,0.0,0.62,0.04,0.23,0.0,23.08,47.87,0.77,0.42,26,2,4,Ecuador Serie A,3
Jeison Medina,0.53,0.13,33.33,1.67,0.2,0.0,0.13,0.07,0.0,0.33,0.0,0.07,0.13,0.2,15.67,79.57,4.47,61.11,0.0,0.0,0.0,0.0,0.4,0.2,0.27,0.0,42.31,44.3,1.2,0.87,15,2,4,Ecuador Serie A,3
Hancel Batalla,0.27,0.0,40.48,1.5,0.0,1.3,0.64,0.41,0.0,0.86,0.0,0.23,0.41,0.32,34.18,76.2,7.68,41.3,0.0,0.09,0.0,0.0,1.05,0.18,0.18,0.0,57.78,50.26,1.77,0.91,22,2,4,Ecuador Serie A,3
Richard Schunke,0.0,0.07,66.67,0.5,0.0,0.0,0.86,1.14,0.0,3.21,0.0,0.29,0.36,0.21,64.07,85.84,6.43,58.23,0.0,0.36,0.0,0.0,0.79,0.0,0.21,0.0,50.0,55.74,0.64,0.71,14,3,2,Ecuador Serie A,3
Benjamin Cardenas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,18.0,48.15,0.67,35.71,4.33,0.33,0.0,0.0,0.67,0.33,0.0,0.33,0.0,0.0,0.0,0.33,3,1,1,Ecuador Serie A,3
Ricardo Adé,0.0,0.0,83.33,0.61,0.0,0.0,1.11,1.29,0.11,3.29,0.0,0.29,0.07,0.11,44.07,86.14,2.82,52.97,0.0,0.5,0.0,0.0,0.5,0.07,0.32,0.0,67.86,64.15,0.32,0.68,28,3,2,Ecuador Serie A,3
Bruno Duarte,0.07,0.0,100.0,0.79,0.07,0.0,1.07,2.86,0.0,5.0,0.0,0.07,0.07,0.07,32.14,76.22,1.07,41.05,0.0,0.29,0.0,0.0,1.07,0.43,0.36,0.0,75.0,67.74,0.36,1.0,14,2,2,Ecuador Serie A,3
Ismael Díaz,0.4,0.5,59.21,2.85,0.05,0.0,0.45,0.4,0.0,0.15,0.0,0.25,0.05,0.05,24.25,86.8,8.9,68.42,0.0,0.2,0.0,0.0,0.85,0.1,0.05,0.0,53.85,50.32,0.9,0.75,20,2,4,Ecuador Serie A,3
Agustín García Basso,0.07,0.0,70.0,0.52,0.0,1.23,0.67,0.74,0.04,1.52,0.0,0.15,0.0,0.0,70.52,89.65,11.11,69.49,0.0,0.37,0.0,0.0,0.81,0.07,0.11,0.0,57.5,53.92,0.26,0.7,27,3,2,Ecuador Serie A,3
Byron Palacios,0.27,0.15,67.57,1.62,0.04,0.0,0.27,0.19,0.0,0.31,0.0,0.04,0.23,0.15,12.69,60.0,4.38,25.0,0.0,0.0,0.0,0.0,0.77,0.08,0.15,0.0,46.85,48.26,1.04,1.12,26,2,4,Ecuador Serie A,3
Miller Bolaños,0.53,0.4,33.33,2.27,0.0,0.0,0.47,0.2,0.0,0.13,0.0,0.2,0.27,0.27,24.8,84.41,10.8,79.17,0.0,0.27,0.0,0.0,0.6,0.13,0.6,0.0,20.0,40.23,1.53,1.33,15,3,4,Ecuador Serie A,3
Nicolás Rinaldi,0.04,0.04,35.29,1.07,0.04,0.0,1.96,1.0,0.0,0.93,0.0,1.0,0.15,0.07,31.93,85.85,6.56,71.7,0.0,0.15,0.0,0.0,0.56,0.19,0.33,0.0,52.38,53.88,1.78,1.74,27,2,3,Ecuador Serie A,3
Andrés Parrales,0.62,0.15,41.18,2.38,0.15,0.77,0.27,0.04,0.04,0.77,0.0,0.5,0.04,0.0,17.54,81.58,4.31,57.14,0.0,0.04,0.0,0.0,1.15,0.12,0.31,0.0,42.31,44.89,1.65,1.15,26,2,4,Ecuador Serie A,3
Anthony Landázuri,0.04,0.0,66.67,0.78,0.04,0.0,0.96,0.91,0.0,1.48,0.0,0.22,0.26,0.17,52.83,83.37,11.96,53.04,0.0,0.39,0.0,0.0,0.65,0.04,0.17,0.04,58.33,50.77,0.96,1.43,23,2,2,Ecuador Serie A,3
Francisco Fydriszewski,0.44,0.07,61.54,2.3,0.04,0.0,0.56,0.26,0.0,0.3,0.0,0.26,0.11,0.11,15.48,66.51,4.0,26.32,0.0,0.04,0.0,0.0,0.89,0.07,0.3,0.04,46.55,41.98,0.93,1.78,27,2,4,Ecuador Serie A,3
Renato Ibarra,0.12,0.04,50.0,1.85,0.04,0.0,0.88,0.19,0.0,0.19,0.0,0.35,0.12,0.15,22.81,82.29,9.31,57.14,0.0,0.0,0.0,0.0,0.38,0.04,0.08,0.0,41.67,56.67,1.65,0.54,26,3,3,Ecuador Serie A,3
Jaime Ayoví,0.36,0.07,36.84,2.29,0.0,0.0,0.29,0.07,0.0,1.43,0.0,0.21,0.21,0.0,13.71,64.58,3.43,66.67,0.0,0.29,0.0,0.0,0.5,0.0,0.29,0.0,37.93,32.59,0.79,1.21,14,3,4,Ecuador Serie A,3
Alexis Zapata,0.22,0.0,57.89,1.33,0.0,5.56,0.56,0.33,0.0,0.22,0.0,0.22,0.0,0.0,26.44,81.93,7.33,70.59,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,44.44,56.34,2.22,0.89,9,2,3,Ecuador Serie A,3
Facundo Castelli,0.33,0.25,20.0,3.0,0.08,0.0,0.92,0.08,0.0,0.92,0.0,0.25,0.0,0.08,17.92,60.93,4.67,50.0,0.0,0.25,0.0,0.0,0.5,0.25,0.58,0.08,41.79,44.44,2.5,2.5,12,2,4,Ecuador Serie A,3
José Cevallos,0.12,0.16,63.64,1.24,0.0,0.0,0.88,0.36,0.0,0.72,0.0,0.44,0.16,0.12,35.24,85.02,9.04,68.82,0.0,0.04,0.0,0.0,0.68,0.16,0.16,0.04,50.0,50.54,0.52,0.64,25,2,3,Ecuador Serie A,3
Yeltzin Erique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,75.0,93.33,4.0,71.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.67,2.0,0.0,1,1,2,Ecuador Serie A,3
Diogo Bagui,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,14.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,2,Ecuador Serie A,3
Richard Borja,0.0,0.0,100.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.5,63.64,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,1.5,0.0,2,1,4,Ecuador Serie A,3
Jefferson Valverde,0.0,0.0,66.67,1.94,0.0,0.0,1.94,1.44,0.06,0.78,0.0,0.72,0.17,0.0,36.5,79.91,8.78,48.98,0.0,0.11,0.0,0.0,1.39,0.06,0.22,0.0,44.0,48.23,0.56,1.78,18,1,3,Ecuador Serie A,3
Alexander Bolaños,0.29,0.17,48.89,2.04,0.04,0.0,0.96,0.25,0.0,0.21,0.0,0.17,0.08,0.04,12.17,70.21,4.33,66.67,0.0,0.08,0.0,0.0,0.83,0.04,0.25,0.08,47.27,50.88,1.88,1.25,24,1,4,Ecuador Serie A,3
Dario Pazmino,0.0,0.0,63.64,1.25,0.0,0.0,0.75,0.75,0.0,0.38,0.0,0.38,0.25,0.25,26.88,75.81,5.5,62.5,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,25.0,57.14,3.25,1.13,8,1,3,Ecuador Serie A,3
Leodan Chalá,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,1.25,0.08,0.0,0.0,0.0,27.25,42.51,4.58,34.88,3.92,0.17,0.33,0.08,1.33,0.17,0.08,0.0,50.0,85.71,0.25,0.0,12,2,1,Ecuador Serie A,3
Yerson Candelo,0.07,0.0,66.67,0.6,0.0,0.0,1.13,0.47,0.0,1.6,0.0,0.4,0.07,0.13,37.07,75.72,7.07,56.82,0.0,0.47,0.0,0.0,0.8,0.2,0.2,0.0,55.56,51.52,0.27,0.53,15,3,3,Ecuador Serie A,3
Diego García,0.04,0.04,54.39,1.5,0.0,0.0,1.5,0.81,0.0,0.27,0.0,0.85,0.19,0.04,28.54,74.39,8.23,54.95,0.0,0.12,0.0,0.0,0.58,0.12,0.35,0.0,42.31,53.64,1.42,0.88,26,2,3,Ecuador Serie A,3
Bagner Delgado,0.12,0.0,57.14,0.82,0.0,0.0,1.0,0.47,0.0,0.41,0.0,0.35,0.29,0.12,22.59,75.26,8.35,74.29,0.0,0.06,0.0,0.0,1.24,0.24,0.12,0.06,16.67,45.86,1.47,0.71,17,2,3,Ecuador Serie A,3
Luis Fernando León,0.0,0.04,40.0,0.64,0.0,0.0,0.88,0.64,0.0,3.92,0.0,0.32,0.04,0.04,46.24,85.29,3.68,58.38,0.0,0.52,0.0,0.0,0.64,0.08,0.36,0.08,67.09,57.14,0.6,1.2,25,2,2,Ecuador Serie A,3
Luis Cangá,0.04,0.0,66.67,0.69,0.0,0.0,1.46,0.5,0.0,4.54,0.0,0.58,0.08,0.08,35.65,82.31,3.19,57.79,0.0,0.42,0.0,0.0,0.96,0.15,0.42,0.0,70.91,54.55,0.46,1.58,26,2,2,Ecuador Serie A,3
Raúl Becerra,0.36,0.21,57.14,2.0,0.14,0.0,0.21,0.14,0.04,0.39,0.0,0.18,0.07,0.07,17.54,75.97,4.04,60.0,0.0,0.07,0.0,0.0,0.75,0.18,0.07,0.0,41.3,43.55,1.04,0.71,28,3,4,Ecuador Serie A,3
Javier Burrai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,25.0,76.0,1.09,49.6,2.91,0.36,0.14,0.0,0.95,0.05,0.18,0.0,100.0,100.0,0.36,0.0,22,3,1,Ecuador Serie A,3
Arón Rodríguez,0.18,0.18,38.6,2.43,0.0,0.0,0.82,0.5,0.0,0.04,0.0,0.25,0.21,0.14,26.89,75.96,8.61,52.38,0.0,0.14,0.0,0.0,0.96,0.04,0.14,0.0,36.67,46.4,1.82,0.71,28,1,4,Ecuador Serie A,3
Fausto Grillo,0.0,0.0,66.67,0.64,0.0,0.0,1.0,0.5,0.0,3.29,0.0,0.57,0.0,0.0,48.64,85.46,5.14,60.0,0.0,0.5,0.0,0.0,0.64,0.07,0.07,0.0,63.27,59.26,0.79,0.93,14,2,2,Ecuador Serie A,3
Teodoro Paredes,0.11,0.0,83.33,0.48,0.0,0.0,1.96,1.48,0.04,5.26,0.0,0.52,0.0,0.0,30.56,70.67,2.59,36.62,0.0,0.26,0.0,0.0,1.04,0.19,0.22,0.0,58.97,61.73,0.63,0.85,27,2,2,Ecuador Serie A,3
Luis Estupiñan,0.11,0.0,35.0,1.04,0.0,0.0,0.89,0.15,0.0,0.07,0.0,0.44,0.15,0.07,13.81,70.78,4.59,48.0,0.0,0.07,0.0,0.0,0.48,0.07,0.11,0.0,24.44,42.38,1.48,0.89,27,1,4,Ecuador Serie A,3
Kevin Minda,0.11,0.07,81.82,1.15,0.0,0.0,0.78,1.19,0.0,0.96,0.0,0.37,0.04,0.04,47.52,87.53,8.93,67.14,0.0,0.33,0.0,0.0,1.26,0.07,0.19,0.04,53.33,52.99,0.59,0.85,27,2,3,Ecuador Serie A,3
Kendry Páez,0.21,0.21,57.58,1.75,0.0,1.04,0.5,0.21,0.0,0.04,0.0,0.29,0.08,0.04,23.67,80.81,9.0,66.15,0.0,0.04,0.0,0.0,0.5,0.04,0.17,0.0,11.11,43.52,0.63,0.79,24,1,3,Ecuador Serie A,3
Hamilton Piedra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.04,0.0,0.0,24.61,58.06,1.82,40.54,3.29,0.36,0.21,0.04,0.89,0.29,0.18,0.04,100.0,85.71,0.14,0.0,28,2,1,Ecuador Serie A,3
Facundo Rodríguez,0.04,0.04,100.0,0.35,0.0,0.0,0.88,0.92,0.0,2.54,0.0,0.15,0.08,0.04,43.92,84.33,3.62,48.45,0.0,0.46,0.0,0.0,0.5,0.15,0.31,0.0,64.58,63.78,0.81,0.92,26,1,2,Ecuador Serie A,3
Jordy Alcivar,0.12,0.0,50.0,1.0,0.0,0.0,0.64,0.44,0.04,0.44,0.0,0.12,0.0,0.12,42.16,89.66,9.2,68.82,0.0,0.2,0.0,0.0,0.4,0.04,0.16,0.04,52.17,52.99,1.0,0.76,25,1,3,Ecuador Serie A,3
Tobías Donsanti,0.14,0.14,46.67,2.14,0.14,0.0,0.43,0.29,0.0,0.29,0.0,0.0,0.29,0.14,12.71,67.42,3.14,100.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.14,42.86,43.66,1.71,1.86,7,1,4,Ecuador Serie A,3
Samuel Sosa,0.12,0.0,51.85,1.82,0.0,0.0,0.82,0.24,0.0,0.47,0.0,0.24,0.18,0.18,19.0,78.64,5.82,48.28,0.0,0.06,0.0,0.0,0.29,0.06,0.29,0.06,43.75,48.0,1.47,1.76,17,1,3,Ecuador Serie A,3
Maicon Solís,0.25,0.04,42.62,1.64,0.0,0.0,1.04,0.39,0.0,0.21,0.0,0.21,0.25,0.18,22.36,71.57,7.36,42.47,0.0,0.07,0.0,0.0,1.0,0.04,0.39,0.0,39.47,41.4,0.68,1.14,28,2,3,Ecuador Serie A,3
